sensor,anp_basic_mae,anp_basic_delta_mae,ranp_basic_mae,ranp_basic_delta_mae,anp_masked_mae,anp_masked_delta_mae,ranp_masked_mae,ranp_masked_delta_mae
0,26.106550216674805,13.4417405128479,16.625998616218567,8.74443393945694,15.262348532676697,-0.7450015544891357,6.8611350655555725,0.18892866373062134
1,26.022364616394043,13.357554912567139,17.678930044174194,9.797365367412567,16.217270851135254,0.2099207639694214,7.56351500749588,0.891308605670929
2,25.02250051498413,12.357690811157227,24.648119688034058,16.76655501127243,16.456565856933594,0.44921576976776123,7.417030096054077,0.744823694229126
3,16.51982092857361,3.855011224746704,28.75940203666687,20.877837359905243,17.530527591705322,1.5231775045394897,6.817818522453308,0.14561212062835693
4,28.93965196609497,16.274842262268066,20.605281591415405,12.723716914653778,16.271636724472046,0.2642866373062134,6.762129485607147,0.08992308378219604
5,30.582311391830444,17.91750168800354,18.76129937171936,10.879734694957733,16.04269278049469,0.03534269332885742,6.831158936023712,0.158952534198761
6,24.764928579330444,12.10011887550354,15.026452541351318,7.144887864589691,16.78598165512085,0.7786315679550171,6.846866250038147,0.1746598482131958
7,32.683429479599,20.018619775772095,14.14605438709259,6.264489710330963,17.614941120147705,1.6075910329818726,6.789348542690277,0.11714214086532593
8,23.9313907623291,11.266581058502197,22.145288467407227,14.2637237906456,17.671762585639954,1.664412498474121,6.09504634141922,-0.5771600604057312
9,34.35317015647888,21.688360452651978,19.68652892112732,11.804964244365692,17.339840531349182,1.3324904441833496,7.173153638839722,0.5009472370147705
