number,value,state,params_batch_size,params_ctx_sample_mode,params_kl_warmup_epochs,params_lr,params_mask_fill,params_num_hidden,params_sensor_drop_mode,params_sensor_drop_p,params_weight_decay,user_attrs_mae_per_topology,user_attrs_objective_topologies,user_attrs_trial_dir
79,12.298426437377929,PRUNED,8,first,400,0.0006249018911352318,train_mean,160,bernoulli,0.11943107179030625,3.240557533079883e-06,,,
80,60.08334493637085,PRUNED,16,first,500,0.00020632322418995177,zero,192,k_uniform,0.1378836659657742,2.08097274330375e-05,,,
81,36.92287135654025,PRUNED,8,first,300,0.00044561273235927366,train_mean,128,k_uniform,0.32562811984723783,1.8924644892543753e-06,,,
82,55.750361601511635,PRUNED,16,first,500,0.0004033816882546039,zero,64,bernoulli,0.23372385946118732,5.5536608817105594e-05,,,
83,45.22985124588013,PRUNED,16,first,600,0.00028492701385614115,zero,96,bernoulli,0.10920195058130011,3.331944693568198e-05,,,
84,37.35741837819417,PRUNED,16,first,400,0.0005080368353778824,zero,64,bernoulli,0.1844763922789949,8.259524962448932e-05,,,
85,42.61187473932902,PRUNED,16,first,400,0.0007316382120929357,zero,32,bernoulli,0.1939724634520536,2.4141179051859583e-05,,,
86,63.62663586934407,PRUNED,32,first,600,0.0003427433838046276,zero,32,bernoulli,0.1509792067263271,0.00015243745489803306,,,
87,35.02742156982422,PRUNED,8,first,500,0.0008617956799339816,train_mean,64,k_uniform,0.24930846397879447,4.9069239197519675e-05,,,
88,46.10220548841687,PRUNED,8,first,400,0.00023741555205255676,train_mean,192,k_uniform,0.16366444900209634,5.046880601227119e-06,,,
89,54.14442873001099,PRUNED,16,first,500,0.00030128494878786904,zero,192,bernoulli,0.21162594715887229,1.0452630378656038e-05,,,
90,54.34104894002278,PRUNED,8,first,400,0.0003838175058776965,train_mean,160,k_uniform,0.1260253081245658,7.891423788114614e-06,,,
91,32.06248029073079,PRUNED,8,first,300,0.0006064612206422299,train_mean,128,k_uniform,0.11169093259657258,3.9486472335206325e-06,,,
92,77.70227527618408,PRUNED,16,first,200,0.0009871266142096682,train_mean,128,bernoulli,0.37018384759047906,0.0009504269501382323,,,
93,62.932234605153404,PRUNED,16,first,200,0.00048245475347202045,train_mean,128,bernoulli,0.39937967301448923,0.0003021776068505329,,,
94,72.56074937184653,PRUNED,16,first,200,0.00010221797614497892,train_mean,96,bernoulli,0.4222518663795704,0.00032282156269435714,,,
95,67.72789780298869,PRUNED,16,first,700,0.00013858945258310071,train_mean,128,bernoulli,0.4501780800309176,1.4104718489806905e-05,,,
96,47.77370003594293,PRUNED,8,first,200,0.0005651577708395841,train_mean,192,bernoulli,0.3950789642789884,0.00012508887248148046,,,
97,32.10084296332465,PRUNED,8,first,300,0.0007119547826859657,train_mean,128,k_uniform,0.2864245386131473,1.7230636017624268e-05,,,
98,61.2864662806193,PRUNED,32,first,500,0.0005345977859299774,train_mean,160,k_uniform,0.13865135291901348,6.205363421983121e-06,,,
99,124.8178990681966,PRUNED,8,first,400,0.0011638473523257241,zero,192,bernoulli,0.32158264459537733,0.0002452217715183841,,,
100,66.59135834376018,PRUNED,16,first,400,0.00011705406764533674,train_mean,192,k_uniform,0.10708627640572413,2.736473947338238e-06,,,
101,47.19703165690104,PRUNED,8,first,600,0.0001604672704865713,train_mean,160,k_uniform,0.35115441123301133,9.133844937861614e-06,,,
102,45.28458499908447,PRUNED,32,first,800,0.0016312471172175741,train_mean,32,bernoulli,0.3837419891062112,2.5937102116016586e-06,,,
103,45.885754903157554,PRUNED,32,first,800,0.0013210134285663927,train_mean,64,bernoulli,0.22410348226323007,2.086856344740462e-06,,,
104,48.43495559692383,PRUNED,32,first,700,0.0006849497451439296,train_mean,32,bernoulli,0.20586383377575368,6.780851994760196e-06,,,
105,50.79787635803222,PRUNED,32,first,400,0.0008108756960602067,train_mean,96,bernoulli,0.1875911416228779,1.1262421045425049e-06,,,
106,36.27812173631457,PRUNED,8,first,300,0.00042847248367315215,train_mean,192,k_uniform,0.2638171910380319,4.442264844007914e-06,,,
107,101.30433213975694,PRUNED,8,first,800,0.0016636981691637849,train_mean,128,bernoulli,0.17356963051177593,0.0005356576653829324,,,
108,22.156717469957137,PRUNED,8,first,400,0.0012280122007266232,zero,32,k_uniform,0.12359998795977792,3.209287134829752e-06,,,
109,125.88286654154459,PRUNED,32,first,500,0.003370880159653115,train_mean,192,k_uniform,0.14984484620197275,1.7658790045016695e-05,,,
110,98.76910569932728,PRUNED,8,first,700,0.0024282562035194246,train_mean,160,bernoulli,0.23621985904922402,5.649435672719565e-06,,,
111,41.019427702162005,PRUNED,8,first,200,0.0003379795834590153,train_mean,64,k_uniform,0.16778919920647717,3.663945277720401e-06,,,
112,112.97138404846191,PRUNED,16,first,400,0.001977466392980985,zero,128,k_uniform,0.3014598026310537,6.078659188784503e-05,,,
113,50.82008330027263,PRUNED,16,first,500,0.0009175414937755691,zero,128,k_uniform,0.28880404471276444,4.4253837557507275e-05,,,
114,51.97801160812378,PRUNED,16,first,600,0.0010441401067943048,zero,128,k_uniform,0.2766691637509149,2.857697846132387e-05,,,
115,50.97793451944987,PRUNED,16,first,400,0.0014485281096771648,zero,160,k_uniform,0.11726800388459227,3.74080667634807e-05,,,
116,125.46118354797363,PRUNED,16,first,400,0.0015210150778662537,zero,192,k_uniform,0.10255251412025546,6.950217559493601e-05,,,
117,125.95751444498698,PRUNED,8,first,500,0.0048237596798452196,train_mean,128,k_uniform,0.20101645229341608,1.1816672684266522e-05,,,
118,51.253343963623045,PRUNED,8,first,600,0.00037894258796896356,zero,160,k_uniform,0.31536509845746746,0.00011153262817609499,,,
119,39.63529078165689,PRUNED,8,first,500,0.001919957759364156,train_mean,96,bernoulli,0.26380580641623425,7.68006236963136e-06,,,
120,62.79826958974202,PRUNED,16,first,700,0.0002545736662925092,train_mean,192,k_uniform,0.2528158607521483,1.7484422135942169e-06,,,
121,41.64613791571723,PRUNED,8,first,400,0.00045645765017929187,zero,128,bernoulli,0.499500295635927,2.4113910685773694e-05,,,
122,126.39374677870008,PRUNED,8,first,600,0.0024792737725924676,zero,128,k_uniform,0.42367856949562216,0.0006613338302705832,,,
123,60.80554860432942,PRUNED,8,first,600,0.0012424066734847618,zero,128,k_uniform,0.3407521571751035,0.0004695244919538889,,,
124,44.64748382568359,PRUNED,8,first,500,0.0011135810009860838,zero,128,k_uniform,0.4792980792932237,0.0001770000929891491,,,
125,61.25401967366536,PRUNED,8,first,600,0.0007669565327356586,zero,160,k_uniform,0.41268076899709377,0.00037762606608302896,,,
126,81.42617085774738,PRUNED,8,first,200,0.0009035926466174467,train_mean,192,k_uniform,0.12955081595576656,0.0009222247743855477,,,
127,42.22177505493163,PRUNED,8,first,500,0.0003138661168004373,train_mean,128,k_uniform,0.17845754601983607,9.936426732047589e-06,,,
128,56.22231070200601,PRUNED,16,first,600,0.0002834225844134473,zero,192,k_uniform,0.4351403212491619,4.9433374802136185e-06,,,
129,45.399161974589035,PRUNED,32,first,400,0.0006129609267470562,train_mean,96,bernoulli,0.11174201576850941,2.1990260967574675e-06,,,
130,54.22771869235569,PRUNED,8,first,300,0.0004068007469369149,train_mean,160,k_uniform,0.21125576441531266,0.00020957680464623492,,,
131,51.15915111965604,PRUNED,8,first,500,0.00018168312544642116,zero,128,k_uniform,0.14390147517450594,4.6759718765362195e-05,,,
132,31.03651730219523,PRUNED,16,first,700,0.002701533646496655,zero,64,bernoulli,0.38625930448982976,2.12530336187483e-05,,,
133,37.315392653147384,PRUNED,16,first,800,0.0041576162202350934,zero,32,bernoulli,0.45143921058742975,1.341166991555872e-05,,,
134,53.70911916097005,PRUNED,16,first,700,0.0006762146800032004,zero,64,bernoulli,0.4743916569936744,3.561849737542884e-05,,,
135,46.41918150583903,PRUNED,16,first,600,0.000519864697091708,zero,96,bernoulli,0.40990729871484893,1.688882726433912e-05,,,
136,60.62480227152507,PRUNED,16,first,700,0.00036198015646235075,train_mean,64,bernoulli,0.2952774897360625,3.0301758837701372e-05,,,
137,43.938983154296885,PRUNED,8,first,600,0.00020899565618671422,train_mean,192,bernoulli,0.19197728195684668,1.571702986012708e-05,,,
138,47.31187786526151,PRUNED,8,first,800,0.0008575899668375565,zero,32,k_uniform,0.38510242155395374,1.4023000152311638e-06,,,
139,62.473340670267746,PRUNED,32,first,400,0.0010230830370407088,train_mean,128,k_uniform,0.22735736907218862,1.0843451341881886e-05,,,
140,54.66576306025186,PRUNED,16,first,200,0.0005665760614645429,train_mean,160,bernoulli,0.36948651205699984,7.559919012311584e-05,,,
141,47.46675864325629,PRUNED,8,first,400,0.00048512886082920857,zero,192,k_uniform,0.35463616206497167,5.4999551622609684e-05,,,
142,65.58560307820639,PRUNED,16,first,200,0.00014402455768755342,zero,32,k_uniform,0.4430676184599293,2.3530167810918285e-05,,,
143,73.29105027516684,PRUNED,16,first,200,0.00011297622085544546,zero,32,k_uniform,0.4255231912760958,6.285080070906779e-05,,,
144,92.14591948191324,PRUNED,16,first,200,0.0002296423209014777,zero,32,k_uniform,0.11998853963403877,8.521364014474293e-05,,,
145,121.77529780069987,PRUNED,16,first,200,0.00011916150364386687,zero,32,k_uniform,0.467964048228424,1.940211815851094e-05,,,
146,68.70460527208117,PRUNED,8,first,300,0.0001010271829232269,train_mean,64,k_uniform,0.10827789076929434,8.736768775445172e-06,,,
147,60.72766097386678,PRUNED,16,first,700,0.00013545979869552854,train_mean,192,bernoulli,0.40607803156990874,1.2729381808011959e-05,,,
148,52.051381174723296,PRUNED,8,first,400,0.00033351381972206265,zero,32,k_uniform,0.10157540498071553,7.0169369532773425e-06,,,
149,54.22108662923178,PRUNED,8,first,200,0.0002967869133791275,train_mean,128,k_uniform,0.4871958935242484,4.2414502202951714e-05,,,
150,30.433744033177693,PRUNED,16,first,800,0.0008000567898742148,train_mean,160,bernoulli,0.18353469831645391,2.873875727534639e-06,,,
151,76.36141268412273,PRUNED,32,first,600,0.0001521413795729145,zero,192,k_uniform,0.13257375438403055,0.0007363346645439407,,,
152,104.03650919596353,PRUNED,32,first,200,0.0011168456419104397,zero,192,bernoulli,0.21785978239869486,0.0002451969590756748,,,
153,66.52457237243652,PRUNED,32,first,200,0.0009496354499614885,zero,192,bernoulli,0.239547263758496,0.00012066998088098424,,,
154,105.34261004130046,PRUNED,32,first,200,0.00123781057506377,zero,192,bernoulli,0.28185138082791905,0.0001689434137094795,,,
155,115.46527290344238,PRUNED,32,first,200,0.0013711925941885554,zero,192,bernoulli,0.4170195493532546,8.548851539744639e-05,,,
156,40.097874196370434,PRUNED,8,first,500,0.0006414872148922672,train_mean,96,bernoulli,0.20848091535279525,0.00014680323070561424,,,
157,125.46376139322915,PRUNED,8,first,500,0.0010468451946644296,zero,192,k_uniform,0.19822398760341975,0.0003898133529549307,,,
158,43.49874894883897,PRUNED,8,first,400,0.00042763056734980664,train_mean,128,k_uniform,0.21963162451061224,5.113315615308118e-05,,,
159,123.85720030466715,PRUNED,16,first,300,0.0018013516747682208,zero,192,bernoulli,0.3106013761240979,9.971866988260599e-05,,,
160,68.55075009663899,PRUNED,32,first,200,0.0002669796412922157,train_mean,128,k_uniform,0.3952762513000937,1.4740452481181212e-05,,,
161,43.87831836276584,PRUNED,8,first,400,0.0007371218957581365,train_mean,160,bernoulli,0.4363944487697588,4.342035290636349e-06,,,
162,1249.4914388020832,PRUNED,8,first,200,0.0040961676063872325,zero,128,k_uniform,0.42899356801804095,5.632657425335182e-06,,,
163,119.01575741238065,PRUNED,8,first,200,0.003340143964268636,zero,128,k_uniform,0.4060810206245604,1.6973639009711357e-06,,,
164,125.10596839057077,PRUNED,8,first,200,0.004053060262981702,zero,128,k_uniform,0.44728062303227667,6.21553980079668e-05,,,
165,82.65737186008029,PRUNED,8,first,200,0.003708478573455137,zero,128,k_uniform,0.4589756942171369,1.2544108834303e-06,,,
166,127.14200185139974,PRUNED,8,first,600,0.004675756363326797,zero,128,k_uniform,0.4157595841459536,0.00022381107335663606,,,
167,52.51336908340454,PRUNED,16,first,500,0.0003928286109459843,train_mean,192,k_uniform,0.11449205661418149,3.7270256560628566e-06,,,
168,68.48024775187176,PRUNED,8,first,200,0.0001269483414018139,zero,32,k_uniform,0.391916397943704,0.0006097898569516449,,,
169,125.38512234157989,PRUNED,8,first,400,0.0036265107890608287,train_mean,160,bernoulli,0.1013640713875259,2.3579597666123685e-06,,,
170,63.06206989288331,PRUNED,16,first,600,0.00016602836116437437,zero,96,k_uniform,0.3729685980325441,2.660907626844987e-05,,,
171,126.29073672824434,PRUNED,8,first,300,0.0031115770950130286,train_mean,128,bernoulli,0.37627753131498065,3.3259897771575554e-05,,,
172,47.43979381985135,PRUNED,8,first,300,0.00019291795980477954,train_mean,160,k_uniform,0.15911119233220816,1.228263490228676e-06,,,
173,43.35560735066731,PRUNED,8,first,200,0.0002444637877669085,train_mean,160,k_uniform,0.16977716238925483,1.463356701711163e-06,,,
174,112.84365726047092,PRUNED,8,first,400,0.0022368867153510627,train_mean,160,k_uniform,0.15051968160445106,1.0638254454824706e-06,,,
175,42.40879753960504,PRUNED,8,first,300,0.00030745472357242645,train_mean,160,k_uniform,0.18850080697864924,1.7411503785807899e-06,,,
176,126.21693912082247,PRUNED,8,first,200,0.0029232382946510057,train_mean,192,k_uniform,0.229101080268749,1.0826865799954172e-05,,,
177,125.67235247294107,PRUNED,32,first,400,0.004443397283533015,train_mean,160,k_uniform,0.12384264484905545,9.607233615916825e-06,,,
178,41.56918064753214,PRUNED,16,first,200,0.0008813280471359795,zero,64,k_uniform,0.1350468445654979,7.835383940150731e-06,,,
179,65.18633261786567,PRUNED,8,first,400,0.0011583077159892706,train_mean,128,bernoulli,0.2691271612082452,0.0003126413399529476,,,
180,31.726039928860136,PRUNED,8,first,500,0.0003647871515831087,zero,192,k_uniform,0.40386144905832616,2.1234182523563667e-06,,,
181,57.417130152384445,PRUNED,16,first,600,0.0001981656358762683,train_mean,160,k_uniform,0.16366317553288415,6.280292828244486e-06,,,
182,12.071889601813421,PRUNED,8,first,400,0.0005950514456892374,train_mean,64,bernoulli,0.1840083562129694,1.705460714411232e-05,,,
183,18.290043979220922,PRUNED,8,first,400,0.0004769320418538249,train_mean,96,bernoulli,0.19459762696732108,1.9977191197814795e-05,,,
184,32.83661880493164,PRUNED,8,first,400,0.00051482755310933,train_mean,32,bernoulli,0.20301194746756554,1.3272153491181705e-05,,,
185,9.491013940175375,PRUNED,8,first,700,0.000574783593410932,train_mean,128,bernoulli,0.17152864095292591,3.1113998885697144e-06,,,
186,31.53348087734646,PRUNED,8,first,400,0.0006808563254117789,train_mean,64,bernoulli,0.29530243186573024,2.2167930297841637e-05,,,
187,33.09080098470052,PRUNED,8,first,800,0.00032898066228912034,zero,96,bernoulli,0.11150631140709835,7.438669680298572e-05,,,
188,63.10820611317953,PRUNED,32,first,500,0.00044562712470149157,train_mean,192,k_uniform,0.4192190124478218,1.0282963391661255e-06,,,
189,47.23236687978109,PRUNED,16,first,400,0.0008492803843353404,zero,128,k_uniform,0.33215222677642575,4.586826016864623e-05,,,
190,71.3651362101237,PRUNED,8,first,200,0.0014928527549547997,train_mean,192,bernoulli,0.48987057789395233,1.423567774299761e-06,,,
191,36.76589488983154,PRUNED,16,first,400,0.0009899816095710378,zero,128,k_uniform,0.17700268363293103,5.1005808889504456e-06,,,
192,8.141435676150852,PRUNED,8,first,700,0.0005721807926508763,train_mean,128,bernoulli,0.1886419193348193,3.0780326536640567e-06,,,
193,12.917527368333603,PRUNED,8,first,700,0.0006119238633453357,train_mean,128,bernoulli,0.20726170602625285,2.4310056928341813e-06,,,
194,13.85818369123671,PRUNED,8,first,800,0.0005360485791020627,train_mean,128,bernoulli,0.1894613074567088,3.470018548115028e-06,,,
195,9.966314972771539,PRUNED,8,first,700,0.0007185592681946182,train_mean,128,bernoulli,0.1984685235185481,2.5800545643057065e-06,,,
196,49.02499304877387,PRUNED,8,first,600,0.00015456011428777622,train_mean,128,bernoulli,0.24582178569464727,1.8553562304267422e-05,,,
197,47.104405890570746,PRUNED,8,first,500,0.00028661174605748574,train_mean,32,bernoulli,0.17886651559721417,4.194904921502368e-06,,,
198,47.19421276516384,PRUNED,8,first,200,0.0005443325425388139,train_mean,128,k_uniform,0.21320360112080664,3.949301056035258e-05,,,
199,63.40031433105469,PRUNED,32,first,400,0.00017834568463220165,zero,192,bernoulli,0.15410752476905382,1.9188189330006667e-06,,,
200,32.43015819125705,PRUNED,8,first,600,0.0006447907743640187,train_mean,96,k_uniform,0.10750610140759954,1.5476515095636428e-05,,,
201,71.20507462819417,PRUNED,16,first,200,0.00035006002036949414,zero,160,k_uniform,0.11855103261932662,0.0004884977852933816,,,
202,33.72705646091037,PRUNED,8,first,700,0.000488075075900507,train_mean,128,bernoulli,0.16304752043048984,3.1136243822946454e-06,,,
203,51.821852450900614,PRUNED,8,first,700,0.0005806017104164665,train_mean,128,bernoulli,0.17139181734623415,0.00041525704727030723,,,
204,4.882631874084472,COMPLETE,8,first,700,0.0005894559636621121,train_mean,128,bernoulli,0.182575989937512,3.098291618586418e-06,{'ellipsoidal': 4.882631874084472},['ellipsoidal'],results/optuna/anp_masked_v2/trial_00204
205,46.61896209716797,PRUNED,8,first,700,0.00010775809093985625,train_mean,128,bernoulli,0.14384504645372723,0.00012944725637745394,,,
206,24.694248029920793,PRUNED,8,first,700,0.0006809591989992494,train_mean,128,bernoulli,0.18914092741565755,2.9732348805442454e-06,,,
207,28.65014262729221,PRUNED,8,first,700,0.0012665324141227729,train_mean,128,bernoulli,0.4385651440107282,4.136359982812863e-06,,,
208,31.667177878485788,PRUNED,8,first,800,0.0007973735020337819,zero,160,k_uniform,0.10004729483818145,1.2270829618907627e-05,,,
209,47.568517367045075,PRUNED,16,first,500,0.004981097808131188,train_mean,32,bernoulli,0.19890454969257945,0.00019277519625888302,,,
210,54.499373287624785,PRUNED,8,first,400,0.00021621803322033825,train_mean,192,k_uniform,0.22086543463632421,3.7169013406512037e-06,,,
211,44.16116180419922,PRUNED,8,first,200,0.0010493220317509596,zero,128,bernoulli,0.282998107360168,0.00010300152036823014,,,
212,15.109219233194986,PRUNED,8,first,700,0.0005492045382725359,train_mean,128,bernoulli,0.17538495528367012,2.656838836258624e-06,,,
213,23.438105477227108,PRUNED,8,first,700,0.0005819751906427769,train_mean,128,bernoulli,0.1798590291162594,3.2494259602086665e-06,,,
214,22.85340974595812,PRUNED,8,first,700,0.0006367374750329383,train_mean,128,bernoulli,0.1871942572109609,2.1151118802590652e-06,,,
215,27.009068467881942,PRUNED,8,first,700,0.0005158192762435728,train_mean,128,bernoulli,0.1677319488217443,2.8857676881344716e-06,,,
216,29.59771122402615,PRUNED,8,first,700,0.0005986588310807566,train_mean,128,bernoulli,0.1932662191628837,4.888477396162546e-06,,,
