k_removed,anp_basic_mae_mean,anp_basic_mae_worst,anp_basic_mae_std,ranp_basic_mae_mean,ranp_basic_mae_worst,ranp_basic_mae_std,anp_masked_mae_mean,anp_masked_mae_worst,anp_masked_mae_std,ranp_masked_mae_mean,ranp_masked_mae_worst,ranp_masked_mae_std
0,6.268388963937759,6.3244198083877565,0.038343945714637444,4.941386396884918,4.980610620975495,0.021976130936704058,5.826576912403107,5.887597215175629,0.03388082704763653,7.155240573883058,7.203286457061767,0.035569841390017815
1,19.627692093849184,25.825160694122314,4.122152390690437,15.97127718567848,47.9199923992157,11.015387426263487,6.837498999834061,7.819417822360992,0.4435707700015469,7.2150409269332885,8.472824132442474,0.712027811183302
2,35.38253725528717,49.745748901367186,9.126442585230409,35.28481070756912,60.78348436355591,17.999362945395923,8.333093529343603,9.850267207622528,0.9060232745493052,7.507413927316665,9.216574704647064,0.8862282004962634
3,49.60097928524017,67.04795389175415,10.359058763583464,50.5253338098526,74.67165422439575,18.184253390781784,10.521140382289888,12.567220234870911,1.1832915755677031,8.56704621911049,10.05941537618637,1.0780944847346328
4,62.970588626861584,74.48399238586425,5.898858535815669,70.93128306865694,89.7242943763733,11.409343816639339,13.44990039229393,16.152996683120726,1.4881205133556736,10.313158147335052,12.85281457901001,1.7054437321763396
5,75.20555094718932,100.94331645965576,11.393994631157481,89.60897772789001,109.06452884674073,11.20829137087406,16.13886021614075,18.63434417247772,1.9451604196439618,13.992060526609421,27.23889639377594,4.957841024761736
6,91.08574905395508,107.75439434051513,11.960420277495434,105.27052221298217,125.77890605926514,13.788734628881784,18.469994616508483,21.18840594291687,2.1500913983289465,19.04768250346184,32.951907706260684,6.288003116813241
7,101.52751932144164,118.55180377960205,13.636553905391256,119.81513521194458,139.7900770187378,14.731656620900592,21.163080632686615,23.272020864486695,1.6767576049420898,27.37083548307419,44.713160729408266,9.455478053110104
8,106.48837764739991,118.63498592376709,8.197399856905752,129.76866775512696,154.62402114868163,12.484157111249836,24.625003356933597,29.131456899642945,2.1667184380797746,45.10131860733032,87.28932361602783,20.794716040291316
9,107.48564947128295,131.12855529785156,11.110483335274248,146.40091875076297,159.16769714355468,9.623005688571771,29.198463292121886,33.64584922790527,2.617275162726414,70.24873821258545,107.26020059585571,24.73200357027674
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
