traj_id,object_x,object_y,sensor_2,sensor_4,sensor_5,sensor_6
0.0,-90.0,-14.608178614510788,-26.112909167256248,-22.11393031196386,-23.88034068423904,-25.76747477245237
0.0,-88.18181818181819,-15.842186840542166,-26.083709275862248,-22.03941046192497,-23.766232313134875,-25.69260685507245
0.0,-86.36363636363636,-16.8147799024497,-26.05205647700041,-21.962615308496844,-23.65634758052994,-25.618260298450764
0.0,-84.54545454545455,-17.51435288552511,-26.01730698126903,-21.8793957407448,-23.551391314011664,-25.54715500422415
0.0,-82.72727272727273,-17.93255853219607,-25.97884216152545,-21.78846804148052,-23.45210916209691,-25.478925440763327
0.0,-80.9090909090909,-18.06440684093961,-25.936079842253665,-21.686074812558942,-23.359303357388832,-25.4136969927875
0.0,-79.0909090909091,-17.90832460664323,-25.88848524800721,-21.570470703326347,-23.274636069822726,-25.351666404562152
0.0,-77.27272727272728,-17.466174191981935,-25.835581432546743,-21.43896445984804,-23.19910169984139,-25.29299220346573
0.0,-75.45454545454545,-16.743231305832687,-25.77695901592321,-21.29168474521983,-23.13489347751885,-25.237929916557107
0.0,-73.63636363636364,-15.748122053872478,-25.71228506504673,-21.12635371253492,-23.084303198406342,-25.18694401405593
0.0,-71.81818181818181,-14.492720012468132,-25.640828930741268,-20.94390965076567,-23.048370203451807,-25.139733115115117
0.0,-70.0,-12.992004553965304,-25.562367196791417,-20.74600477687655,-23.03058710506476,-25.097317483784717
0.0,-68.18181818181819,-11.263882113829569,-25.47737376104625,-20.537110237746067,-23.032412058614856,-25.059671522309618
0.0,-66.36363636363636,-9.328972532268162,-25.38625226970035,-20.32524442597248,-23.056196670621524,-25.02821550419035
0.0,-64.54545454545455,-7.210363019689783,-25.286339262641995,-20.12224409026376,-23.102888923639277,-25.003028525432008
0.0,-62.72727272727273,-4.933332681669546,-25.181207242316457,-19.947294817615653,-23.172617526286498,-24.98495499154028
0.0,-60.90909090909091,-2.5250508903691866,-25.07025097006807,-19.827740090855315,-23.265328702095808,-24.973847108028156
0.0,-59.09090909090909,-0.0142531014239049,-24.95453896713196,-19.802145595452533,-23.37948497003501,-24.96951782610486
0.0,-57.27272727272727,2.5691020155730016,-24.834905665716647,-19.900821994503836,-23.51404896510457,-24.972680664838755
0.0,-55.45454545454545,5.194190041891732,-24.71220512502868,-20.176852468732005,-23.66562110332272,-24.982716675848863
