epoch,train_loss,train_nll,train_nll_nonctx,train_kl,beta,train_var_min,train_var_mean,train_var_max,train_mae,val_loss,val_nll,val_nll_nonctx,val_kl,val_var_min,val_var_mean,val_var_max,val_mae_02,val_mae_04,val_mae_06,val_mae,val_mae_fixed_holdout,val_mae_inverse_holdout,val_weighted_score
1,1.4963622655508653,1.4963622655508653,1.4963622655508653,47.23356160577738,0.0,0.1904615517002794,1.181179959819002,2.875204580010108,107.5866677626124,106.81382675170899,0.6856851453582445,0.6856851453582445,106.12814127604166,0.05173304307584961,0.4165793796380361,0.9091736674308777,70.32620442708334,67.26729965209961,59.1434928894043,67.26729965209961,61.16903966267903,49.03908665974935,51.46507726033529
2,0.6059122347044494,0.5960950196351645,0.5960950196351645,98.17214865054724,0.0001,0.019249750345172185,0.3207066705766714,0.8137748775617132,63.099597571031104,100.5857650756836,0.4428600159784158,0.4428600159784158,100.14290517171224,0.006958234876704713,0.41102746029694875,0.9250567903121313,70.45263188680013,63.1812141418457,53.4736213684082,63.1812141418457,51.093606821695964,53.93781483968099,53.36897323608399
3,0.42083766915888154,0.402860552634833,0.402860552634833,89.88558844800265,0.0002,0.008805902358495965,0.2616810312248626,0.6059701853203323,55.71767170024368,98.4339588801066,0.29597950434933107,0.29597950434933107,98.13797912597656,0.004407923195200661,0.22110751618941624,0.4348927771051725,70.43349253336588,63.418688201904295,54.94233322143555,63.418688201904295,53.03333460489909,45.33182957967122,46.8721305847168
4,0.41779617877360786,0.3930538217712826,0.3930538217712826,82.4745166706589,0.0003,0.004601981115246297,0.2374493474105619,0.5402669608592987,59.782362668019424,124.6407595316569,0.5616390799482663,0.5616390799482663,124.0791202545166,0.001752676252120485,0.2796464333931605,0.6231513718763987,92.65914357503256,84.75574798583985,77.89288889567057,84.75574798583985,77.36294962565104,70.35584437052408,71.75726542154948
5,0.2973393822475424,0.2617477935756434,0.2617477935756434,88.97897295681935,0.0004,0.0029785373393129908,0.2416317119913281,0.5233989560379172,53.867055748993494,100.4802079518636,0.2219268475077115,0.2219268475077115,100.25828158060709,0.003542638224704812,0.17811708003282548,0.39862678001324336,73.82975209554037,64.74340845743815,52.0585075378418,64.74340845743815,45.68451487223307,42.856963602701825,43.42247385660807
6,0.2736034926800233,0.23914333211723715,0.23914333211723715,68.92031881944189,0.0005,0.0019699380763823974,0.1937534508277785,0.4132148325443268,54.36829196282153,78.42750714619955,0.0031752221984788775,0.0031752221984788775,78.42433160146078,0.0015609673515427857,0.21751617441574733,0.46649582833051684,76.1859634399414,70.05599746704101,59.675524139404295,70.05599746704101,49.910508473714195,54.71020711263021,53.75026738484701
7,0.07729402289919134,0.042903802575069074,0.042903802575069074,57.31703132053591,0.0006,0.0015689188544199151,0.2566653352301076,0.5282357391321434,56.50468243293042,56.29168097178141,-0.07550857206224464,-0.07550857206224464,56.36718953450521,0.0015367174773321798,0.2060450792312622,0.38561972926060356,66.06204986572266,57.0923090616862,46.96916631062825,57.0923090616862,42.9909782409668,34.87197049458822,36.49577204386394
8,0.05174039360487236,0.018622430023860256,0.018622430023860256,47.311379738573756,0.0007,0.0012160216146236602,0.20477282410522676,0.43538975378252426,52.330653928360846,58.31351795196533,-0.14648546136450022,-0.14648546136450022,58.46000347137451,0.0012035011119830112,0.21623655731479327,0.4355036124587059,65.334738667806,56.88084284464518,46.51601765950521,56.88084284464518,39.59307581583659,35.52101211547851,36.33542485555013
9,0.10069175103222425,0.06066840427339007,0.06066840427339007,50.029187508349146,0.0008,0.0011276746309309635,0.20824788229645425,0.4664900814587215,54.13124303997687,49.87926642100016,-0.108537795196753,-0.108537795196753,49.987804094950356,0.0010073999253412088,0.22303865452607471,0.4529189815123876,66.04089584350587,58.188795979817705,49.332647705078124,58.188795979817705,50.664374033610024,38.809913889567056,41.180805918375654
10,0.06534987030867136,0.02936385182734087,0.02936385182734087,39.98446622884499,0.0009,0.0010402070529723787,0.23068786454650592,0.4812251633068301,54.945947611107016,47.75901374816895,0.14441416256595402,0.14441416256595402,47.61459964116414,0.0011194291505186508,0.2361442099014918,0.4645308867096901,64.92072092692057,56.51425018310547,46.08960444132487,56.51425018310547,47.3273198445638,38.80378163655599,40.508489278157555
