k_active,anp_basic_mae,anp_basic_mae_std,anp_basic_nll,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_nll,anp_masked_mae,anp_masked_mae_std,anp_masked_nll,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_nll
1,113.68890050252278,9.490941077239203,255.1595026652018,147.31320457458497,7.097677007034132,664.7666570027669,72.87362060546874,9.739201585766676,-0.011199604062130674,119.86119745572408,39.548305887478676,0.6517482939835948
2,108.03797041575113,12.301513160604125,239.11592338879902,127.53674669265747,11.198121622346534,492.2469234466553,55.849600585301715,7.176578559394125,-0.23893760464076574,56.16698885758718,30.04428288088021,0.6599114036730801
3,99.52695353825887,11.079034327826989,193.90437898635864,119.10931466420492,15.004890814896202,439.240965461731,40.28118821779887,6.024898748789782,-0.4965907206370806,24.570642507076265,12.573209711304003,0.3755418167391326
4,92.53049108187358,11.248135050283315,170.7707721074422,103.12350816726685,16.870242952435202,358.6823875109355,28.24068737824758,5.399453159466169,-0.720648166538255,16.62967107494672,7.0840585909369205,-0.015597446776034
5,75.87995343208313,12.601580462101484,119.45303093592325,83.72759841283163,17.19159892940018,257.682537984848,20.556497782468796,3.881262084636045,-0.9244814435640971,11.737821010748545,4.04642662848158,0.10701221462222747
6,63.256270639101665,9.675557024228247,87.92629901568095,62.250895992914835,18.372860154398477,159.9115355173747,14.426852019627889,2.5833179362353555,-1.1458416798559483,9.924383401870728,2.071598499729749,-0.3060239097548371
7,49.4027435541153,8.07719280681474,58.720183885097505,50.715750737984976,17.683812006856858,125.82050356268883,11.138367612163226,1.9222863441531968,-1.3738652860124907,8.428417752186457,1.2115061663917939,-1.1202092847786844
8,32.473534778753915,8.355038587000973,30.289892254273095,28.833494957288107,16.850330512286085,48.681131515155236,8.053861717383066,1.0193101670315716,-1.5806349895894527,8.063511768976847,0.8048682765688011,-1.18239700414512
9,21.048739274342854,4.451207074916521,15.421378555273016,14.76975491642952,11.38717628020361,15.59456452705975,6.494394118587176,0.53839939571533,-1.7385839785138766,7.786235795418421,0.5816026591857038,-1.2311368288782736
10,7.3098370412985485,0.0763109265626541,0.21881581687290844,5.341539880633354,0.050644235443359754,-1.0804073890671133,5.542502751946449,0.05155243776882849,-1.8577115019162496,7.7532680610815685,0.06351059822134161,-1.211624722679456
