sensor,anp_basic_mae,anp_basic_delta_mae,ranp_basic_mae,ranp_basic_delta_mae,anp_masked_mae,anp_masked_delta_mae,ranp_masked_mae,ranp_masked_delta_mae
0,17.196800112724304,5.257943868637085,13.344860672950745,4.063662648200989,10.229509472846985,0.7385080456733704,10.621075510978699,0.028084754943847656
1,33.726913928985596,21.788057684898376,21.930744647979736,12.64954662322998,11.955061316490173,2.464059889316559,10.933085143566132,0.3400943875312805
2,27.608067750930786,15.669211506843567,23.508912801742554,14.227714776992798,10.61286211013794,1.121860682964325,11.373476564884186,0.7804858088493347
3,29.344249963760376,17.405393719673157,17.861974358558655,8.580776333808899,10.109395027160645,0.61839359998703,9.616851329803467,-0.9761394262313843
4,31.91606593132019,19.97720968723297,15.83816409111023,6.556966066360474,10.362274467945099,0.8712730407714844,11.061702132225037,0.46871137619018555
5,34.60253643989563,22.66368019580841,16.757210850715637,7.476012825965881,12.463922381401062,2.9729209542274475,10.313990652561188,-0.27900010347366333
6,46.540335178375244,34.601478934288025,28.7580988407135,19.476900815963745,11.73971962928772,2.2487182021141052,12.79413777589798,2.2011470198631287
7,23.68502378463745,11.746167540550232,13.98756742477417,4.706369400024414,9.89661568403244,0.4056142568588257,11.00585663318634,0.41286587715148926
8,25.63207519054413,13.69321894645691,26.359225511550903,17.078027486801147,12.617393136024475,3.1263917088508606,11.304218173027039,0.7112274169921875
9,25.74468445777893,13.805828213691711,19.188021063804626,9.90682303905487,9.056146502494812,-0.4348549246788025,9.506110727787018,-1.0868800282478333
