epoch,val_mae_m,elapsed_s
1,7.751223850250244,0.6871840953826904
2,7.584252103169759,1.5493102073669434
3,7.513960456848144,2.386176347732544
4,7.493821652730306,3.2046713829040527
5,7.256640879313151,3.900303602218628
6,7.353013324737549,4.741435766220093
7,7.3021697362264,5.532485723495483
8,7.334980996449788,6.305272340774536
9,7.432271639506022,7.018934726715088
10,7.3357893625895185,7.834608793258667
11,7.34344596862793,8.616582155227661
12,7.235268084208171,9.319746494293213
13,7.332426611582438,10.2027108669281
14,7.230282560984294,10.853143453598022
15,7.164298057556152,11.710103034973145
16,7.234178988138835,12.529372930526733
17,7.270070870717366,13.199090242385864
18,7.263315073649088,14.025457620620728
19,7.179470825195312,14.808484077453613
20,7.241755358378092,15.563076496124268
21,7.275489298502604,16.404597520828247
22,7.204688676198324,17.13150191307068
23,7.272696749369303,17.942423105239868
24,7.325307432810465,18.70215153694153
25,7.442212041219076,19.405826330184937
26,7.385661220550537,20.094621658325195
27,7.3292844772338865,20.725466012954712
28,7.339607493082682,21.409387826919556
29,7.350880940755208,22.121583461761475
30,7.277176316579183,22.808255672454834
31,7.327258491516114,23.51149606704712
32,7.34882230758667,24.187901258468628
33,7.350155544281006,25.03943157196045
34,7.342118295033773,25.83796525001526
35,7.398276011149089,26.701452255249023
36,7.416788482666016,27.543058156967163
37,7.4490071932474775,28.249222993850708
38,7.397544606526693,28.914172649383545
39,7.4376093228658045,29.566752195358276
40,7.37856305440267,30.278026819229126
41,7.447140820821127,30.994378805160522
42,7.4010780334472654,31.718475580215454
43,7.356603272755941,32.491512298583984
44,7.283657201131185,33.23138618469238
45,7.317530886332194,34.004369497299194
46,7.353972784678141,34.83872365951538
47,7.352466297149658,35.64388728141785
48,7.343152650197347,36.3650758266449
49,7.365665372212728,37.033185720443726
50,7.3085208574930824,37.91404056549072
51,7.434242375691732,38.62080526351929
52,7.304815705617269,39.27410340309143
53,7.311141872406006,40.02713179588318
54,7.326899560292562,40.697322368621826
55,7.268021106719971,41.42471694946289
56,7.317424456278483,42.11289668083191
57,7.4437069257100426,42.79825043678284
58,7.4288924853006995,43.61354374885559
59,7.396506404876709,44.250282764434814
60,7.390198930104574,45.03402614593506
61,7.370900948842366,46.03205490112305
62,7.455290699005127,46.94906759262085
63,7.372389380137125,47.76770734786987
64,7.385875161488851,48.4703483581543
65,7.263114007314046,49.25167942047119
66,7.292461109161377,49.91069531440735
67,7.288136005401611,50.54919743537903
68,7.4324012438456215,51.19657802581787
69,7.417442194620768,52.058769941329956
70,7.2756115913391115,52.87142252922058
71,7.394759400685628,53.683077812194824
72,7.368131860097249,54.587857246398926
73,7.398090108235677,55.30988955497742
74,7.4237362543741865,56.102619886398315
75,7.376845836639404,56.90380024909973
76,7.39005266825358,57.54209899902344
77,7.386137390136719,58.30362892150879
78,7.365397612253825,59.04981088638306
79,7.2949724197387695,59.764198541641235
80,7.413285732269287,60.37453269958496
81,7.376923147837321,61.13139081001282
82,7.409598859151204,61.82837176322937
83,7.384102058410645,62.697723627090454
84,7.401441764831543,63.38121938705444
85,7.344578615824381,64.22948694229126
86,7.352120272318522,65.07452154159546
87,7.34724702835083,65.83464741706848
88,7.239807637532552,66.55987191200256
89,7.3307853698730465,67.2339870929718
90,7.343763033548991,67.89449381828308
91,7.3977409362792965,68.64190745353699
92,7.417934544881185,69.41435074806213
93,7.541171328226725,70.12142992019653
94,7.484305381774902,70.81601405143738
95,7.532889238993326,71.47959804534912
96,7.534672133127848,72.27309799194336
97,7.422945149739584,73.21553683280945
98,7.4297281265258786,74.03803420066833
99,7.357825056711833,74.94839692115784
100,7.386933994293213,75.74444651603699
101,7.350810877482096,76.46646881103516
102,7.338474051157633,77.18908333778381
103,7.312370872497558,77.92807626724243
104,7.409031836191813,78.77363419532776
