k_active,anp_basic_mae,anp_basic_mae_std,anp_basic_nll,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_nll,anp_masked_mae,anp_masked_mae_std,anp_masked_nll,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_nll
1,105.29528088887534,12.20804918329569,170.25115396499632,147.38848796844482,7.424307365903297,665.8480218251548,29.893783680597938,2.8972221324502754,-0.6530751776865994,76.02939287662505,24.847407447312044,-0.16838773078764155
2,100.68785841623942,13.413629268819799,175.0599191029867,127.56124722162882,11.365020758321856,491.3615712356567,24.868507222334536,3.0458801759221417,-0.754385695552434,37.99792714436849,18.679815992941222,-0.5964480718349419
3,92.28402925173442,12.188956231709033,148.32282425880433,118.96201847076415,14.952570755669948,438.7999739201863,19.850301446119946,2.172947665437129,-0.865096641962106,18.980753446022668,9.250284161756433,-0.5798098931109418
4,83.41573075930279,9.371089827023386,128.1127227052053,103.04407353719077,16.8335619460793,356.68157829284667,17.022111964225772,2.4196646970273323,-0.9077177545624241,13.319381701548895,5.376980785746872,-0.6884666339418619
5,72.58205472310384,13.389026069813125,103.70785535494487,83.63267809867858,17.158697869757408,256.37917631785075,13.517196805079779,1.899347012972277,-1.0201841902063462,9.997368751366933,2.610006088609853,-0.492634249282164
6,60.65489394505819,10.537738587316088,78.56575093587239,62.0996671295166,18.249911762140105,159.46014023303988,11.049142320553461,1.5344941895596298,-1.1830537124934681,8.829615298906964,1.601549896888879,-0.7314071131830374
7,47.78687139670054,8.927971694159881,50.723131241798406,50.39836757659912,17.639830317597433,125.38772526105245,9.745480499664943,1.226147303569918,-1.3135171257580323,7.88907854159673,1.1806433399377896,-1.1850283833110007
8,31.585035636425015,7.6344760519571215,26.214426652590436,28.81270754337311,16.73508654455955,48.669573538899414,8.023722042242685,0.7500261800345533,-1.4595213957875965,7.42008966843287,0.846454763852917,-1.3048872421433528
9,19.67038150946299,4.411468484527174,9.803861209892979,14.635291477441786,11.3702698735174,15.48587785974601,6.779611912568412,0.47299994052385924,-1.614102491289377,7.157227373520532,0.6141756225885555,-1.390712671976847
10,6.261276379426319,0.031219237357407493,-0.7987508561255527,4.930147703488669,0.025439715238047746,-1.1473957043498137,5.8425847685337065,0.04135663778642504,-1.7419453633824984,7.1555718215306605,0.02691220452403839,-1.4040860265493391
