sensor,anp_basic_mae,anp_basic_mae_std,anp_basic_delta_mae,anp_basic_delta_mae_std,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_delta_mae,ranp_basic_delta_mae_std,anp_masked_mae,anp_masked_mae_std,anp_masked_delta_mae,anp_masked_delta_mae_std,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_delta_mae,ranp_masked_delta_mae_std
0,23.236410760879515,0.11790683210060376,10.372635293006896,0.13536205858660677,13.444792890548706,0.08697630155744726,4.306416404247285,0.1156629008751657,7.983172333240509,0.09584081233120474,0.892598032951355,0.17251168522161212,7.906082701683045,0.05688975707885771,0.2844116210937502,0.06214493065144065
1,31.8964102268219,0.12453586211781308,19.03263475894928,0.14117381769375986,22.098444175720214,0.20513014114968206,12.960067689418793,0.2188410482846737,8.31155742406845,0.11423354965579627,1.2209831237792965,0.18336881985948061,7.788240456581116,0.03791065087842838,0.16656937599182164,0.04541767712253687
2,32.057377862930295,0.12683426235918802,19.193602395057674,0.14320543270771308,22.320055961608887,0.12031935432280351,13.181679475307465,0.14244218697739353,8.258059215545654,0.09806139938332877,1.1674849152564999,0.17375516763167675,8.183255732059479,0.03364518031137445,0.5615846514701843,0.041923097492501976
3,28.825354146957398,0.12340778088963857,15.961578679084779,0.14017969265520966,18.237071800231934,0.10009984458138356,9.098695313930513,0.12582928312385613,7.645678150653839,0.12911926138353402,0.5551038503646852,0.19299379236111394,7.335187649726867,0.047471558564879564,-0.2864834308624271,0.0536572158964637
4,27.867744207382202,0.16506585832053713,15.003968739509583,0.17795393626413447,15.126244974136352,0.05816023496828568,5.98786848783493,0.09589391293409923,8.095640981197358,0.1788874242624881,1.0050666809082038,0.22929354720306194,7.543661797046662,0.0639063353259774,-0.0780092835426327,0.06862628971449057
5,27.068599796295167,0.13875961194534892,14.204824328422548,0.15386713669925692,15.771429514884948,0.09984741666493081,6.633053028583527,0.12562856451025262,7.966499292850495,0.1314493227682564,0.875924992561341,0.19456038827553934,7.687367153167725,0.05568483152551771,0.06569607257843035,0.06104382366141736
6,43.04682865142822,0.20015205819347184,30.1830531835556,0.21090688051338424,29.41696677207947,0.037139864845241524,20.278590285778048,0.08480801357754592,7.679730701446533,0.20155710055559026,0.5891564011573793,0.24738650936150844,8.336149275302887,0.03136096059707614,0.7144781947135925,0.04011306264488276
7,22.361079740524293,0.09909239483994728,9.497304272651673,0.11933217740374978,14.564742255210877,0.07041412930597206,5.426365768909456,0.10378429174092078,8.005847001075745,0.04573309424490664,0.9152727007865913,0.15055343283668057,7.84865243434906,0.078437761257939,0.2269813537597658,0.08232879409015027
8,26.837346887588502,0.1492831953105327,13.973571419715883,0.16342073996566853,26.304683697223663,0.0900806044023174,17.16630721092224,0.11801501978872522,9.190654349327087,0.21573865868004066,2.100080049037933,0.25907139764697773,7.846500301361084,0.01757007291798006,0.2248292207717899,0.030565591888986266
9,26.008630251884462,0.0982523292075778,13.144854784011843,0.11863551763075948,19.299132227897644,0.07131046824963085,10.160755741596223,0.10439450410930651,7.638416004180908,0.09079079370520277,0.5478417038917547,0.1697580291217946,7.807374513149261,0.038809484767538684,0.18570343255996669,0.04617059727903402
