model,n_traj,n_runs,ft_mae_mean,ft_mae_std,baseline_mae,baseline_mae_std,gap_closed_pct
anp_masked,20,5,9.499519264698028,0.6371026882342271,10.56680407524109,0.24107789193876905,10.100355821338631
ranp_masked,20,5,7.917979192733765,0.4219185841063181,7.849648070335388,0.07752175234077137,-0.8704991839902564
anp_masked,50,5,9.207301473617553,0.7538032383807198,10.56680407524109,0.24107789193876905,12.865787914142977
ranp_masked,50,5,8.443694746494293,0.8760957267489387,7.849648070335388,0.07752175234077137,-7.567812860348055
anp_masked,100,5,8.61451177597046,0.8582900985634093,10.56680407524109,0.24107789193876905,18.475712101495425
ranp_masked,100,5,8.009019470214843,0.4403409199307691,7.849648070335388,0.07752175234077137,-2.030299937671545
anp_masked,250,5,8.327529501914977,0.38110212418323264,10.56680407524109,0.24107789193876905,21.19159735887335
ranp_masked,250,5,7.9608106195926664,0.45633761723596594,7.849648070335388,0.07752175234077137,-1.4161469184506827
