model,n_traj,ft_mae,baseline_mae,gap_closed_pct
anp_masked,20,15.13192629814148,19.73517370223999,23.32509190722771
ranp_masked,20,14.907872915267944,14.672055065631866,-1.607258482749718
anp_masked,50,14.8735910654068,19.73517370223999,24.634101073462503
ranp_masked,50,15.217219710350037,14.672055065631866,-3.715666566677325
anp_masked,100,13.27785575389862,19.73517370223999,32.719843492476826
ranp_masked,100,13.645771116018295,14.672055065631866,6.994820732492754
