epoch,train_loss,train_nll,train_nll_nonctx,train_kl,beta,train_var_min,train_var_mean,train_var_max,train_mae,val_loss,val_nll,val_nll_nonctx,val_kl,val_var_min,val_var_mean,val_var_max,val_mae_02,val_mae_04,val_mae_06,val_mae,val_mae_fixed_holdout,val_mae_inverse_holdout,val_weighted_score,val_robust_inverse_mean,val_robust_inverse_worst,val_robust_inverse_gap,val_robust_score
1,1.42630328209895,1.42630328209895,1.42630328209895,68.8951573641795,0.0,0.40333883495966216,1.3904677528255391,2.9834985823001503,104.22031150673921,90.69949448903402,0.8343910713990529,0.8343910713990529,89.8651039759318,0.061832736680905026,0.4895749012629191,1.0099451522032419,88.31134134928385,81.43347524007162,74.85497411092122,81.43347524007162,nan,75.61209055582682,75.61209055582682,72.92606525421144,74.65480092366536,1.7287356694539255,75.07488549550375
2,0.7650231904578659,0.7550735006917197,0.7550735006917197,99.49688475986697,0.0001,0.031342817848231994,0.3957790001383368,0.9999295113221655,69.22975302642246,130.3990219116211,0.5623031109571457,0.5623031109571457,129.83671875,0.023551072847718995,0.32713036437829335,0.7032351632912953,72.017919921875,65.37859319051107,54.97677052815755,65.37859319051107,nan,47.21685028076172,47.21685028076172,49.63182169596354,53.55285415649414,3.921032460530604,47.69984456380209
3,0.5379760625227442,0.5182844585967514,0.5182844585967514,98.45802307128906,0.0002,0.014996772746221637,0.27125725009531343,0.6256781867090261,60.441930446984635,107.68372898101806,0.3797905039042234,0.3797905039042234,107.3039379119873,0.0068182253511622545,0.2981956313053767,0.6350458999474843,69.58922119140625,62.190093739827475,49.12600072224935,62.190093739827475,nan,38.6489372253418,38.6489372253418,39.9118901570638,40.70805384318034,0.796163686116536,38.9015278116862
4,0.33018517592605556,0.30597762253908617,0.30597762253908617,80.69183982993071,0.0003,0.0050255805781146265,0.23675480260039275,0.5329515838398123,55.42468218533498,84.67728176116944,0.357510515054067,0.357510515054067,84.31977119445801,0.00651705456742396,0.28973606576522193,0.568561382095019,67.96443049112956,60.27682902018229,50.092822011311846,60.27682902018229,nan,39.96069361368815,39.96069361368815,41.678675874074294,42.069586435953774,0.3909105618794797,40.30429006576538
5,0.5449696802446302,0.5170891962875173,0.5170891962875173,69.7012101659235,0.0004,0.0029509073378131637,0.24098489194546105,0.5369497290197408,59.23986802011166,67.89373995463053,0.1023369580352058,0.1023369580352058,67.7914031346639,0.003592201539625724,0.24881682693958282,0.4851770281791687,69.87627258300782,63.56222915649414,56.069435119628906,63.56222915649414,nan,44.97033945719401,44.97033945719401,47.472443644205725,49.935367584228516,2.4629239400227902,45.470760294596346
6,0.40603349610881984,0.37059576749221756,0.37059576749221756,70.8754632338038,0.0005,0.0019491029714392323,0.22101077071900638,0.5105775718419057,55.820840151804795,73.16614672342936,0.15142940784183642,0.15142940784183642,73.01471741994222,0.0017538634536322206,0.23071204548080762,0.5112084120512008,70.23326721191407,62.29106140136719,52.43626022338867,62.29106140136719,nan,40.8517573038737,40.8517573038737,41.83034470876058,42.50517705281575,0.6748323440551758,41.04747478485107
7,0.1606190349063221,0.12152819389934247,0.12152819389934247,65.15139532988925,0.0006,0.0019381986184151105,0.19912287621003277,0.46294904373726753,52.05164409133623,67.77589702606201,0.012262036088698854,0.012262036088698854,67.76363512674968,0.0019980678082598996,0.21082900290687878,0.41805032938718795,67.74963175455729,58.86879145304362,46.95281219482422,58.86879145304362,nan,35.30745264689128,35.30745264689128,35.56710561116536,37.63389727274577,2.0667916615804103,35.359383239746094
8,0.11130809657416253,0.06768321572750244,0.06768321572750244,62.32126056023364,0.0007,0.0018157090284457466,0.19690296728655976,0.43996202833247633,53.70866019770784,71.37681636810302,-0.09957302865611078,-0.09957302865611078,71.47638943990071,0.001185641639555494,0.13744470675786336,0.27563558916250863,68.98114624023438,61.04689483642578,48.19450403849284,61.04689483642578,nan,36.146484756469725,36.146484756469725,35.02033754984538,39.118524169921876,4.098186620076497,35.921255315144855
9,0.10202997831522294,0.05554288348077603,0.05554288348077603,58.10886742933741,0.0008,0.0012626961282155705,0.1818167454791519,0.3996774604860342,48.960521626022626,65.42038962046306,-0.021126728043115387,-0.021126728043115387,65.44151662190755,0.0013358069544968506,0.17176806131998698,0.36469088892141976,71.58890940348307,64.69318567911783,52.589674123128255,64.69318567911783,nan,42.3582878112793,42.3582878112793,43.29046274820964,48.975572204589845,5.685109456380204,42.54472279866537
10,0.0851852259124225,0.04112046160998772,0.04112046160998772,48.96084900622098,0.0009,0.0013000779754464638,0.19732751795705758,0.4394457981271564,53.26726564371361,62.423622067769365,-0.10041932587822279,-0.10041932587822279,62.52404130299886,0.0011473561307260146,0.21686103492975234,0.4339979941646258,69.646240234375,62.65266596476237,49.68741175333659,62.65266596476237,nan,38.755109278361004,38.755109278361004,38.06352707544963,38.82595621744792,0.7624291419982896,38.61679283777873
11,-0.004563557616663429,-0.051689993660405,-0.051689993660405,47.12643241882324,0.001,0.001087491200656964,0.22848766817236846,0.4840179861716504,52.88141214622642,56.616199334462486,0.06320177253025273,0.06320177253025273,56.55299765268962,0.0010570744518190623,0.18874664281805356,0.3851407667001088,70.15680033365885,62.007565307617185,51.327049763997394,62.007565307617185,nan,40.43031361897786,40.43031361897786,38.94606536229452,41.65930315653483,2.713237794240314,40.13346396764119
12,-0.045804688425840075,-0.08991423659993089,-0.08991423659993089,40.09958918589466,0.0011,0.001045073006952287,0.22247009232359113,0.4844646268295792,56.75156280229677,41.115883668263756,-0.1358309032667118,-0.1358309032667118,41.25171473821004,0.0010482074673442792,0.2786159873008728,0.6032998502254486,69.5063481648763,61.768365478515626,51.01110331217448,61.768365478515626,nan,39.731370798746745,39.731370798746745,39.95584875742595,42.83541259765625,2.879563840230304,39.77626639048259
13,-0.013424239525536322,-0.05499104737251435,-0.05499104737251435,34.6390044374286,0.0012,0.001054249102038876,0.255875880706985,0.5884604009817231,56.36802831685768,46.93867769241333,-0.08293046701389055,-0.08293046701389055,47.021608130137125,0.001096968176231409,0.241853828728199,0.5319125165541967,67.57609532674154,58.83144607543945,45.58530807495117,58.83144607543945,nan,34.20014559427897,34.20014559427897,33.98440853754679,38.28294957478841,4.29854103724162,34.15699818293254
14,-0.18790290754218147,-0.23857961750352089,-0.23857961750352089,38.98208546188643,0.0013,0.0010677900973637148,0.17172089556478104,0.39133802731082123,46.85946050679909,42.68420381546021,-0.10820709080047285,-0.10820709080047285,42.79241059621175,0.0010524922399781644,0.16779421915610632,0.35230982502301533,69.405588277181,61.17592188517253,48.55048522949219,61.17592188517253,nan,39.35039800008138,39.35039800008138,37.70473788579305,40.41589635213216,2.711158466339107,39.02126597722371
15,-0.0459272434126656,-0.09128373669337411,-0.09128373669337411,32.39749598952959,0.0014,0.0010609084076933421,0.22853907521040934,0.5069275099151539,57.11825907005454,36.28053048451741,-0.16960241876853008,-0.16960241876853008,36.45013287862142,0.0010760758498994012,0.23510301808516185,0.49179134219884874,69.62405904134114,61.20533879597982,50.28033701578776,61.20533879597982,nan,40.10125389099121,40.10125389099121,40.3043288230896,43.41163024902344,3.1073014259338407,40.141868877410886
