epoch,train_loss,train_nll,train_nll_nonctx,train_kl,beta,train_var_min,train_var_mean,train_var_max,train_mae,val_loss,val_nll,val_nll_nonctx,val_kl,val_var_min,val_var_mean,val_var_max,val_mae_02,val_mae_04,val_mae_06,val_mae,val_mae_fixed_holdout,val_mae_inverse_holdout,val_weighted_score
1,1.395381288708381,1.395381288708381,1.395381288708381,39.89789174637705,0.0,0.2940809899976231,1.485751968509746,3.3402119301400095,113.292857044148,33.190888277689616,0.8593749781449636,0.8593749781449636,32.3315133412679,0.06528675338874261,0.5413514753182729,1.0184824973344804,85.36512145996093,82.48736826578777,78.76012980143229,82.48736826578777,102.3754638671875,72.35981089274088,78.36294148763021
2,0.6955417956946031,0.6908386782655176,0.6908386782655176,47.0311143263331,0.0001,0.018517349275567058,0.3294300785604513,0.803713711927522,66.30129191560566,52.15009460449219,0.40328396459420524,0.40328396459420524,51.74681075414022,0.012890108798940977,0.28406306157509487,0.5425834168990453,75.58500366210937,67.06947301228841,59.320099639892575,67.06947301228841,69.50874506632486,50.80843989054362,54.54850092569987
3,0.43620380379681317,0.42328556416169655,0.42328556416169655,64.59119760765219,0.0002,0.006815861682143976,0.28336362849991276,0.6195199298408797,61.634571147414874,74.90904432932535,1.8218629976113638,1.8218629976113638,73.08718115488688,0.0038920702179893853,0.21354063004255294,0.44636718978484474,68.67936833699544,60.33112716674805,48.41943944295247,60.33112716674805,52.04784189860026,34.15442733764648,37.73311024983724
4,0.29786689317662196,0.2739986818600095,0.2739986818600095,79.5606893143564,0.0003,0.0035594179040207615,0.23219841943596894,0.5067187086591181,56.39551767313255,64.32024478912354,0.012046739661794465,0.012046739661794465,64.30819822947184,0.0017323477853400011,0.21040766860047977,0.4153810968001684,67.74839579264322,60.14738464355469,49.127272033691405,60.14738464355469,51.007989247639976,35.591431045532225,38.674742685953774
5,0.10033989985877613,0.07534039920340907,0.07534039920340907,62.49875439337964,0.0004,0.0014465978667842893,0.2462359585289685,0.49589891310008066,57.60369552756256,65.09042358398438,0.3403076658646266,0.3403076658646266,64.75011577606202,0.0011969963845331222,0.2630782534678777,0.5119863604505857,74.26165262858073,67.45139032999674,59.87219746907552,67.45139032999674,57.51081364949544,50.18640060424805,51.65128321329753
6,0.23344241507913707,0.2011746083175377,0.2011746083175377,64.53560710403154,0.0005,0.0019745032571010152,0.277074766890058,0.5561870814494367,59.833194336801206,61.04120260874431,0.7242771819233894,0.7242771819233894,60.316925366719566,0.0012155902901819597,0.17992337867617608,0.35097157657146455,79.18583679199219,71.50489501953125,64.46313756306967,71.50489501953125,59.97338689168294,54.537713623046876,55.624848276774095
7,0.3328438657423798,0.29958712858288494,0.29958712858288494,55.427894016481794,0.0006,0.0012852384440846883,0.228368065267239,0.49519173322983506,61.56773599588646,56.53340371449789,-0.14936374578004083,-0.14936374578004083,56.68276735941569,0.0011588991386815906,0.23346956993142765,0.4972184752424558,68.70509236653646,60.308546447753905,48.05225499471029,60.308546447753905,47.54556020100912,36.67086486816406,38.84580393473307
8,0.24181972338624722,0.20224436047434244,0.20224436047434244,56.53623433383006,0.0007,0.0011505829961091843,0.33650304855040786,0.7478967477690499,70.35622377215691,45.22763446172078,0.11094625558083256,0.11094625558083256,45.116688092549644,0.0015402684065823754,0.4496258015433947,0.7611293315887451,79.8594985961914,77.3118179321289,74.43435872395834,77.3118179321289,86.66079966227214,66.6576141357422,70.65825124104819
9,0.23959718707878636,0.19950121863446427,0.19950121863446427,50.11996035305959,0.0008,0.001278526760321462,0.2718993627800132,0.5372425885695331,55.601352871588944,32.18874476750692,0.08178135535029772,0.08178135535029772,32.106963316599526,0.0010480285932620366,0.17751154229044913,0.3486515074968338,71.48485107421875,64.7448839823405,58.021403249104814,64.7448839823405,70.8659777323405,42.84246622721354,48.44716852823893
10,0.08193110804653393,0.0419933963918461,0.0419933963918461,44.3752362593165,0.0009,0.0010699060600567257,0.3020487441769186,0.7545282891336477,64.77936078917305,43.27526216506958,-0.03377336428966373,-0.03377336428966373,43.30903571446736,0.0010695305070839822,0.3103716681400935,0.7969350546598435,79.7048095703125,72.0266825358073,62.84879887898763,72.0266825358073,66.6433120727539,50.648890431722,53.847774759928384
