epoch,train_loss,train_nll,train_nll_nonctx,train_kl,beta,train_var_min,train_var_mean,train_var_max,train_mae,val_loss,val_nll,val_nll_nonctx,val_kl,val_var_min,val_var_mean,val_var_max,val_mae_02,val_mae_04,val_mae_06,val_mae,val_mae_fixed_holdout,val_mae_inverse_holdout,val_weighted_score,val_robust_inverse_mean,val_robust_inverse_worst,val_robust_inverse_gap,val_robust_score
1,1.2578137899344821,1.2578137899344821,1.2578137899344821,100.03593365651257,0.0,0.2639133808958643,1.1310484381216876,2.5870924850679793,93.83567817256136,136.06488393147785,0.8580480555693308,0.8580480555693308,135.20683606465658,0.042130674918492636,0.4878098413348198,1.0283402929703394,91.69158223470052,84.41048990885416,77.68299916585286,84.41048990885416,nan,68.91635437011719,68.91635437011719,70.37304922739665,73.5298563639323,3.1568071365356474,69.20769334157308
2,0.6215369892570207,0.6110014791758556,0.6110014791758556,105.35512125267172,0.0001,0.01947131181873803,0.3210120788722668,0.7779831627629837,62.8969583331414,111.86796696980794,0.3907823118070761,0.3907823118070761,111.47718467712403,0.00770888386759907,0.314107371866703,0.7160172700881958,69.81560490926107,62.68613789876302,53.53486302693685,62.68613789876302,nan,47.37810465494792,47.37810465494792,45.805250612894696,48.05841267903646,2.253162066141762,47.06353384653727
3,0.40736391595652643,0.3867343380906672,0.3867343380906672,103.14789451743071,0.0002,0.00675755525710729,0.2765056437478875,0.68976103697183,57.52518045677329,120.14879595438639,0.2103804942268956,0.2103804942268956,119.93841552734375,0.003217526470931868,0.2383972868323326,0.5045822968085607,71.34241587320963,64.24766565958659,50.20453898111979,64.24766565958659,nan,40.170545705159505,40.170545705159505,41.13023541768392,45.29415740966797,4.163921991984047,40.36248364766439
4,0.2656317950700814,0.2379080727292809,0.2379080727292809,92.41240425829618,0.0003,0.0035598470943646048,0.228619599117423,0.566258375374776,56.77214971578346,80.01922346750895,0.38412182197595635,0.38412182197595635,79.63510169982911,0.0019829352774346867,0.28896359403928124,0.6003511647383372,71.27969055175781,66.59130554199218,58.272195434570314,66.59130554199218,nan,47.94214630126953,47.94214630126953,49.35802707672119,50.39982274373372,1.0417956670125292,48.22532245635986
5,0.46378204577936316,0.432989311799899,0.432989311799899,76.98183671483454,0.0004,0.002513631692876653,0.2547194968979314,0.5967105908213921,57.029423659702516,90.27021261850993,-0.03207393271150068,-0.03207393271150068,90.30228621164957,0.0013529476166392366,0.22455446446935337,0.5842813407381375,71.06751912434896,62.82028020222982,50.90372543334961,62.82028020222982,nan,41.42852884928386,41.42852884928386,39.87327032089233,42.63451995849609,2.761249637603761,41.117477143605555
6,0.35986128217487967,0.3218314477224957,0.3218314477224957,76.05965891424215,0.0005,0.0014948900986708842,0.2251051847102507,0.5266743352952993,56.84000159209629,72.34757595062256,0.051063689995013796,0.051063689995013796,72.29651177724203,0.001457003989101698,0.2091779778401057,0.43526200354099276,66.35364990234375,59.71615041097005,49.3624870300293,59.71615041097005,nan,39.67462921142578,39.67462921142578,39.82200056711832,41.81235911051432,1.990358543395999,39.70410348256429
7,0.13003108597729565,0.08945139956260803,0.08945139956260803,67.63280753369601,0.0006,0.0012387014894728672,0.21936411340281647,0.5416959304854555,54.47882339189638,66.41644452412923,0.2170329462426404,0.2170329462426404,66.19941139221191,0.0010840110519590477,0.23770812451839446,0.5184134731690089,68.19180857340494,61.943441772460936,52.90009307861328,61.943441772460936,nan,40.044594065348306,40.044594065348306,41.848245493570964,43.10650863647461,1.258263142903644,40.405324350992835
8,0.18716951695112688,0.14179315697401762,0.14179315697401762,64.82337339869085,0.0007,0.0011681342137239452,0.217038372496389,0.4902517795562744,52.017065660008846,67.92369810740153,-0.17305090554679434,-0.17305090554679434,68.09674886067708,0.001180354457270975,0.20247510323921838,0.4759495039780935,64.31340967814127,56.23087819417318,45.28624928792318,56.23087819417318,nan,32.91527010599772,32.91527010599772,32.778189436594644,34.46450004577637,1.6863106091817244,32.88785397211711
9,0.2323451353553331,0.18323198176990702,0.18323198176990702,61.39144422423165,0.0008,0.0013104620025018757,0.21024540066719055,0.4843937046123001,57.38025219035598,80.864404296875,0.07194600867417951,0.07194600867417951,80.7924580891927,0.0013600289608196666,0.24084516639510792,0.4996259346604347,69.95608698527018,59.84211171468099,47.17321014404297,59.84211171468099,nan,36.777780278523764,36.777780278523764,37.367017364501955,41.675645701090495,4.308628336588541,36.8956276957194
10,0.011549336449155267,-0.04035913602466572,-0.04035913602466572,57.67608009194428,0.0009,0.0011522675587637525,0.1993946447125021,0.434308315223118,54.44718486857864,58.47591857910156,-0.17737760076949297,-0.17737760076949297,58.653296089172365,0.0011691445775795727,0.19819367602467536,0.4040303364396095,67.64400787353516,59.35177815755208,49.3545893351237,59.35177815755208,nan,41.102684020996094,41.102684020996094,40.24981629053752,45.730291748046874,5.480475457509357,40.93211047490438
11,-0.048697796140639286,-0.09456004086389856,-0.09456004086389856,45.86224354438062,0.001,0.0011670026699748804,0.1871431810113619,0.411341057071146,51.17411228395858,46.50050217310588,-0.17219113789421195,-0.17219113789421195,46.672693475087485,0.0011151003922956686,0.19626758793989818,0.3978072871764501,65.27266311645508,57.78672536214193,47.35790735880534,57.78672536214193,nan,35.83741544087728,35.83741544087728,37.819455019632976,42.082942962646484,4.263487943013509,36.23382335662842
