epoch,val_mae_m,elapsed_s
1,14.371576817830404,1.0199863910675049
2,12.88580780029297,2.1255900859832764
3,13.72600866953532,3.6705334186553955
4,12.65858523050944,4.719847917556763
5,13.427773729960125,6.086989402770996
6,12.663576952616374,7.168236017227173
7,12.310945383707683,8.273327827453613
8,12.594916152954102,9.698524713516235
9,12.044972928365071,10.701773881912231
10,12.070842043558757,12.01690936088562
11,12.21907761891683,13.047184467315674
12,12.492004267374675,14.130208015441895
13,11.66350498199463,15.224608421325684
14,11.842714246114095,16.669411182403564
15,11.695830281575521,17.67966365814209
16,12.27568105061849,18.668745756149292
17,11.232544708251954,19.720983743667603
18,11.559935506184896,21.083237171173096
19,10.663335291544596,22.174927711486816
20,11.596384302775066,23.576253652572632
21,10.407336044311524,24.63519024848938
22,11.000132433573405,26.010504722595215
23,11.078499285380046,27.028306484222412
24,11.010466702779134,27.950655937194824
25,11.146188481648762,29.059345483779907
26,11.358825874328613,29.992184162139893
27,11.294772974650066,30.999943256378174
28,10.443839836120606,32.00010848045349
29,11.690360577901204,33.03052306175232
30,10.751848030090333,34.14964413642883
31,11.50203348795573,35.236106157302856
32,12.063036092122395,36.2141010761261
33,11.207223892211914,37.25611233711243
34,11.681949043273926,38.38432312011719
35,11.387217013041179,39.37955284118652
36,11.707739321390788,40.28630876541138
37,11.102583185831707,41.26395916938782
38,11.525623257954916,42.268436908721924
39,11.655250549316406,43.35795831680298
40,11.517820485432942,44.34816527366638
41,11.554544003804525,45.31033515930176
42,11.24843947092692,46.31550860404968
43,11.445399411519368,47.38336968421936
44,12.668661308288574,48.4683735370636
45,11.623111152648926,49.441609621047974
46,11.959890174865723,50.37128925323486
47,11.16900151570638,51.4650194644928
48,10.984182167053223,52.57774472236633
49,10.630819257100423,53.56355881690979
50,11.978388277689616,54.599621057510376
51,12.597219149271647,55.60358452796936
52,11.506848526000976,56.88667893409729
53,12.172780354817709,57.98282599449158
54,11.363098526000977,58.89568901062012
55,12.01486447652181,59.8779878616333
56,12.368304634094239,61.04934215545654
57,12.244645690917968,62.089139461517334
58,12.274731636047363,63.01340961456299
59,11.801439730326335,63.96239876747131
60,11.098827870686849,64.9827663898468
61,11.581395149230957,66.2513153553009
62,10.972783819834392,67.14594316482544
63,10.88104248046875,68.18930530548096
64,11.648638280232747,69.19509530067444
65,10.976956335703532,70.33182072639465
66,11.557402610778809,71.38401770591736
67,11.544679005940756,72.40793824195862
68,11.860738627115886,73.33436965942383
69,11.024648793538411,74.34559082984924
70,11.279322497049968,75.52663826942444
71,11.054467455546062,76.56481289863586
