sensor,anp_basic_mae,anp_basic_mae_std,ranp_basic_mae,ranp_basic_mae_std,anp_masked_mae,anp_masked_mae_std,ranp_masked_mae,ranp_masked_mae_std
0,80.26094055175781,0.13216976083883922,172.3457317352295,0.26975319813967874,31.086837100982667,0.2801765349429204,50.540395402908324,0.15273683660977327
1,103.89482250213624,0.22211677937375862,202.3544536590576,0.12311102648759097,32.74338021278381,0.16829862854892058,42.56059846878052,0.1408570900690115
2,93.64903030395507,0.27043492891811627,185.93025970458984,0.28151772718245505,32.294813299179076,0.29953242554414505,54.70004529953003,0.13408749608937415
3,77.49935798645019,0.24319245508240073,206.82488594055175,0.19394283313576416,37.92192664146423,0.17892755387980483,67.06309232711791,0.35515288058198674
4,82.12418689727784,0.43792996927720573,212.64664611816406,0.2402326536141146,44.56544771194458,0.27786786364105137,113.57520141601563,0.13749043753387782
5,91.11943492889404,0.17318594542566343,227.41000595092774,0.21353646388655445,40.031272315979,0.5300115955895073,120.27480831146241,0.3014816280922804
6,96.31049461364746,0.3310004416940125,160.68219718933105,0.4107107578120407,35.72392897605896,0.3541567389782842,90.15733451843262,0.1290657606109478
7,78.91098327636719,0.11838652676350966,164.19733772277831,0.10783362284944537,35.971768856048584,0.3618131411575481,49.11231861114502,0.22642940420442909
8,65.39861135482788,0.11851030973358936,124.45266876220703,0.3256858419323716,33.99486465454102,0.23057943676067288,32.873094367980954,0.12953544677737136
9,62.621129322052,0.20863077075988679,177.9270435333252,0.19709540913158996,35.45292177200317,0.31715368965389457,41.32249174118042,0.1975915821305406
