model,train_01/mae_SoC_pct,train_01/mae_Cycle,train_02/mae_SoC_pct,train_02/mae_Cycle,train_03/mae_SoC_pct,train_03/mae_Cycle,train_04/mae_SoC_pct,train_04/mae_Cycle,train_05/mae_SoC_pct,train_05/mae_Cycle,train_06/mae_SoC_pct,train_06/mae_Cycle,train_07/mae_SoC_pct,train_07/mae_Cycle,train_08/mae_SoC_pct,train_08/mae_Cycle,train_09/mae_SoC_pct,train_09/mae_Cycle,train_10/mae_SoC_pct,train_10/mae_Cycle,train_11/mae_SoC_pct,train_11/mae_Cycle,train_12/mae_SoC_pct,train_12/mae_Cycle,train_13/mae_SoC_pct,train_13/mae_Cycle,train_14/mae_SoC_pct,train_14/mae_Cycle,train_15/mae_SoC_pct,train_15/mae_Cycle,train_16/mae_SoC_pct,train_16/mae_Cycle,train_17/mae_SoC_pct,train_17/mae_Cycle,val_01/mae_SoC_pct,val_01/mae_Cycle,val_02/mae_SoC_pct,val_02/mae_Cycle,val_03/mae_SoC_pct,val_03/mae_Cycle,val_04/mae_SoC_pct,val_04/mae_Cycle,val_05/mae_SoC_pct,val_05/mae_Cycle,test_01/mae_SoC_pct,test_01/mae_Cycle,test_02/mae_SoC_pct,test_02/mae_Cycle,test_03/mae_SoC_pct,test_03/mae_Cycle
specialist_01,3.2164070216884024,25.499842312923178,9.090058697708352,101.21659278342628,14.077956747705676,237.08631408258458,15.612621391636809,448.75167588105813,27.2428869915962,768.2354622002051,21.75611111960413,86.50051434752325,12.981606430488055,122.95493908309216,14.833323166892907,206.62707000935393,21.808614009426194,430.65871576249276,18.644423874384415,755.4501322854737,39.58707125904071,184.19943052776688,34.38055526549075,197.95393822572373,31.394826738401388,270.69620161340464,28.622312457592102,442.0868198096252,21.315401658362724,710.8922426877955,53.28751878544989,352.1492005471725,48.44805174539019,381.24033704902257,49.32047730638207,449.0310322302037,39.53916163100628,552.0060612836203,31.857234240148244,745.1602643832649,70.20065929144036,649.847588200979,64.62496783265152,669.8567701358406,63.63227513848718,728.7875812487844,59.4282585855022,787.8719682420632,41.208308732399416,885.398177674509
specialist_02,27.091628971702917,32.00562617245765,2.5974614819925943,33.0135043835441,8.892993070607098,120.85128440476569,12.56788497438142,199.5196965957766,20.1184451356972,281.35611566066774,31.133973505471854,31.477628998296172,17.010469576625418,60.46050111712856,16.146212518594957,121.23812289458408,14.584311607278739,200.70165846795192,12.850651051311923,285.2079212017169,36.18233206428465,56.406895831174175,31.94907073342555,119.57488976166101,31.25520342397866,175.2676300209154,25.323463989901096,237.54000932608648,19.65804479033141,302.01631707069686,42.610840544824946,109.95538773324684,43.108453453884266,193.4631720729853,42.684373144526745,250.46427261847774,38.58347160509163,303.527006348464,29.66390086964669,363.1406302121497,48.70839102220066,202.77562125174828,52.88188095577325,296.29648642137727,51.155620122008614,347.7383725702329,47.635707084652395,393.69767071942965,40.361399622127614,452.16813354151736
specialist_03,13.128220026336924,22.72637273266135,6.815140181744936,15.766051336893458,1.899980094566601,21.14767220384187,12.037145410641296,72.14142800147107,20.878498066765665,141.46494181197895,22.016604370848693,17.948151881538813,22.897286889727056,32.18529430913276,17.450946974863413,62.168446620454546,19.71594565927364,119.24746908308057,15.79199653913998,182.64875985559593,35.49627894187754,48.04630146729745,34.124523436535675,96.1299912232599,34.79546566185356,148.8833505441744,41.13689540973138,217.27152161754861,41.08617418184592,280.5523411212777,47.296310323905914,127.00574026460859,46.097040454188026,200.17737592655848,49.431388862565655,267.283265238768,53.50346459259759,340.03342127442687,57.1395814592557,408.8130513132576,56.6492039170385,232.0872266664651,58.62402149393773,360.3137333056971,61.10471521508846,446.15770032959887,63.420286606118566,510.513695269596,67.60740432521453,572.9117393987726
specialist_04,15.796280654841414,78.60560946952575,25.427867599315242,50.99892083847691,17.179974320362565,45.17945552480226,2.612255680835925,20.953537508299576,21.749074988535096,81.72112440717036,32.71327425188738,88.90870433954005,40.90208324323953,84.31381235594519,28.467683534933,62.72876958707438,24.23463580604356,50.01008728238717,28.92735267586322,145.88613460995379,43.34468310065422,60.09776794257813,44.08584761793394,58.8326184802131,36.812904272699924,65.7804333120092,39.0333792078289,119.06282315184285,40.21326026882089,242.1903334295033,40.83222291413036,37.06511706762567,41.65866616892073,49.371375000083255,44.783907377779215,103.80167332355951,46.438231781145056,224.7665434935634,49.91408146113754,384.84374741703544,45.0783649045426,72.47801057135999,50.560919880856865,91.96339677457063,54.0823168679339,252.3523794174977,56.97000761890253,409.4819483431213,63.97206972348151,603.3271664643391
specialist_05,22.50053434321559,39.15161070328903,40.44367697173294,46.70194435929844,37.59732540756258,47.0802590218525,20.155135849923767,32.121501062257906,2.2149621465952114,36.0102697008111,36.94626529048907,47.76960372471042,55.32862157639373,61.11536634144949,50.05408631175551,60.17932017332231,39.51851616207468,58.279406990188576,26.293075097177358,83.16698747579147,57.038511181426536,81.13956217341551,65.26706747866425,96.62569479120526,63.27280527399177,106.48097047235467,60.440219137032,118.36328967694125,50.5339858681338,152.9466894623155,70.61407278927702,142.41082872764804,72.24083430550789,168.24061764112997,71.02522996887592,189.4254745360522,69.06383467462237,215.97149819915478,61.50910921663748,246.17815055266644,71.02083698317998,225.09336758876483,72.38633621585059,273.8639924206391,71.21157306034594,312.7261823491126,69.90158584895036,333.8711505834924,70.98109539654295,358.9707962745953
specialist_06,13.571544334874675,44.128404183891206,14.733033130799146,96.25600829824336,15.256449919986144,207.49364476494233,18.859682695471683,333.6645735052195,23.14644610280119,571.0824212397584,3.7694230226274197,22.51729933686831,5.82156803423271,93.05180375892058,10.031444194671074,170.9168412428448,14.908989611373553,333.0542242635881,16.972556090251704,568.7547638171841,16.827921730516085,83.23113238079014,13.831543707356865,130.65502775103246,14.934013119095345,209.17604330386243,14.547074544123399,348.3899441264704,22.05077933007023,572.7845715747884,34.394964600714964,221.9783340295537,33.08928701641701,241.5459153851317,33.22822715528662,306.29285874755317,30.589552539457937,430.1442118528273,23.866307723267187,626.2670245558949,51.1960889049828,451.6807082444784,45.764035122298914,428.8545968684964,44.10019107671396,512.3404816737121,42.12282505293923,606.2610308184534,33.911539821458774,753.8138703247083
specialist_07,31.596683614435417,261.2846753400386,16.688537532979844,103.53759153609441,24.6824772357434,178.3398247626612,26.710993267026318,283.27595935674657,29.225398757405944,399.58992360393495,38.90697684512876,40.34680947835778,2.1556568628561195,20.85172901994957,4.66624842941753,104.82715264719637,9.392462333989851,228.87794169231705,12.095381827212728,365.9723711958709,36.66474441536372,34.05902215782725,18.902103540121857,75.61914879859934,19.109270647913853,139.6490094387435,20.57211592780735,238.50182896714784,22.34432181319889,376.0149369759498,44.925405866771875,100.77618441468412,42.1868855814098,194.12752076417223,41.88071178884429,249.12925696009285,42.305714803011675,325.4723112758496,44.58183020718928,447.34604045167447,59.30778904143752,243.97568135674584,59.20593078527954,371.51162838200224,59.47238161720686,432.02978326332715,58.90062834039843,504.1118993832073,60.07712916015758,600.6160551753287
specialist_08,28.540845370945995,139.80516708409152,6.179997718447302,59.31705032285304,19.96868706076487,88.61779470718557,27.801758808650355,172.23047393390203,31.505593439374447,291.65945091390955,43.75320854899214,33.20303355867204,15.139759262839389,18.529869098839207,1.919540872742428,26.265177337644854,13.436222781649418,105.31694727622461,21.908781958459702,227.07053727720054,48.93735708552511,39.52958585166686,24.677730721882646,51.70599597258405,16.727539275450244,75.90742542230683,14.024962400985538,141.03076034321364,12.379218265390648,237.4148206786975,51.428290528078925,103.12113325045841,39.36971325424842,164.83104670817576,37.50878794906512,203.8932259197715,35.9306289394813,253.12503795022744,34.46731592548392,328.6045824515289,55.52508360887727,225.37808603582303,53.33128269031193,344.0247885611464,54.2141439367699,396.10277516385105,53.66784434420857,437.44019800378544,55.5415084305013,491.28285257666346
specialist_09,15.448734297679628,89.65846025723681,11.015885763633412,41.51669695810155,8.111850004625342,39.45036051603047,12.999435771260716,56.73007373957372,25.83124538640854,108.67201680341402,25.82469117137816,36.09243440724995,21.64608227347224,20.95042957567946,12.971880296837655,21.44759904240933,1.8922435107074635,27.21924625235855,11.020244039911255,97.12800566111474,37.13634807821424,42.58360603791891,32.44674336064905,45.39461619386118,26.632610506128273,54.8946536580593,24.553319433125615,86.34427928689973,23.2153882364045,143.3240190301594,57.800147921787556,108.4585463423703,53.675997848077074,139.25499653416986,52.275145388373566,177.54137718979513,50.475128982640484,230.88301182308086,46.2924427723222,261.8321151655648,71.02083698317998,260.90406455341883,70.72277200820558,343.6059719591334,69.68769338786241,393.5155588380092,65.520569609693,443.43299124252127,61.50064909306533,472.4224186642728
specialist_10,21.445153029801705,236.7565880428885,8.857032250966022,74.20348845440536,6.900108015541909,75.51773888034714,13.247339689210987,83.49266988692311,22.655159492965016,86.31067094057931,22.57954064690808,80.53830580339665,25.538811460113042,59.24492099223144,22.21229297252062,46.90525100554517,12.054198303546343,47.910743322975215,2.48893554126167,22.381462321610606,40.67734791865695,89.12733766125822,44.67736395252088,114.25311536817681,40.99051354410882,89.05282665389431,32.5386697512212,78.82665094561685,24.38497809606261,84.47581934880759,59.26725321244504,194.25245500063988,61.55783266742527,195.9957974338393,57.28616267178069,209.66497867688113,52.706206942813814,241.72858963651026,50.393510927302074,264.8502158305854,68.80464223881162,397.0051816600102,70.83768428666828,425.5240001878901,69.74324285498966,477.94198389431347,67.5637590310419,525.6382188216487,65.57184840491121,556.0513961396423
