epoch,train_loss,train_nll,train_nll_nonctx,train_kl,beta,train_var_min,train_var_mean,train_var_max,train_mae,val_loss,val_nll,val_nll_nonctx,val_kl,val_var_min,val_var_mean,val_var_max,val_mae
1,2.2001018170957214,2.2001018170957214,2.215085784594218,5.846056841037892,0.0,0.16668304121466698,1.6966483548835471,4.497672204618101,144.4328488950376,11.668890605370205,1.593531275788943,1.5961313645044963,10.075359366834164,0.4734935164451599,2.452538768450419,5.102111478646596,122.06095472971599
2,1.4901879981712058,1.4679641635329634,1.4716802217342235,6.667147106594509,0.0033333333333333335,0.1938761665865227,2.159783049866005,5.17335330998456,106.45681423611111,10.573982367912928,1.4265782634417217,1.42755326628685,9.147404057284197,0.2041885107755661,1.9823549886544545,4.614825278520584,96.41013399759929
3,1.3832024026800085,1.3422710409870855,1.3437721861733332,6.13970207284998,0.006666666666666667,0.10826241569938483,1.618643566414162,4.288826668703997,93.37861520272715,9.04800829788049,1.2620809574921925,1.2642112721999486,7.785927392542362,0.15874252623567978,1.407837063074112,3.529669592777888,91.41369597117105
4,1.2762631840176053,1.20616113698041,1.203169756465488,7.010205317426611,0.01,0.08475034959890225,1.160295338542373,3.42169776669255,87.69249329743562,7.603632668654123,1.125284458200137,1.1279504944880803,6.478348284959793,0.11244594166055322,0.9556913326183955,2.5546146432558694,82.26308759053548
5,1.2091986647358648,1.091226385699378,1.0928459653147944,8.847920020421347,0.013333333333333334,0.06693437329872891,0.8293664521641202,2.7228529188368054,84.15413637514467,5.662690098086994,1.0330630044142406,1.0375609869758289,4.629627086222172,0.08862568562229474,0.7643634080886841,2.0901081214348474,79.45330047607422
6,1.11519859234492,1.0391101903385587,1.054981247142509,4.565303692111263,0.016666666666666666,0.0634058787383967,0.7067692147360908,2.2767033267904213,81.45920958342376,4.865209519863128,0.9644999007383982,0.9701341167092323,3.9007096216082573,0.10307958023622632,0.6928039689858755,1.8084296782811482,78.13305727640788
7,1.1186234774412933,0.9784035329465512,0.9751299531371506,7.010996999563994,0.02,0.06334937267281392,0.627454263192636,2.1486318332177623,76.24106414229782,3.9569813360770545,0.8966103742520014,0.9014661411444346,3.0603709245721498,0.07163003459572792,0.6001609240969022,1.4922807564338048,74.58969529469809
8,1.0136685283095748,0.8720950815412734,0.8795633558873777,6.067433423466152,0.023333333333333334,0.03580027998045639,0.5459299473850815,1.7877702845467462,75.97049783777308,3.158905208110809,0.8277194375793139,0.8336783374349276,2.3311857792238393,0.04198492830619216,0.49429898088177043,1.2837921256820362,74.5178648630778
9,0.922725032877039,0.8199478542363202,0.8318279164808767,3.8541438712014093,0.02666666666666667,0.028129775491025712,0.4785859198481948,1.5397069145131994,74.4546881781684,2.8193828662236533,0.777570145825545,0.7850864231586456,2.0418126974254847,0.036387493989119925,0.4670293467740218,1.2130663817127545,72.44984038670857
10,0.8628959435003775,0.7889738943841722,0.7946104804674784,2.464068357591276,0.03,0.02452050218427623,0.43652900832670705,1.476290923577768,73.36701258906612,2.5709689557552333,0.7557669555147489,0.7628019228577614,1.815202010795474,0.03724507048415641,0.4261203122635682,1.0770697072148323,71.28444957733154
11,0.7854395663296735,0.7242160638173422,0.7334698262038054,1.836704847989259,0.03333333333333333,0.02245988303588496,0.4167448911401961,1.267660880530322,71.41709702103226,2.2849733034769693,0.6821490153670311,0.691196026901404,1.6028242831428845,0.024174180774328608,0.3962234954039256,1.0274352903167407,70.5358247756958
12,0.7794687792106911,0.7141676169854624,0.723490748140547,1.7809408240848117,0.03666666666666667,0.01680035123394595,0.38571658620127924,1.2356168208298859,70.70695198906793,2.01999065776666,0.6770544846852621,0.6874719249705473,1.3429361743231614,0.02215816138777882,0.3810107832153638,0.9425773719946543,70.66472959518433
13,0.760494468388734,0.6615016482494496,0.6784377760357327,2.474820598408028,0.04,0.01835629795850427,0.39356837890766283,1.1806425562611333,70.52964782714844,1.723359853029251,0.7025296365221342,0.712307500342528,1.0208302068834503,0.016545786910379928,0.3916651743153731,1.0392417063315709,70.16056569417317
14,0.7581947401717857,0.6532617365872418,0.6660081810421414,2.4215308162901135,0.043333333333333335,0.012976173708146369,0.37845510796264364,1.202595631281535,70.85829869023075,1.5138514712452888,0.6108567751944065,0.6221882452567419,0.9029946954300007,0.017612610904810328,0.3671720822652181,0.9335199669003487,68.84256569544473
15,0.7261784672737122,0.6176463078569483,0.6276503150109891,2.325689121528908,0.04666666666666667,0.012730201878757388,0.3681967655817668,1.1442027908784371,69.17703148170754,1.1734354148308435,0.5685091043512026,0.5783817085127035,0.6049263185511032,0.016603497477869194,0.367552259316047,0.8807122260332108,68.58856455485025
16,0.6515111790763007,0.6042334967189364,0.5995298436394444,0.9455536559776023,0.05,0.012798597380794861,0.3518182337284088,1.071201225121816,67.89133340341074,1.0922547479470572,0.5639224424958229,0.5754994514087836,0.5283323043646911,0.015138006381069621,0.3489739273985227,0.8885493924220403,67.98127365112305
17,0.6007510644418222,0.5376000989366461,0.5493234760231442,1.1840805576907263,0.05333333333333334,0.011633206020902705,0.3432810781178651,1.038053618537055,67.22920735677083,0.91536445915699,0.4644896773000558,0.4764952212572098,0.45087478403002024,0.011638269371663531,0.3237512881557147,0.8157758464415868,66.02497609456381
18,0.5810479521751404,0.520449885615596,0.5289025670952268,1.06937767178924,0.056666666666666664,0.007510783081805265,0.31559132867389256,0.9260368501698529,65.59542408695927,0.8980917756756147,0.4849182888865471,0.4970322474837303,0.41317347732062143,0.011313780560158193,0.32094599182407063,0.7727427234252294,66.56046676635742
19,0.5200325195436124,0.4670721259382036,0.4722348186704848,0.8826732525119075,0.06,0.008545681472039886,0.31649824645784164,0.9317785766389635,65.45746711448386,0.8735577563444774,0.4766223033269246,0.488789817939202,0.3969354586054881,0.008442074235063046,0.3127240017056465,0.8071772853533427,65.86444854736328
20,0.5577436608296854,0.4654205165527485,0.47989975412686664,1.4577338728639815,0.06333333333333334,0.007076284391115661,0.314069261153539,0.9346500193631208,65.79588769983363,0.693234966446956,0.40428148706754047,0.4182896700998147,0.2889534910985579,0.007853122874318311,0.2976132134596507,0.7169109384218851,64.7914137840271
21,0.4791126317448086,0.41369664006763035,0.4291218430907638,0.9812397978923939,0.06666666666666667,0.005869679066731974,0.29937078224288094,0.8873991635110643,65.24609120686848,0.6459777293105922,0.3809530511498451,0.3939116907616456,0.2650246723399808,0.005822316074045375,0.2893146884938081,0.7161721338828405,64.92523892720541
22,0.4100231064690484,0.3635302484035492,0.42929874967645715,0.6641837137716787,0.07,0.004176042275503278,0.28992672982039275,0.8799563381406996,68.746157752143,0.5642591454088689,0.29611128692825633,0.3078456986695528,0.2681478522717953,0.004328487596164147,0.282326877117157,0.7095911602179209,63.978764057159424
23,0.41165538408138136,0.35095096186355307,0.33832401092405673,0.8277876255688844,0.07333333333333333,0.0037872691862975007,0.2793684392063706,0.8632027484752514,61.96395817509404,0.6076595075428486,0.3345037487645944,0.34694665980835754,0.2731557581573725,0.00548089337341177,0.2837616130709648,0.6963154822587967,63.390146732330315
24,0.43620272256709913,0.3625528508866275,0.37081567501580276,0.9606504340966543,0.07666666666666666,0.004672717854932502,0.2950390378634135,0.8550406098365784,62.436496310763886,0.519031343360742,0.28176342075069744,0.29422909455994767,0.23726791997129718,0.006164608484444519,0.2823868356645107,0.7176446095108986,63.31715806325277
25,0.41045478372662153,0.3223779985198268,0.34726281132962966,1.1009598860034235,0.08,0.0048370506372992636,0.27728855168377914,0.8690490192837186,64.36342140480325,0.4086753961940607,0.2215667376294732,0.2331187961002191,0.18710865693477294,0.003339953710868334,0.2630483644704024,0.6898695876200994,61.967088381449386
26,0.3009189913670222,0.24344124065505135,0.2431864622566435,0.689732998057648,0.08333333333333333,0.0024546729702571474,0.26169056197007495,0.8009360211866873,61.18696933322482,0.37486956516901654,0.1848370317990581,0.19772259254629412,0.19003253197297454,0.00259795389623226,0.2534625008702278,0.669869693617026,61.40397675832113
27,0.25878578590022194,0.20268659348841067,0.21653803686300913,0.6472983680389546,0.08666666666666667,0.002203507016895822,0.25831774484228204,0.7668327115200184,62.01954113995588,0.5070370075603325,0.31316517541805905,0.3254404452939828,0.193871826864779,0.00198723243859907,0.25933697323004407,0.6496090292930603,61.5506100654602
28,0.2666660176107177,0.21124754202793594,0.24269387457105848,0.6157608164681329,0.09,0.0020370836266212994,0.26392872355602404,0.7532537005565785,63.35149030332212,0.3148779477924108,0.1420078333467245,0.1558123625194033,0.172870116851603,0.0031153375457506627,0.25758632831275463,0.6350389843185743,60.654508431752525
29,0.2289249234729343,0.1413999890425691,0.15790518000721931,0.937767113800402,0.09333333333333334,0.0016745171138878774,0.24975100214834567,0.7338740626970927,61.80946689181857,0.25747034993643564,0.11806639908657719,0.13017911308755478,0.13940394840513667,0.0013369858788792044,0.23256412086387476,0.5995704556504885,60.71319595972697
30,0.2576508792462172,0.19089001072225747,0.20834338113113685,0.6906296991639667,0.09666666666666666,0.002235462300531152,0.25249273191999505,0.7496676290476764,60.98921005814164,0.23640797411402067,0.11592771128440897,0.1292065209709108,0.12048026147143294,0.002895461346876497,0.24890027195215225,0.6635398839910825,60.39694547653198
31,0.20821656617853376,0.1083242751106068,0.1152030856659015,0.9989228767377359,0.1,0.0015770201204793044,0.2435170986034252,0.7373079304341916,60.64273396244756,0.12425628075531374,0.025323639158159494,0.03790653668208203,0.09893264314935853,0.0011278855721078191,0.24708378314971924,0.6509973605473837,60.07283210754395
32,0.09764662516061906,0.04247695062723425,0.0685464026911278,0.5339000754886203,0.10333333333333333,0.0010397431669170382,0.24949102214089147,0.7203140523698595,60.86780336168077,0.17382874332057932,0.06777404509678793,0.0818732045396852,0.106054698349908,0.0009738507869769819,0.23258791056772074,0.61964500695467,59.22500117619833
33,0.16034998006566806,0.05628419520885304,0.07331770747744788,0.9756166923929144,0.10666666666666667,0.00104065110941452,0.24310898780822754,0.7242391175693936,60.1881059717249,0.0540255237914001,-0.038880541134858504,-0.025524223844210308,0.09290606571206202,0.001101902804900116,0.24555611175795397,0.6878027593096098,59.39754374821981
34,0.05181562348648354,-0.010453438875696587,-0.010600057378825214,0.566082387610718,0.11,0.0007180332559747276,0.23920459769390248,0.695541935938376,58.29690636528863,0.047875724034383886,-0.04303171474627258,-0.028355506394291297,0.09090743877459317,0.0007663687817209089,0.23481523928542933,0.6648387511571249,59.009065628051765
35,0.10203429953091675,0.03713817744412356,0.04176353827912222,0.5726128071546555,0.11333333333333333,0.0012089595202942965,0.24311154860037346,0.7258302547313549,57.85347323947482,0.060040214448235936,-0.026638933348294813,-0.01337336302822223,0.08667914740120371,0.0010800056382625673,0.22468534111976624,0.6048118596275648,58.34861469268799
36,-0.003144205927296921,-0.07713629474380503,-0.07435581094964787,0.6342179129521052,0.11666666666666667,0.0005751281105740754,0.2244328127966987,0.6840918638088085,57.88164265950521,-0.09343004940698545,-0.17143377933340767,-0.15847452912809482,0.07800373085774481,0.0003745298575571117,0.22481256102522215,0.6340730612476667,59.150011221567794
