k_removed,anp_basic_mae,anp_basic_mae_std,ranp_basic_mae,ranp_basic_mae_std,anp_masked_mae,anp_masked_mae_std,ranp_masked_mae,ranp_masked_mae_std
0,12.736953771114349,0.048453450263221544,9.144936740398407,0.05596150019097149,7.118860042095184,0.0768602752366924,7.6199860095977785,0.03914596962735687
1,26.956152725219727,0.12698124759204774,26.352283775806427,0.07923205956775965,9.31294767856598,0.17231643852561143,7.80982118844986,0.03457550387614863
2,42.01354970932007,0.14457747722620856,34.641816806793216,0.04680651203223638,10.628191256523133,0.14431449381226244,7.482813847064972,0.04533523651392764
3,50.26502046585083,0.4064404387484215,55.89107799530029,0.07440099349652227,12.031844019889832,0.07255203210122013,8.0755725979805,0.044160830550212936
4,62.120533275604245,0.294739925017698,70.93108768463135,0.05914352963109803,14.05526316165924,0.19179383372605166,9.12524609565735,0.11497856869371872
5,87.85448379516602,0.1544029253744298,76.68815784454345,0.1554449889104768,14.446973276138305,0.13524400694915525,10.882720625400543,0.049089671375593454
6,93.60131130218505,0.3895723810601793,92.76428451538087,0.09295419711890818,15.560886573791503,0.17454002518051956,13.716179466247558,0.07415273044345563
7,89.27691383361817,0.24428934452703985,117.81455402374267,0.13461073311359803,18.468407130241395,0.0918699661432755,19.914884042739867,0.1425264766793908
8,108.05245685577393,0.2085649805714569,148.3720287322998,0.05573938883994472,25.20262246131897,0.4231032226846396,32.324597930908205,0.11943116620191212
9,130.83935031890869,0.3359410682810085,164.21621551513672,0.14399639983351684,33.99250836372376,0.41845610251954674,66.99233837127686,0.15250701630333896
