epoch,val_mae_m,elapsed_s
1,12.124349276224772,0.8785197734832764
2,13.251220766703288,2.3056745529174805
3,13.938047981262207,3.1062681674957275
4,14.180468559265137,3.9103543758392334
5,14.083525530497234,4.662652492523193
6,14.090379397074381,5.437037229537964
7,14.186054674784343,6.190202236175537
8,14.255099995930989,7.007832288742065
9,13.861420059204102,7.887593507766724
10,13.818973604838053,8.66288161277771
11,14.49044100443522,9.442368030548096
12,14.462524286905925,10.108561992645264
13,13.982846005757649,11.026901245117188
14,13.851320266723633,11.919344186782837
15,13.775307019551596,12.91291069984436
16,14.063033103942871,13.836978673934937
17,14.217764790852865,14.712512731552124
18,14.144378916422527,15.522406339645386
19,14.29883918762207,16.202149152755737
20,14.367742729187011,16.983186960220337
21,14.015833346048991,17.693721055984497
22,13.67763811747233,18.402514219284058
23,13.241047350565593,19.236838340759277
24,13.28282190958659,20.00201725959778
25,13.384939257303873,20.8578360080719
26,13.79818967183431,21.795953273773193
27,13.892245737711589,22.714277267456055
28,13.958671379089356,23.557374000549316
29,13.965776252746583,24.34111261367798
30,13.916351064046223,25.25779151916504
31,13.351510747273762,26.09667181968689
32,13.189508692423503,26.94274616241455
33,12.956912612915039,27.914585828781128
34,13.422602335611979,28.869190216064453
35,13.71338939666748,29.636197090148926
36,13.5637726465861,30.32440757751465
37,13.041829363505046,31.08681082725525
38,12.944141324361166,31.90710711479187
39,13.290244420369467,32.79932522773743
40,13.38941733042399,33.578529596328735
41,13.86178175608317,34.33914399147034
42,14.429397201538086,35.217735290527344
43,13.902190653483073,35.92038035392761
44,13.066669336954753,36.705294370651245
45,13.071904118855795,37.529935359954834
46,12.629363822937012,38.39996576309204
47,12.634023284912109,39.213321685791016
48,13.219860204060872,40.02352833747864
49,13.27177448272705,40.92819571495056
50,12.766765848795574,41.73680329322815
51,12.625412813822429,42.55287528038025
52,12.55702412923177,43.34072399139404
53,12.703407224019369,44.250691175460815
54,13.008998489379882,45.10728573799133
55,13.27385679880778,45.918153524398804
56,13.396196873982747,46.71180582046509
57,13.133331807454427,47.604016065597534
58,12.71246140797933,48.38250494003296
59,12.878498395284018,49.278722047805786
60,12.749311129252115,50.13607597351074
61,13.062397066752116,50.97610378265381
62,13.469854227701823,51.68517827987671
63,14.015838559468587,52.42483901977539
64,13.504758898417155,53.364938259124756
65,12.966137886047363,54.13131356239319
66,12.405386225382488,54.963489294052124
67,12.389351081848144,55.70366811752319
68,12.543267250061035,56.58281755447388
69,12.515251922607423,57.36683130264282
70,12.707996559143066,58.22623562812805
71,13.11232140858968,58.98377871513367
72,13.434704271952311,59.79668593406677
73,13.204691823323568,60.60732293128967
74,12.698042233784994,61.40900754928589
75,12.464840571085611,62.14853382110596
76,12.934842936197917,62.856794595718384
77,12.596475982666016,63.482954263687134
78,12.285486348470052,64.21417546272278
79,12.282455253601075,65.08528852462769
80,12.832087389628093,65.86497831344604
81,13.67132568359375,66.57525062561035
82,13.716854095458984,67.35383915901184
83,13.266869735717773,67.9710328578949
84,13.25975284576416,68.80766129493713
85,13.855405044555663,69.6559669971466
86,13.597759946187336,70.48015975952148
87,13.134427960713705,71.40837264060974
88,13.001248995463053,72.22013354301453
89,13.173521296183269,72.97812223434448
90,13.818722216288249,73.73105907440186
91,13.599678675333658,74.48296070098877
92,13.192308298746745,75.33935308456421
93,13.371925417582194,76.03768849372864
94,13.320383389790853,76.70151472091675
95,13.47730655670166,77.39153671264648
96,13.764350446065267,78.25494384765625
97,14.127202987670898,79.07850217819214
98,13.027021344502767,79.93941378593445
99,12.778646087646484,80.72402453422546
100,13.207235844930013,81.47416257858276
101,13.47065970102946,82.19387674331665
102,13.602802594502768,83.02702903747559
103,12.977257219950358,83.80508470535278
104,12.454658953348796,84.59425282478333
105,12.776440747578938,85.53331708908081
106,13.134541447957357,86.27552127838135
107,12.805520820617676,87.15338563919067
108,12.300728797912598,88.04292011260986
109,12.575438690185546,88.77518916130066
110,12.820685068766275,89.544114112854
111,13.034410540262858,90.31060457229614
112,12.987090301513671,91.14092087745667
113,13.643036142985027,91.96956849098206
114,13.558370590209961,92.91097831726074
115,13.0428861618042,93.80880761146545
116,12.176827494303385,94.55985641479492
117,12.07726682027181,95.29511380195618
118,12.613081804911296,96.56981110572815
119,13.29853687286377,97.33675527572632
120,13.018215052286784,98.05353832244873
121,12.26303030649821,98.81871938705444
122,12.057587750752766,99.72587966918945
123,12.318144861857096,101.30795693397522
124,12.431498718261718,102.07026243209839
125,12.210993830362955,102.86658000946045
126,11.925330034891765,103.70877194404602
127,12.591589800516765,105.09991693496704
128,12.876121648152669,106.06392693519592
129,12.4133576075236,106.96810007095337
130,12.200973574320475,107.82428336143494
131,12.059578069051106,108.64726877212524
132,12.323572858174641,109.36663460731506
133,12.505854670206705,110.12535619735718
134,12.219045893351238,110.9356734752655
135,12.435255813598634,111.72979879379272
136,12.509969011942546,112.52304100990295
137,12.398536809285481,113.38187146186829
138,12.946185366312664,114.3264262676239
139,12.81037057240804,115.12599754333496
140,11.791171900431316,115.87713432312012
141,12.055427614847819,117.17126202583313
142,12.538035456339518,118.02093172073364
143,12.211773173014324,118.84257221221924
144,11.729680315653484,119.7835156917572
145,12.040986315409343,121.68188738822937
146,12.321845245361327,122.4674904346466
147,12.748651059468587,123.28986644744873
148,12.67938264211019,124.07300019264221
149,12.468967628479003,124.9133050441742
150,12.202158419291179,125.727694272995
151,11.952023442586263,126.54087829589844
152,12.232486979166667,127.33013415336609
153,12.462862014770508,128.02459716796875
154,12.42183609008789,128.82948923110962
155,12.722873560587566,129.70861506462097
156,12.499234771728515,130.40872359275818
157,12.444186846415201,131.15460300445557
158,12.60379098256429,132.094064950943
159,12.785575103759765,132.89010071754456
160,12.941987673441568,133.723242521286
161,12.914426485697428,134.43276524543762
162,12.643984603881837,135.1923463344574
163,12.57767531077067,136.04916906356812
164,13.067431322733562,136.813800573349
165,12.56634972890218,137.53832626342773
166,12.35313466389974,138.44333624839783
167,12.32643527984619,139.1186718940735
168,12.550027720133464,139.83508443832397
169,12.888918940226237,140.6963472366333
170,13.440662574768066,141.52228999137878
171,12.927136739095053,142.2977638244629
172,12.283728154500325,143.12421703338623
173,12.773851331075033,143.88080096244812
174,12.636986478169758,144.5802938938141
175,12.293359057108562,145.23513650894165
176,12.475333786010742,145.81503081321716
177,12.722088495890299,146.48861837387085
178,12.41619815826416,147.35905694961548
179,12.46482448577881,148.17143082618713
180,12.436048253377278,148.99996829032898
181,12.155990346272786,149.76524090766907
182,12.130157661437988,150.45966243743896
183,12.547475369771321,151.16952419281006
184,13.104380226135254,151.83686590194702
185,13.339823977152507,152.60820937156677
186,12.789794921875,153.41360807418823
187,12.257560602823894,154.2840232849121
188,12.301957003275554,155.0904242992401
189,12.44056847890218,155.8493628501892
190,12.275419934590657,156.78928184509277
191,12.199877866109212,157.6386547088623
192,12.53114693959554,158.37328004837036
193,12.543141492207845,159.08243250846863
194,12.562690416971842,159.80540537834167
195,12.653438313802083,160.58206915855408
196,12.592830848693847,161.32440066337585
197,12.4823548634847,162.11844301223755
198,12.273629506429037,162.8749451637268
199,12.141868336995442,163.61789202690125
200,12.458070373535156,164.3501124382019
201,12.03570302327474,165.13308429718018
202,12.09532101949056,165.86283254623413
203,12.154843711853028,166.55366277694702
204,12.435323588053386,167.3545801639557
205,12.488551139831543,168.19890475273132
206,12.175850550333658,168.8547248840332
207,12.625816218058269,169.75274276733398
208,13.05793628692627,170.58365845680237
209,12.838824399312337,171.50690507888794
210,12.382639376322429,172.2582926750183
211,12.890695635477702,173.0571312904358
212,13.22188631693522,173.8265678882599
213,13.452559534708659,174.54103636741638
214,12.852648735046387,175.42049765586853
215,12.344134966532389,176.35705137252808
216,12.761378542582195,177.10169196128845
217,13.243897565205891,178.05043697357178
218,13.021523602803548,178.9232532978058
219,12.64504820505778,179.71028780937195
220,13.081794293721517,180.42617678642273
221,13.208671951293946,181.1042993068695
222,13.245405705769857,181.79454731941223
223,12.786840057373047,182.4960334300995
224,12.528831545511881,183.3760974407196
225,12.48357359568278,184.1183626651764
226,12.699187215169271,184.91426992416382
227,12.761643409729004,185.6549642086029
228,12.631274922688801,186.5051145553589
229,12.908045450846354,187.27794289588928
230,12.8274320602417,188.1255042552948
231,13.1753236134847,189.01939010620117
232,13.058985328674316,189.71648168563843
233,12.455817159016927,190.50449967384338
234,12.437535667419434,191.36242151260376
235,12.4654603322347,192.31779742240906
236,13.001765314737955,193.1511251926422
237,12.938194592793783,193.8746931552887
238,12.511151377360026,194.57323932647705
239,12.867838923136393,195.32107830047607
240,12.793760681152344,196.10588264465332
241,12.531426429748535,196.87939167022705
242,12.4518674214681,197.62440657615662
243,12.800740814208984,198.25399923324585
244,12.801371637980143,198.7641499042511
245,12.267315737406413,199.29382157325745
246,12.754796028137207,199.86992025375366
247,13.04036324818929,200.3870313167572
248,12.847164408365886,200.8918173313141
249,12.343424288431804,201.43629503250122
250,12.809284909566243,202.10009026527405
251,13.307629267374674,203.04203009605408
252,12.893585713704427,203.89287686347961
253,12.4922700881958,204.75730729103088
254,12.433020210266113,205.52225613594055
255,12.584426180521648,206.39500617980957
256,12.22843869527181,207.2820098400116
257,12.132018915812175,208.15834856033325
258,12.241056569417317,208.94048523902893
259,12.342864163716634,209.74171566963196
