k_active,anp_basic_mae,anp_basic_mae_std,anp_basic_nll,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_nll,anp_masked_mae,anp_masked_mae_std,anp_masked_nll,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_nll
1,112.36015962600709,9.124072250057504,210.30813350677496,149.40577056884766,9.42266610151404,668.3661917050679,34.163571238517754,2.955670058488604,-0.5681552877898016,61.11597565015157,15.599083667588584,0.5347444659082975
2,109.94014522552492,11.62551838361627,217.72881999969482,139.0982044506073,13.808834478708638,529.9808478228251,27.124548180898035,2.193943858578875,-0.725307797063142,40.6707035223643,13.15045478852887,0.40027114793444823
3,101.20306951840719,13.099987892827404,191.26648079554244,128.75395295143127,17.92395508831661,510.11391776402786,21.534594383239746,2.0124365799614083,-0.9103427886466187,24.352303917010627,7.843710890442929,-0.567828793375326
4,105.30786327997845,12.411938529012305,211.63968331654866,121.79142354011535,18.444578889425845,478.2493155860901,19.234538942972822,3.1552395302452005,-0.9423037242144345,17.12553957939148,4.589249821304232,-0.8700991385631884
5,82.73955212275187,15.53242259919191,149.68081715901693,95.869407175382,18.04275296731269,314.6236993455887,14.857450991471607,2.098058447636789,-1.1497823094328246,13.945820588270823,3.927697171966517,-1.0271454695350244
6,81.22905882835389,18.212586546575675,140.26485695044204,80.01131249904634,19.46216621403893,243.17049128770833,12.909681393305464,1.730338348158248,-1.2367931674917538,10.585382608175276,1.2383872575697248,-1.1769052044203272
7,64.98178732077281,15.690478633183597,105.88685755809148,55.59718442519506,15.383721811379171,127.64647884647052,10.6300583533446,1.1951584728097624,-1.371375127683083,9.288896132707597,0.985381577080163,-1.2539465841146498
8,44.83271324793498,10.054957134621345,50.69611742476623,32.99898800849915,9.88479263148552,48.357614078223705,9.125673884153368,0.6332989617790205,-1.4880893293519817,8.120047846635183,0.40575064798007565,-1.4577656572063764
9,28.72915363073349,4.901381451376683,25.409273129453265,19.525483422676725,4.645046928647788,12.020090319210043,8.118963279326756,0.467237599611989,-1.5746147271990774,7.787269563277563,0.19890181810192942,-1.4842324926455817
10,12.773055911064146,0.04950097458892901,11.341938683191934,9.195282389322918,0.042221341577683286,0.2501735059013136,7.110193125804264,0.06333715425903416,-1.665416121085485,7.620692463318507,0.026959775469461583,-1.4990896817048391
