topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
ellipsoidal,anp,decoder_full,200,5,200,3420166,151.79,50.62,409.6,137.7,8.824473,1.410683,11.96113,5.639215,49.62,10.567438,9.557278,8.673866,8.157567,8.493543,8.531776,7.789843,0.90167,0.876441,0.978453,1.24987,1.779422,2.214546,1.87438,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,300,5,300,3420166,215.53,55.16,421.4,110.7,7.737908,0.757383,11.96113,5.639215,66.8,9.586173,8.544898,7.494699,6.996649,7.35025,7.30047,6.892219,0.697391,0.692159,0.611146,0.548413,0.823244,0.948587,0.980743,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_full,all,5,420,3420166,253.38,86.47,378.8,132.2,7.650351,0.967231,11.96113,5.639215,68.19,9.498492,8.417451,7.62948,6.893083,7.123321,7.237282,6.753347,1.250473,1.203198,0.927633,0.627564,0.918546,0.845692,0.997512,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,10,5,10,3933126,21.17,9.23,170.0,77.9,13.594544,1.438397,11.96113,5.639215,-25.84,15.700787,14.670288,13.36531,12.467678,12.996707,13.525216,12.435822,1.245265,1.516986,1.249154,1.241892,1.461527,1.879543,1.47441,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,20,5,20,3933126,27.76,8.91,203.0,66.8,12.218899,1.596409,11.96113,5.639215,-4.08,14.574626,13.236326,11.852154,10.908358,11.388103,12.052142,11.520587,1.091663,1.094454,0.857749,1.379702,2.056773,2.379418,2.315103,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,50,5,50,3933126,38.82,15.84,208.2,84.9,10.802639,1.661534,11.96113,5.639215,18.32,13.784893,12.268914,10.353283,9.294842,9.762169,10.306538,9.847833,1.500044,1.306588,1.19535,1.690216,1.906433,2.291184,1.740919,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,100,5,100,3933126,95.44,24.61,365.2,94.1,9.080854,1.02681,11.96113,5.639215,45.56,11.285328,9.969009,9.002267,8.222582,8.450502,8.442465,8.193822,1.431666,1.444423,1.240977,0.789211,0.846607,0.64765,0.787138,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,200,5,200,3933126,162.68,36.19,391.6,87.8,6.588318,0.544025,11.96113,5.639215,84.99,8.183762,7.12662,6.449087,5.982838,6.075073,6.162628,6.138216,0.588685,0.50633,0.488367,0.335221,0.595081,0.675172,0.619323,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,300,5,300,3933126,244.82,24.07,422.6,42.1,5.68161,0.41023,11.96113,5.639215,99.33,7.49115,6.606794,5.836403,5.253444,4.958357,4.815119,4.810007,0.55452,0.611648,0.371586,0.258742,0.389568,0.336486,0.34906,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_last,all,5,420,3933126,259.09,61.94,337.4,80.8,5.726767,0.537951,11.96113,5.639215,98.62,7.257606,6.463174,5.783968,5.353747,5.091032,5.087394,5.050452,0.707016,0.609194,0.488324,0.310903,0.42808,0.630686,0.591453,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_full,10,5,10,7413126,19.63,3.35,140.6,25.2,16.007838,2.216465,11.96113,5.639215,-64.01,17.81864,17.030717,16.233704,15.598604,15.234224,15.246701,14.89228,2.314461,1.890071,2.213388,2.254885,2.20171,2.336864,2.303875,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_full,20,5,20,7413126,21.99,3.05,136.2,17.1,13.023615,1.402152,11.96113,5.639215,-16.81,15.093218,13.625473,12.756682,12.542744,12.13228,12.412183,12.602727,0.834034,1.303271,1.787471,1.759293,1.352327,1.516271,1.262393,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_full,50,5,50,7413126,37.72,9.66,158.0,41.2,10.891248,1.118975,11.96113,5.639215,16.92,12.854079,11.859806,11.080904,10.244041,9.967864,10.096681,10.135358,1.216816,1.111702,1.079894,0.86765,1.157736,1.252585,1.146445,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_full,100,5,100,7413126,51.39,9.55,143.6,26.1,10.790103,1.303266,11.96113,5.639215,18.52,12.976655,11.652898,10.673199,10.08608,10.011651,10.126999,10.003242,1.49809,1.070532,1.248273,1.37413,1.119931,1.355773,1.456136,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_full,200,5,200,7413126,110.67,29.11,186.8,49.1,8.56413,1.408415,11.96113,5.639215,53.73,11.452152,9.494576,8.237283,7.805835,7.709636,7.590405,7.659027,1.570999,1.65811,1.536903,1.399628,1.201731,1.206413,1.285125,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_full,300,5,300,7413126,131.41,11.53,153.6,14.3,8.432615,0.743476,11.96113,5.639215,55.81,11.892708,9.644399,8.301754,7.528371,7.276003,7.190748,7.194324,0.500066,0.590946,0.546581,0.804682,0.866757,1.02391,0.871392,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_det_full,all,5,420,7413126,193.43,47.88,167.2,41.2,8.773819,1.100059,11.96113,5.639215,50.42,12.369888,10.245667,8.569452,7.691412,7.55883,7.445622,7.535863,0.772076,1.308999,1.328151,1.269721,1.188391,0.834555,0.998521,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_lat_last,10,5,10,3625606,22.36,6.26,175.6,50.0,14.260193,1.411263,11.96113,5.639215,-36.37,17.218835,15.875749,14.263612,13.095811,13.112869,13.552031,12.702444,1.479266,1.823426,1.824377,1.26254,1.052997,1.385644,1.050591,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_lat_last,20,5,20,3625606,26.83,6.7,193.0,43.9,12.224939,1.359932,11.96113,5.639215,-4.17,14.881192,13.659277,11.869913,10.743265,11.287773,11.896616,11.236541,1.121581,1.116046,0.990785,1.473414,1.790581,1.427378,1.599743,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_lat_last,50,5,50,3625606,49.6,27.38,270.0,150.4,10.396586,1.215941,11.96113,5.639215,24.75,12.854376,11.777062,10.071489,9.180773,9.459102,9.824505,9.608793,1.84402,1.284376,0.840285,0.925836,1.057615,1.383668,1.175787,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_lat_last,100,5,100,3625606,75.66,21.22,289.2,81.9,10.400994,0.689922,11.96113,5.639215,24.68,12.707001,11.452344,10.17404,9.320231,9.736286,10.147471,9.269584,0.329899,0.522371,0.795111,0.587419,0.554142,0.867188,1.173322,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_lat_last,200,5,200,3625606,121.35,42.06,294.2,102.8,8.956572,1.026169,11.96113,5.639215,47.53,11.068202,9.959977,8.667275,7.884475,8.328796,8.788989,7.998288,1.275456,1.112284,0.83664,0.788935,1.091879,1.008459,1.069532,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_lat_last,300,5,300,3625606,278.26,85.77,483.8,147.5,7.690815,1.15681,11.96113,5.639215,67.55,9.352313,8.406514,7.451583,6.964981,7.331669,7.375646,6.952995,1.132509,1.135271,1.007055,1.044539,1.239563,1.335051,1.203683,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
ellipsoidal,anp,decoder_lat_last,all,5,420,3625606,343.68,108.0,448.8,141.6,7.394404,0.847922,11.96113,5.639215,72.24,9.423047,8.362308,7.364841,6.739839,6.7901,6.756991,6.3237,0.718884,0.663633,0.814277,0.935721,0.959818,0.924076,0.919043,15.301209,14.090176,11.964305,10.698929,10.57122,10.996978,10.10509,5.732973,5.594071,5.940254,5.864393,5.777022,5.396464,5.169329
