topology,model_type,strategy,n_traj,n_seeds,n_traj_used,n_trainable_params,total_time_s_mean,total_time_s_std,n_epochs_mean,n_epochs_std,test_mean_mae,test_std_mae,ood_baseline_mean,oracle_mean,gap_closed_pct,test_mae_ctx10,test_mae_ctx20,test_mae_ctx30,test_mae_ctx40,test_mae_ctx50,test_mae_ctx60,test_mae_ctx70,test_std_ctx10,test_std_ctx20,test_std_ctx30,test_std_ctx40,test_std_ctx50,test_std_ctx60,test_std_ctx70,ood_mae_ctx10,ood_mae_ctx20,ood_mae_ctx30,ood_mae_ctx40,ood_mae_ctx50,ood_mae_ctx60,ood_mae_ctx70,oracle_mae_ctx10,oracle_mae_ctx20,oracle_mae_ctx30,oracle_mae_ctx40,oracle_mae_ctx50,oracle_mae_ctx60,oracle_mae_ctx70
aligned,anp,decoder_full,200,5,200,3420166,130.84,63.66,349.0,169.3,13.283885,1.826834,13.730577,8.473718,8.5,19.726554,16.827408,14.368042,11.925051,10.554053,9.907951,9.678135,2.524674,2.234115,1.833914,1.696466,1.540465,1.364065,1.594137,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_full,300,5,300,3420166,206.97,105.37,402.4,203.6,11.084694,1.748907,13.730577,8.473718,50.33,17.314785,14.566782,11.948039,9.638059,8.423363,8.010711,7.691119,2.525458,2.146208,1.703975,1.545773,1.398683,1.491599,1.430656,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_full,all,5,420,3420166,365.75,142.79,537.6,210.1,9.685288,1.769857,13.730577,8.473718,76.95,14.682705,12.463876,10.327607,8.43233,7.638774,7.166733,7.084989,3.243005,2.319128,1.804916,1.461583,1.232424,1.146103,1.181839,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_last,10,5,10,3933126,18.13,5.67,140.6,37.9,17.150459,2.796043,13.730577,8.473718,-65.06,20.353722,18.143045,16.443411,15.924315,15.863424,16.536075,16.789219,3.018852,3.076631,2.747521,2.764011,2.591329,2.639809,2.734147,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_last,20,5,20,3933126,20.15,4.96,144.0,36.0,15.515161,1.521641,13.730577,8.473718,-33.95,20.075487,17.668176,15.404188,14.092664,13.78353,13.894231,13.687849,2.223268,1.536578,1.283395,1.177304,1.303702,1.469726,1.657511,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_last,50,5,50,3933126,46.94,36.57,252.0,196.6,14.422497,1.838179,13.730577,8.473718,-13.16,19.150691,16.714596,14.279822,13.100643,12.574394,12.57359,12.563744,2.512575,1.976513,1.928802,1.647583,1.504777,1.608244,1.688759,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_last,100,5,100,3933126,73.79,55.48,279.4,212.0,14.249749,2.361611,13.730577,8.473718,-9.88,19.35713,17.109951,14.850726,13.025491,12.172178,11.763815,11.468948,2.903463,2.555172,2.270037,2.12527,2.186071,2.345496,2.145771,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_last,200,5,200,3933126,180.68,84.38,428.8,201.3,10.981603,2.826993,13.730577,8.473718,52.29,14.860461,12.886622,11.142161,9.983971,9.380595,9.196862,9.420551,4.116446,3.422843,2.8452,2.42148,2.549735,2.30066,2.132587,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_last,300,5,300,3933126,339.94,138.54,579.2,234.2,8.529598,1.608758,13.730577,8.473718,98.94,11.588588,10.14932,8.729033,7.730084,7.30733,7.161582,7.041249,2.650434,2.165488,1.717122,1.427036,1.116703,1.184229,1.000296,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_last,all,5,420,3933126,382.31,207.43,488.8,265.2,7.809526,1.923061,13.730577,8.473718,112.63,10.545312,9.082645,7.790264,6.87199,6.681288,6.782631,6.91255,3.194312,2.667288,2.138868,1.497073,1.376712,1.465251,1.121926,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_full,10,5,10,7413126,17.71,4.27,120.6,22.3,17.629158,2.801779,13.730577,8.473718,-74.16,17.258776,16.499032,16.477072,16.948184,17.987921,18.975189,19.25793,1.713613,1.882813,2.348093,2.960697,3.515416,3.383292,3.80853,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_full,20,5,20,7413126,25.15,7.71,148.8,45.4,16.53197,2.777033,13.730577,8.473718,-53.29,17.651461,16.68603,15.841711,15.933219,15.968119,16.886145,16.757105,2.218931,2.587855,2.837516,3.1907,3.071175,2.74577,2.787283,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_full,50,5,50,7413126,51.81,12.1,216.6,50.8,15.730669,2.646345,13.730577,8.473718,-38.05,16.5276,16.259695,15.958489,15.574265,15.254881,15.396626,15.143125,2.681743,2.765851,2.912573,2.915988,2.44829,2.624016,2.175953,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
aligned,anp,decoder_det_full,100,5,100,7413126,69.53,23.9,191.4,68.0,15.57218,0.995367,13.730577,8.473718,-35.03,16.251602,15.606188,15.238196,15.020817,15.132192,16.136517,15.61975,0.895694,0.980036,0.759515,0.585515,1.034372,1.211207,1.501232,18.006953,15.174097,13.397923,12.032526,12.005006,12.56127,12.936262,9.148529,8.341552,8.316429,8.095973,8.044983,8.378007,8.990556
