traj_id,object_x,object_y,sensor_2,sensor_4,sensor_5,sensor_6
0.0,-90.0,-11.044307158922804,-25.74469011325914,-21.247637451396336,-23.502727747406865,-25.43732706051605
0.0,-88.18181818181819,-12.244298995444073,-25.712147597408148,-21.12801268696835,-23.38166297299874,-25.358362114362365
0.0,-86.36363636363636,-13.423147848908876,-25.68002344858951,-21.013453609104342,-23.25757754225872,-25.278891072863445
0.0,-84.54545454545455,-14.575860909161245,-25.648206472575566,-20.905341775544933,-23.130470251612365,-25.204088831151225
0.0,-82.72727272727273,-15.697556059670946,-25.61658090945309,-20.80343521243689,-23.0006453025558,-25.127255155787797
0.0,-80.9090909090909,-16.78348255489255,-25.585027003933646,-20.709805874019143,-22.867152693837276,-25.04912359543843
0.0,-79.0909090909091,-17.829041141225346,-25.553421606072103,-20.625594346382364,-22.73097380139395,-24.970889648543498
0.0,-77.27272727272728,-18.8298035363555,-25.521638799454596,-20.55147205330832,-22.5909819661156,-24.89225798483914
0.0,-75.45454545454545,-19.781531184478823,-25.489550553744465,-20.489290485710235,-22.449045612558123,-24.81377532948505
0.0,-73.63636363636364,-20.680193207969843,-25.457027398317614,-20.43959447065893,-22.30369226356825,-24.735659591985403
0.0,-71.81818181818181,-21.52198347946584,-25.42799333595676,-20.404144270833868,-22.155446982126414,-24.65730891402184
0.0,-70.0,-22.303336742060168,-25.398298822562623,-20.38400780379416,-22.003762519606045,-24.577651338182196
0.0,-68.18181818181819,-23.020943709330396,-25.370066837477857,-20.38035850017692,-21.84936110887628,-24.49751589007606
0.0,-66.36363636363636,-23.671765081247816,-25.33952484038025,-20.395670691147654,-21.692088490408715,-24.41670273752659
0.0,-64.54545454545455,-24.253044416606357,-25.31098516024725,-20.432569239417997,-21.53119481563753,-24.334378404725538
0.0,-62.72727272727273,-24.762319807451902,-25.279062897358745,-20.493420057548263,-21.369090871952427,-24.25198684595544
0.0,-60.90909090909091,-25.19743430606711,-25.24746420691657,-20.582791500149423,-21.20455186833477,-24.16853784277623
