traj_id,object_x,object_y,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6
0.0,-90.0,-11.044307158922805,-26.268153702543543,-25.74469011325914,-24.26780834609252,-21.247637451396336,-23.502727747406865,-25.437327060516054
0.0,-88.18181818181819,-12.244298995444073,-26.196502395021696,-25.712147597408148,-24.26042999643859,-21.12801268696835,-23.38166297299874,-25.358362114362365
0.0,-86.36363636363636,-13.423147848908876,-26.122806253905367,-25.68002344858951,-24.256119272960674,-21.013453609104342,-23.257577542258716,-25.278891072863445
0.0,-84.54545454545455,-14.575860909161243,-26.057011094591587,-25.648206472575566,-24.253772768655047,-20.905341775544933,-23.130470251612365,-25.204088831151225
0.0,-82.72727272727273,-15.697556059670946,-25.99194026091719,-25.61658090945309,-24.255209649618187,-20.803435212436895,-23.000645302555796,-25.127255155787793
0.0,-80.9090909090909,-16.78348255489255,-25.923972538558303,-25.585027003933646,-24.260226647521428,-20.709805874019143,-22.867152693837273,-25.04912359543843
0.0,-79.0909090909091,-17.829041141225346,-25.85765411511838,-25.553421606072106,-24.26746915496748,-20.625594346382364,-22.73097380139395,-24.970889648543498
0.0,-77.27272727272728,-18.8298035363555,-25.79263053195166,-25.521638799454593,-24.277787906190078,-20.55147205330832,-22.5909819661156,-24.89225798483914
0.0,-75.45454545454545,-19.781531184478826,-25.72875670727217,-25.489550553744465,-24.291079053819487,-20.489290485710235,-22.449045612558123,-24.81377532948505
0.0,-73.63636363636364,-20.680193207969843,-25.66532234738054,-25.457027398317614,-24.30758098889074,-20.439594470658932,-22.30369226356825,-24.735659591985403
0.0,-71.81818181818181,-21.52198347946584,-25.600095549087456,-25.427993335956756,-24.326431796438555,-20.404144270833868,-22.155446982126414,-24.657308914021836
0.0,-70.0,-22.303336742060168,-25.534746401613575,-25.398298822562623,-24.348376135302296,-20.384007803794162,-22.003762519606045,-24.577651338182193
0.0,-68.18181818181819,-23.020943709330393,-25.471288510241735,-25.370066837477857,-24.372424708324118,-20.38035850017692,-21.849361108876277,-24.49751589007606
0.0,-66.36363636363636,-23.671765081247816,-25.409595378469064,-25.33952484038025,-24.39868956502832,-20.395670691147654,-21.692088490408715,-24.41670273752659
0.0,-64.54545454545455,-24.253044416606354,-25.347446444921815,-25.31098516024725,-24.42745693856289,-20.432569239417994,-21.53119481563753,-24.334378404725538
0.0,-62.72727272727273,-24.762319807451902,-25.284460422040524,-25.279062897358745,-24.460393948221757,-20.493420057548263,-21.369090871952427,-24.25198684595544
0.0,-60.90909090909091,-25.19743430606711,-25.220759006629827,-25.247464206916572,-24.491502315253225,-20.582791500149426,-21.204551868334775,-24.16853784277623
0.0,-59.09090909090909,-25.556545060349844,-25.156754367760797,-25.211554673982903,-24.526772758916163,-20.708626555193888,-21.03739801696732,-24.08382004576166
0.0,-57.27272727272727,-25.83813111889415,-25.092320885266773,-25.18078364900902,-24.562464379300078,-20.883836073470984,-20.869824284963315,-23.998699266176374
0.0,-55.45454545454545,-26.04099987271648,-25.02733344158169,-25.139490428463155,-24.599803720536322,-21.1315901375055,-20.70117750599583,-23.91200837300819
0.0,-53.63636363636364,-26.16429210634453,-24.961668272014293,-25.10700467981007,-24.63735514831656,-21.505069559990407,-20.53551809326134,-23.825355857344476
0.0,-51.81818181818182,-26.207485636875546,-24.895203813499485,-25.063202148006617,-24.67761216192192,-22.174950588162332,-20.371924676508588,-23.737419299967957
0.0,-50.0,-26.170397525591575,-24.827821546857823,-25.026604655215408,-24.71621638725563,32.12880714139103,-20.214746377214265,-23.649233967155094
