epoch,train_loss,train_nll,train_nll_nonctx,train_kl,beta,train_var_min,train_var_mean,train_var_max,train_mae,val_loss,val_nll,val_nll_nonctx,val_kl,val_var_min,val_var_mean,val_var_max,val_mae
1,1.6797092073368576,1.6797092073368576,1.7892736758825913,17.234743080049192,0.0,0.5636196289352089,2.3608683538886734,4.780044303750092,142.17278851203199,13.985359393225774,1.1843368583255345,1.2580637004640367,12.801022667355008,0.44315677218967015,1.067757429016961,2.099731953938802,107.88314683702258
2,0.9682500452365516,0.9443870344251957,1.1174669940516633,11.931505884764329,0.002,0.09809623939811059,0.6478271045774784,1.691226934486965,109.5682945971219,9.447273540496825,0.7023965742852952,0.795594663090176,8.744877031114367,0.033042713213298054,0.47132282124625313,0.992807658513387,92.93775668674046
3,0.7152865557175763,0.6739399146358922,0.8050357575686473,10.336659197537404,0.004,0.019954133963317803,0.43397502797954485,1.04875127099595,92.20719852087633,6.898245779673259,0.5119015521473355,0.5914244261052873,6.38634418381585,0.018337312568393018,0.4144895639684465,0.7947211689419217,81.51791500515408
4,0.6127267491142705,0.56641785941034,0.7225080582330812,7.718147873878479,0.006,0.02202345892119239,0.3785357728319348,0.8684640942879442,88.80754046170216,4.587067201402451,0.5214818914731344,0.5824014683564503,4.065585337744819,0.01574222669005394,0.40754828055699666,0.792900702688429,79.87950252956814
5,0.5246150614518039,0.48979590383340726,0.6287013761839777,4.352394141116232,0.008,0.014576166811100435,0.36658515570298683,0.8681228138365835,85.58768722246278,2.708066346910265,0.8072157972388797,0.9096049812104967,1.900850566228231,0.00279864526560737,0.3295779870616065,0.6613042685720656,80.78263804117839
6,0.5769600103486259,0.5504785620097844,0.7729938044300619,2.6481450076373116,0.01,0.012845576022540764,0.34394177569533296,0.7324685791753373,92.78549712558963,1.7363930145899455,0.7033214277691311,0.851914111773173,1.0330715907944574,0.035273957293894556,0.35402935213512843,0.7112445248497857,90.50026974148223
7,0.4934495771830937,0.46232848009973204,0.6230017604692927,2.593424627241099,0.012,0.010275281069554248,0.3627676210313473,0.8339797337100191,88.85285647410267,1.071649976571401,0.2585984660519494,0.3256852040688197,0.8130515151553683,0.004359616515123182,0.35190389355023705,0.6960930201742385,74.37644729614257
8,0.2621144040241697,0.23258192845145767,0.39123304244482293,2.1094624433877334,0.014,0.003232211968422217,0.3247690847459829,0.7145702265343576,84.99938403435473,1.118463893731435,0.5697355111440022,0.6991973254415724,0.5487283766269684,0.0012490932596847415,0.3306742701265547,0.6228208210733202,79.40840352376303
9,0.23638178398481235,0.21242387932813112,0.4178517481206723,1.497368981253426,0.016,0.0021414011299504703,0.3356525808010461,0.7098821244149838,88.87733574633329,0.7952179167005752,0.32408751282427045,0.40827541218863594,0.4711304095056322,0.005007256339821551,0.34032022025850084,0.680277144908905,75.31907391018338
10,0.15248416784166727,0.1261514695405187,0.26955271280757237,1.4629277710644704,0.018,0.002271609826733903,0.3099955916404724,0.65782205338748,80.94196017283313,0.38532924403746927,-0.0030310615185751683,0.07783827218744489,0.38836030628946094,0.0017046149225077695,0.3243333637714386,0.6736561417579651,73.7536243862576
11,0.011653544750275477,-0.02209291330819844,0.1433879369013187,1.6873229489011585,0.02,0.0011788596210228104,0.32510040053781475,0.6986283592458041,84.85056643216114,0.15477535426616668,-0.1216174981660313,-0.03530680570337508,0.27639285292890337,0.0010681886407029298,0.2809183809492323,0.5863340788417393,71.46511662801107
12,0.013956057364648243,-0.02194637365700712,0.09973512318002868,1.6319286986342016,0.022,0.0011110112690454665,0.3085790158442731,0.6942914409457512,78.55015254470537,0.1425828958551089,-0.08598402397603624,0.009603364163518159,0.22856691910160912,0.0010442628137146434,0.28772843811247084,0.65484598742591,75.41481128268772
13,-0.10626304163685385,-0.13465501805591695,0.08879113931402143,1.1829990019213479,0.024,0.0010231923101083288,0.2866060801272122,0.6412998291681398,84.84737079548385,0.08394421024454965,-0.1274304729498302,-0.0053411061720301705,0.2113746840092871,0.0010130249429494143,0.2860061758094364,0.6649453520774842,74.13099127875434
14,-0.10416164748230071,-0.13506800772727662,0.022246210629401623,1.1887061460962836,0.026,0.0010179163435614616,0.2933204219026386,0.7113897114429834,79.53905854135189,0.04415618479251861,-0.11985218822956085,-0.03461643047630787,0.16400837285651101,0.0010141317137620516,0.28220070269372727,0.6972295549180773,67.91696251763238
15,-0.13437665144930472,-0.1613162792164762,0.01568676820595942,0.9621295304793231,0.028,0.001017809902616548,0.27521781285978714,0.6833969838214371,79.1547343416034,-0.028428047729863064,-0.16870023289488423,-0.05798118348724933,0.14027218537198172,0.0010080972272488806,0.25733641452259487,0.6477311094601949,67.60907440185548
16,-0.14089620492930682,-0.17180401228921804,-0.010624960588756949,1.0302602676850445,0.03,0.0010121944294539543,0.2627596163524772,0.7244468342583135,75.18513301633439,0.021455418897999658,-0.08348967745486233,-0.013450366305187344,0.10494509612520536,0.0010116950919230778,0.2545964575476117,0.6798202501402961,64.84488610161675
17,-0.11162641653263906,-0.14161452007884123,0.05674635301858081,0.9371281676697281,0.032,0.00102651947098872,0.25660924107398625,0.7680129701236509,77.12604321173902,-0.13445685654878614,-0.23576554705699285,-0.16363169675072034,0.10130869009428554,0.0010191481275897887,0.24254333641793993,0.6832108153237237,61.04183264838324
18,-0.18573895898067727,-0.21526767390797724,-0.005283308136364761,0.8684915821507292,0.034,0.0010100013932283476,0.24296372650929218,0.8593947707482104,76.02936006941886,0.05172416385677125,-0.0663555673427052,0.02462788629345596,0.118079731033908,0.001005106745287776,0.24331790374384987,0.9284825762112935,61.87971369425455
19,-0.19673697074066918,-0.22993100819371218,0.022037971812028018,0.9220566327841777,0.036,0.0010080006092189338,0.23588255272721345,0.9719247773008527,78.19019756677015,-0.06305008050468232,-0.17841414691259463,-0.06357835461385548,0.11536406626303991,0.0010025487772913444,0.23665935165352292,0.993200523323483,70.64060626559788
20,-0.2020709735323798,-0.23730774759973908,-0.04715022264171462,0.9272835406492341,0.038,0.0010045104976392017,0.23615248866800992,1.1602514746054164,71.78864381898124,-0.13124114688899782,-0.21608041723569235,-0.11159257952951723,0.08483927109175259,0.001002129966703554,0.25387601951758065,1.3330896496772766,63.035423278808594
21,-0.22182882745873253,-0.25637040926881555,-0.040489574843789185,0.8635395815912282,0.04,0.001003863935727837,0.22282792571580634,1.2820955065061461,71.16912208413179,-0.021355617377493117,-0.08941981765545076,0.05169789037253294,0.06806419988473257,0.0010012765415012836,0.20365849634011587,1.1883356942070855,62.06866616143122
22,-0.24532370634798734,-0.2775064662872058,-0.07497771356676547,0.766256219373559,0.042,0.0010028165207191739,0.22483335182351885,1.3594888853576947,68.98625895662128,-0.11061282927791277,-0.18003644280963474,-0.08924073944799601,0.06942361253831121,0.0010015142486534184,0.26000396774874796,1.2321825716230603,69.81654654608832
23,-0.25778735161952254,-0.2852748927642714,-0.045018513335512496,0.6247168267672917,0.044,0.001002583624180055,0.2430889218483331,1.465260627134791,72.55332522122364,-0.291609457300769,-0.35107050836086273,-0.22851149357027478,0.059461051722367604,0.0010008061045987738,0.2398689995209376,1.4172254535886977,60.71816296047634
24,-0.31475568239418966,-0.34866449855408577,-0.11125575870556652,0.7371482213713089,0.046,0.0010013374838240023,0.21953939463732378,1.444224791706733,69.50807549818506,-0.333917706211408,-0.38968758251931934,-0.24583566130863296,0.055769878129164376,0.0010003556057603823,0.20294541749689315,1.2857366773817274,57.84815054999457
25,-0.312199408293895,-0.3452338998047811,-0.13846744223989826,0.6882185663254756,0.048,0.001000837811690597,0.2278914876141638,1.488403302318645,67.31480040640201,-0.3639077911774317,-0.4020727422502306,-0.27657357826828954,0.03816495248013073,0.001000452287391656,0.2543102777666516,1.51272341410319,56.96052568223742
26,-0.3226189908553969,-0.3471277432059342,-0.13736265385523438,0.49017502283150294,0.05,0.0010009219536100918,0.22612362959474888,1.445660118786794,65.68797597345316,-0.3446994798050987,-0.37804313831859165,-0.24097454597552617,0.03334365809957186,0.0010005949375530084,0.2419164021809896,1.3661943382687038,56.81159956190322
27,-0.3268552551854332,-0.35763264292815944,-0.11740474399390086,0.5918728520847717,0.052,0.0010011013715861823,0.22521403797392575,1.4221043609223276,68.82185428547409,-0.30613607847028307,-0.344410886698299,-0.2352671357492606,0.03827480781409476,0.001001246656394667,0.2572788238525391,1.4834486696455214,57.64693417019314
28,-0.31231211955254934,-0.3558947455208257,-0.13284213564200503,0.8070856493036702,0.054,0.001001021372294932,0.22244687856368298,1.3151298806352436,67.77246460824642,-0.3510891023609373,-0.38820649186770123,-0.25337971068090864,0.03711738975511657,0.0010004744606299533,0.23478338917096456,1.3960384130477905,57.83996480305989
29,-0.33793965755206234,-0.36510634113032864,-0.15262423357750587,0.48511934336626306,0.056,0.0010005627113025425,0.21887673887441744,1.3099676809220944,65.13290858718584,-0.31829653084278103,-0.34967019690407647,-0.2708180452386538,0.03137366597851118,0.001000397755867905,0.24448686242103576,1.4136362738079495,55.458587137858075
30,-0.3707838075340919,-0.3903124363354917,-0.1374833189161881,0.3367005204254726,0.058,0.0010006506685694715,0.21133761613998772,1.270892451394279,68.1753935184119,-0.4155166523324119,-0.4412611179881626,-0.2945692261060079,0.025744466483592986,0.0010002712279351222,0.17724933723608652,1.2114184233877394,55.271078915066184
31,-0.4080898959962827,-0.42708600101605904,-0.16393380745683075,0.3166017931587291,0.06,0.001000370070303105,0.19187041920311046,1.2463463736030291,65.01641701752285,-0.42484323316150246,-0.44840488301383125,-0.3199607508050071,0.023561646789312364,0.0010002090181741449,0.17948355078697203,1.1548130167855157,52.00446590847439
32,-0.4075149098094904,-0.4272539534096448,-0.2323858470849271,0.31837169938492327,0.062,0.0010003761524545415,0.1975414370590786,1.2182257456599541,59.53038233631062,-0.45022694600953,-0.46932181119918825,-0.33148452324999705,0.0190948658519321,0.001000169698252446,0.1692649546596739,1.0815218938721551,53.48740437825521
33,-0.40210421481784786,-0.4256974022905782,-0.19618888557800707,0.368643489929865,0.064,0.0010003573173340762,0.19971245583498254,1.1396398499326885,64.25587772873213,-0.41827871799468996,-0.43646518455611333,-0.2747195851471689,0.01818646631307072,0.001000235330623885,0.17395987411340078,1.0636921948856777,54.206564076741536
34,-0.4229168176369847,-0.44001543128265524,-0.16027419745289492,0.25906989723443985,0.066,0.0010004506209197472,0.1698664162518843,0.8862345387350838,63.36463050122531,-0.48240580492549473,-0.4984252333641052,-0.3403148726456695,0.016019425210025577,0.001000238755821354,0.15630628367265065,0.8260457833607991,53.43190697564019
35,-0.44671892894888826,-0.46368105681437366,-0.22535039407183538,0.2494430068247723,0.068,0.0010002910199065536,0.17402721997701898,0.8585479248244807,59.927025273161114,-0.5013787733183966,-0.5161565429634518,-0.38040859467453425,0.014777768899997075,0.0010001411739115915,0.15670175353686014,0.8084514207310147,50.62850748697917
36,-0.4129262001446958,-0.431532657652531,-0.1811480325172251,0.26580652917893427,0.07,0.001000415109853559,0.17413342111515548,0.8253096668225415,62.3455939382877,-0.4973610427644518,-0.5107236954900953,-0.4034910831186507,0.013362650987174776,0.0010004189356954561,0.1721232470538881,0.8772850010130141,48.35189225938585
37,-0.4675777042811772,-0.48244097041633893,-0.19136968448336394,0.2064342902235265,0.072,0.00100033524674627,0.1696468990928722,0.7889584235425265,63.576789568055354,-0.49850330419010586,-0.5102318876319462,-0.34263900650872126,0.01172858037882381,0.0010001409514289762,0.13258242458105088,0.7529505941602919,51.61767179701063
38,-0.4696633880079355,-0.4828014144638799,-0.17530626199155483,0.1775409180741265,0.074,0.0010002028715427754,0.1642010694123664,0.8001894366066411,64.58836256782963,-0.5480773978763157,-0.5596491992473602,-0.39427561826176116,0.011571803440650305,0.0010000752699044016,0.14194592336813608,0.8137851397196452,49.73568471272787
39,-0.49772679074755255,-0.5109408694618153,-0.2546412018995363,0.17386948795251125,0.076,0.0010001483364557883,0.15140540813500025,0.7614699905773379,58.58056597439748,-0.562164299355613,-0.5728353533479903,-0.42515984574953714,0.010671051426066292,0.0010000887973647978,0.16734032233556112,0.9033084856139288,47.38098534478082
40,-0.5376916696440499,-0.5458491292764556,-0.2383015508618522,0.10458280188295077,0.078,0.0010001230984926224,0.1449147086098509,0.7417193212599125,59.798463497521745,-0.48255185286204016,-0.49111954073111214,-0.32780622934094733,0.008567688365777334,0.0010000747214588854,0.14322676559289296,0.7914760152498881,52.43046858045789
41,-0.47893371496279286,-0.4922386915335115,-0.2601641738822438,0.16631221904788376,0.08,0.001000183329144317,0.15624795038745087,0.8388620704974769,57.635813227239645,-0.5142622821860844,-0.5260139339500003,-0.378797905643781,0.011751654164658652,0.0010001605997482935,0.16553460028436448,0.924021225505405,50.36405029296875
42,-0.5052480661081817,-0.5138193768150402,-0.26127051217657216,0.1045281744368796,0.082,0.001000256279817308,0.14542043265306726,0.7752721006015562,56.24948947834519,-0.5931647883521186,-0.5996340837743547,-0.44057353734970095,0.006469296167294184,0.0010001328851406773,0.1325395103957918,0.8159990111986796,46.27954635620117
43,-0.5222962723588044,-0.5335002873303756,-0.320303848610734,0.1333811287328882,0.084,0.001000175470011836,0.15000124528722944,0.7969062721954202,55.057943524054764,-0.5823642611503601,-0.5914796557691362,-0.429400149318907,0.009115395860539542,0.0010000532208424475,0.10433844327926636,0.7185549815495809,46.91371078491212
44,-0.5608225982144194,-0.5715309055346363,-0.35510993394824975,0.12451514601707458,0.086,0.0010001098293424496,0.13451404138556067,0.773972453936091,51.212682903937576,-0.6053640908665128,-0.6110539846950107,-0.4673824283811781,0.005689890268776152,0.0010000530526869827,0.1146308195259836,0.7842381079991658,45.33867094251845
45,-0.532114436041634,-0.5405561204226512,-0.32770791445981784,0.09592825328966356,0.088,0.0010002454993192037,0.13697752820433312,0.7929375419076884,52.8953549367077,-0.6270861440234714,-0.6328088488843706,-0.4636320349242952,0.0057227041158411235,0.0010001113664151893,0.09802096121841007,0.6769679453637865,44.19908142089843
46,-0.6201685458984015,-0.6263086492160581,-0.3437255077917384,0.06822339311804411,0.09,0.0010001245372102789,0.12152699057785969,0.7522493634583816,52.84398514369749,-0.5604189813137055,-0.5645729349719153,-0.4477727242641979,0.004153956804010603,0.0010000340019663174,0.10979141857888963,0.8674488597446017,43.78626463148329
