k_active,anp_basic_mae,anp_basic_mae_std,anp_basic_nll,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_nll,anp_masked_mae,anp_masked_mae_std,anp_masked_nll,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_nll
1,121.97738958994547,15.224706772066542,188.90916007359823,200.22903509140014,23.998736268392847,413.8998929977417,66.28420928319295,4.842481338196885,-0.1415798552140283,71.14104758898416,34.520530711022,-0.05911556498199199
2,92.81485126813253,13.083400038591343,113.51802282730738,163.46681038538614,31.241655724880335,345.98070570627846,48.111789965629576,8.291215043147862,-0.3692705585466077,27.809192419052124,10.398593091992133,-0.1853104863849391
3,82.1092339515686,12.853405699460096,72.49415686527888,156.24656206766764,34.894931427924185,357.59778277079266,36.080013100306196,8.85878981089281,-0.6179481478563199,16.745818030834197,6.044630522091928,-0.6562723071333797
4,78.40926750500996,17.08933383585293,65.6551981051763,127.23353575070699,23.036258037171145,260.89592405160266,28.84616668621699,5.930779832596371,-0.8006727942886452,13.614489430189133,3.3693219721786676,-0.5109032943010485
5,66.37067066828409,16.517621624575856,46.970987732211746,105.77570430437724,21.722147070282436,203.4927313288053,23.76550319592158,3.9162173227613093,-0.9906790404890974,10.725144014755886,2.873564896874796,-0.7437087187621122
6,59.75578215916951,15.313855229495834,38.87933882872264,74.20489105383555,16.675338152688134,108.14922385613123,21.338944220542906,3.816001448395091,-1.0435371066909283,9.53673758506775,2.3609052870698823,-0.6967124261843612
7,47.80740495522817,9.26720027028399,26.178089932600656,58.844807759920755,12.820941219251502,75.40797135631243,19.511473015944162,2.658934288326694,-1.1075298359928032,8.198322091499964,1.4495204086720863,-0.7832093002070906
8,38.35735232830048,6.931408022040645,18.327994818488758,38.98811421791712,12.67991773491492,40.8456147591273,18.372674830754598,2.0646956782425874,-1.1447867532493547,7.863418819506963,1.179445744992833,-0.7863426661567549
9,27.645740628242493,4.453846123669942,6.393392243448761,18.67701510190964,3.4458722652373734,5.873701175492412,16.68713145653407,0.6976822961959869,-1.2375204864578941,7.004039472341537,0.46352246307163375,-0.9102217898316061
10,12.486719004313152,0.12102157161227037,-1.0240103647423286,7.786201037963232,0.0927989295952511,-1.4136271342635154,15.999337995052338,0.18628732712783364,-1.2603302558263143,6.677531391382217,0.06756777111329137,-1.033179152927672
