epoch,train/loss,train/nll,train/kl,lr,val/ctx10/loss,val/ctx10/nll,val/ctx10/kl,val/ctx10/mae_SoC_pct,val/ctx10/mae_Cycle,val/ctx30/loss,val/ctx30/nll,val/ctx30/kl,val/ctx30/mae_SoC_pct,val/ctx30/mae_Cycle,val/ctx50/loss,val/ctx50/nll,val/ctx50/kl,val/ctx50/mae_SoC_pct,val/ctx50/mae_Cycle
1,9.213426148891449,1.892898598909378,7.320527560263872,0.0002999821117098408,,,,,,,,,,,,,,,
2,1.912811918258667,1.4514269149303436,0.46138500593602655,0.00029992845125303107,,,,,,,,,,,,,,,
3,1.295243098139763,1.1167535197734832,0.17848958142101765,0.00029983903186948566,,,,,,,,,,,,,,,
4,1.3033948189020157,1.1296342155337333,0.17376059701666235,0.00029971387562209936,,,,,,,,,,,,,,,
5,0.8559823466837406,0.7544464930891991,0.10153585840482265,0.0002995530133913035,,,,,,,,,,,,,,,
6,0.7203716208040715,0.653951420346275,0.06642020395956934,0.00029935648486744657,,,,,,,,,,,,,,,
7,0.6938463420886546,0.6229846302233636,0.07086171102477237,0.00029912433854100106,,,,,,,,,,,,,,,
8,0.6249719478981569,0.5615756516344845,0.06339629464666359,0.0002988566316905993,,,,,,,,,,,,,,,
9,0.5299331302195788,0.4738002290669829,0.05613290135981515,0.00029855343036890085,,,,,,,,,,,,,,,
10,0.44549827207811177,0.4044338728301227,0.04106439786613919,0.000298214809386295,2.111828315258026,0.14251620806753634,1.9693120956420898,12.16652946472168,39.529915237426756,0.7103891789913177,0.01975359171628952,0.6906355947256089,11.614171314239503,27.031173706054688,0.5832055300474167,0.2989723920822144,0.28423313349485396,11.988243675231933,52.34617309570312
11,0.3096911491220817,0.2879099375195801,0.021781212149071506,0.00029784085229244225,,,,,,,,,,,,,,,
12,0.10445492896251381,0.0810403413651511,0.02341458929644432,0.0002974316513556599,,,,,,,,,,,,,,,
13,0.08689915766008198,0.06536216389853507,0.021536993110203184,0.00029698730754015607,,,,,,,,,,,,,,,
14,0.14512802894227206,0.13374320837669074,0.01138482152891811,0.0002965079304811184,,,,,,,,,,,,,,,
15,-0.00544255159329623,-0.018248560396023093,0.012806007984327152,0.00029599363845766313,,,,,,,,,,,,,,,
16,-0.05366698835976422,-0.06613058766582981,0.012463599298498593,0.00029544455836365155,,,,,,,,,,,,,,,
17,-0.059033507481217384,-0.07278088363818824,0.013747375169768929,0.00029486082567638076,,,,,,,,,,,,,,,
18,0.27469160524196923,0.2580830523557961,0.01660854948393535,0.0002942425844231568,,,,,,,,,,,,,,,
19,-0.116959188291803,-0.13237885946407915,0.015419667234527878,0.0002935899871457579,,,,,,,,,,,,,,,
