sensor,anp_basic_mae,anp_basic_mae_std,ranp_basic_mae,ranp_basic_mae_std,anp_masked_mae,anp_masked_mae_std,ranp_masked_mae,ranp_masked_mae_std
0,96.63906211853028,0.1513033454407401,155.97461318969727,0.16019904828957374,27.947468996047974,0.36396486130426814,84.73664493560791,0.17281324014960675
1,127.17719631195068,0.2717090934612093,159.4078311920166,0.24801480091653752,30.567324495315553,0.39603950187724457,35.603669786453246,0.17264728817329292
2,112.63003482818604,0.31166474789944526,139.06366233825685,0.19725537306333796,30.82493886947632,0.20266310519849837,86.90076990127564,0.12091375163038517
3,84.89243927001954,0.28224110151499593,145.97301216125487,0.13824866717695128,33.49277997016907,0.22649993697327067,83.56277351379394,0.1523383098953554
4,101.1181676864624,0.22579197214825156,154.16298179626466,0.3459463531776387,29.923899698257447,0.3625694338718459,50.44630680084229,0.14826775740307338
5,101.62618255615234,0.14292506150159176,140.9644178390503,0.17091033579244902,24.13158712387085,0.13790319811952972,42.03018159866333,0.22786403197812488
6,102.47074432373047,0.2830978692048549,131.23566169738768,0.1623894343822557,32.43473925590515,0.34898567720360696,69.23474397659302,0.1707343159459579
7,109.49117584228516,0.25605547480507956,154.01738395690919,0.19829210254082566,27.112913799285888,0.30252754296237927,109.58466634750366,0.31981351518174983
8,91.87903022766113,0.19596433317188727,131.83339824676514,0.20659638461987737,30.736874055862426,0.23091762015045766,106.73194160461426,0.19880303837758484
9,106.18702144622803,0.20859861676467326,151.250927734375,0.11069214383584478,26.479605436325073,0.25911063181011934,47.60954399108887,0.052973329415645226
