sensor,anp_basic_mae,anp_basic_mae_std,anp_basic_delta_mae,anp_basic_delta_mae_std,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_delta_mae,ranp_basic_delta_mae_std,anp_masked_mae,anp_masked_mae_std,anp_masked_delta_mae,anp_masked_delta_mae_std,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_delta_mae,ranp_masked_delta_mae_std
0,16.710533118247987,0.10524841258991904,10.425049126148226,0.128152318854767,9.986852729320526,0.05985014975630743,5.010690796375275,0.07277699378364957,6.802752381563186,0.10643527821095367,0.9227559149265288,0.1403145566813362,6.895323121547699,0.07795104227342024,-0.29153395891189504,0.08915981979246596
1,25.1909912109375,0.11094071425999442,18.90550721883774,0.13286696562981248,8.426627838611603,0.02022447157011284,3.450465905666352,0.04608122880982282,6.180931735038757,0.05835003877109288,0.3009352684020996,0.10846397279016125,6.954731905460358,0.0563796434014745,-0.23212517499923635,0.07107582334373538
2,25.743413591384886,0.09040162455368378,19.457929599285123,0.11626797580202917,16.61530544757843,0.055829051647297186,11.639143514633178,0.06950779385198122,6.817081379890442,0.010360121060513957,0.9370849132537842,0.09201651198141181,7.036093127727509,0.07922062132026833,-0.15076395273208565,0.09027189660288414
3,18.03310215473175,0.1506872930123862,11.747618162631989,0.1674886526023682,15.577688622474671,0.05213437246238117,10.60152668952942,0.06657659641630256,6.4942882597446445,0.11902333843976817,0.614291793107987,0.15008751267905132,7.031075382232666,0.05562211807584458,-0.155781698226928,0.07047643927693602
4,23.699678421020508,0.10688439141725392,17.414194428920744,0.12949927259947364,16.60034785270691,0.05648207903994223,11.62418591976166,0.07003338954389701,6.591192412376404,0.05737514677487772,0.7111959457397461,0.10794264141791028,6.0097442150115965,0.021915305227190523,-1.1771128654479979,0.048511741641723984
5,14.139977383613587,0.07892946032430193,7.8544933915138255,0.10759018627291987,10.43219052553177,0.04848375439474971,5.456028592586518,0.06375833152258106,7.281647861003876,0.10060246151382334,1.4016513943672182,0.1359432294433125,7.386326789855957,0.033540115116523696,0.19946970939636266,0.05475443174704778
6,19.125524759292603,0.13820450592332814,12.840040767192841,0.15635304260764255,9.962802302837371,0.062936945742624,4.98664036989212,0.0753359777114689,6.689509403705597,0.04421600445793392,0.8095129370689396,0.10156161390535713,8.424709939956665,0.04821226412979985,1.237852859497071,0.06478835455877884
7,17.770659351348876,0.09363481081304936,11.485175359249114,0.11879926881572794,11.263121867179871,0.04428771876174973,6.28695993423462,0.0606288085933806,7.01849764585495,0.04257879157692638,1.1385011792182924,0.10085960470370749,6.575382494926453,0.09385929118579509,-0.6114745855331414,0.10335702693001732
8,21.9931378364563,0.11745472037068065,15.707653844356537,0.1383524478009364,47.925997734069824,0.2433309406267757,42.94983580112457,0.2468286795829131,6.821677279472351,0.0672859416847128,0.9416808128356937,0.11352138264325083,7.554352545738221,0.06776773366789558,0.3674954652786262,0.08040879429760951
9,13.810510611534118,0.07041797832908615,7.525026619434357,0.1015109853518903,13.114739513397216,0.04646836126885447,8.138577580451965,0.06223952921854179,7.794070017337799,0.06716494434622422,1.9140735507011417,0.1134497074384425,8.260335731506348,0.06694245745773185,1.073478651046754,0.07971449732885914
