k_active,anp_basic_mae,anp_basic_mae_std,anp_basic_nll,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_nll,anp_masked_mae,anp_masked_mae_std,anp_masked_nll,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_nll
1,83.07709481557207,10.085369172506082,105.84386609395347,191.71033792495732,27.410025822446705,366.609556910197,36.83697982788086,3.602358431067953,-0.5698296642055113,69.92503487904865,27.77445172839786,-0.08980065908903878
2,76.52051368077598,11.042767795661158,86.55169965267181,155.72974961598717,36.27676689577251,311.63347799301147,27.45577380577723,3.872633870516109,-0.8010533351451156,28.604054684638974,11.290827928045262,-0.2357536262172895
3,72.39872671127321,9.539719646588491,77.18952515125274,147.16454015096028,39.36520803304458,306.72225701967875,20.147811312675476,3.938363088279348,-1.0055320371190706,16.499196163018542,6.996100354376422,-0.7252527204714716
4,68.26006392796835,11.909500792273363,74.05116308927536,120.89770705223083,25.121769746399227,227.54656023820237,17.59859808206558,3.5732101480069134,-1.0590228116512297,12.574496713081997,3.29974690944879,-0.6118366072362824
5,64.6724056561788,10.992366727867962,66.37414778709412,98.8118938032786,23.991225679137617,166.58766917387644,13.436066985925038,2.2140968669127266,-1.2592344046135744,9.656197379430132,2.13184662399429,-0.8390243437449317
6,55.31542382876079,12.591776257508645,52.80432699441909,69.30455637137096,16.54883933065258,86.89010420461494,12.234383941491444,1.6258843549168254,-1.2911056742072105,8.85095296382904,1.7825945595487975,-0.7928433823562226
7,44.372110322316495,8.61725010054652,35.58129223068555,55.46097996393839,11.466772851170129,60.86719640652339,10.579789516925812,1.3140095029444427,-1.3839271339277428,7.877704309225082,1.1582338504797645,-0.8043017939138615
8,38.42994635740915,8.759140669021997,30.770361329515776,36.54986504872639,11.429672701285481,31.0161966044642,9.72297748843829,0.904237823944862,-1.4611212021609146,7.59559937397639,0.8951754809605297,-0.7891438487055711
9,24.242988053162893,4.267330262789817,9.398650408461691,19.486891007423406,2.956817261556484,6.863594098946632,8.898908600409827,0.355794031012477,-1.5187493144472441,6.8774929356575,0.4371940720010788,-0.8660823382056937
10,8.031725849310556,0.06359727081356277,-0.9118608447553318,8.607206197182338,0.050366788468283345,-1.2182244875344137,8.380286798477174,0.05924337514107475,-1.5613860495885212,6.551358070373535,0.02784714100388364,-0.9689246891299262
