epoch,train_loss,train_nll,train_nll_nonctx,train_kl,beta,train_var_min,train_var_mean,train_var_max,train_mae,val_loss,val_nll,val_nll_nonctx,val_kl,val_var_min,val_var_mean,val_var_max,val_mae
1,1.9129725087363765,1.9129725087363765,2.0141391551719523,102.1166982020972,0.0,0.5923491494976124,4.271917510707423,11.680957173401454,135.37550670695754,141.71741841634113,1.2804312653011747,1.2969326575597127,140.4369873046875,0.15893013560109667,2.6545206281873917,8.314374489254421,96.09849836561415
2,1.1304685945780772,1.0459138278691273,1.1406894404933137,42.27737940032527,0.002,0.05714297812994359,1.3717689508537076,4.699092986448756,100.47126510908019,25.955964766608343,0.8769444624582926,0.9290561676025391,25.07902037302653,0.034519405373268655,0.42290399935510425,1.1067268305354647,78.11485510932074
3,0.7299985312065989,0.6716069084293438,0.8338251608722614,14.597906045193943,0.004,0.02347953558706169,0.41906174455048906,1.1213547047579064,92.35837166264372,16.26073095533583,0.4491538438532088,0.5075527654753791,15.811577150556776,0.012389488331973553,0.3253002385298411,0.7241811725828383,70.268064710829
4,0.5923847162498618,0.5333489815019211,0.647734079720839,9.83928859008933,0.006,0.014236827275522475,0.33751431894752215,0.8738197976688169,80.02566852209704,8.589229562547473,0.41288352178202736,0.5164401835865444,8.176346047719319,0.009837639073116912,0.2709563867913352,0.6342749317487081,75.40455593532985
5,0.3646132555210365,0.3130423612189743,0.4415632241739417,6.446361337067946,0.008,0.004531215357963207,0.3089432491446441,0.7892741066104961,78.47892746835385,4.0109831889470415,0.08828154684354862,0.14843379378111826,3.9227016501956515,0.003103260240621037,0.2742959896723429,0.8236910820007324,65.07530475192601
6,0.3318226237271754,0.29388742419596725,0.42841020971536636,3.793520059225694,0.01,0.008556252521164012,0.2874683510020094,0.90044493045447,73.83269292003703,2.1736624479293822,-0.027503508872662983,0.06333600792826878,2.201165951622857,0.0015940498457186752,0.23046566512849595,1.1217016617457072,67.53240958319769
7,0.1905017458253874,0.13982354402366393,0.2764144426932172,4.2231833147552775,0.012,0.0026287407359494915,0.25927484738376905,1.0810303598080042,72.19680289502413,1.957630111111535,-0.12140504552258385,-0.08424131655354156,2.079035144382053,0.0012491135909739467,0.19682951635784574,1.1881762133704292,58.23834415011936
8,-0.0777000848133609,-0.12585966446313937,0.07542941691178195,3.439969883774811,0.014,0.0010710781690541585,0.21671801833611615,1.4279154876493059,71.18930125686357,1.4758722755644056,-0.14323350634011958,-0.058452432623340024,1.6191057840983072,0.0010612630544023381,0.23303770124912263,1.7337208694881863,59.52797359890408
9,-0.1907053492119852,-0.2364291395500021,-0.04035096527033327,2.8577367292260223,0.016,0.001036646422262321,0.20499510950637315,1.5695861847895496,65.92169405379386,0.7793287542131212,-0.37072151435746087,-0.2845864360531171,1.150050272544225,0.0010071114507607289,0.20987774862183464,2.037134461932712,56.23600175645617
10,-0.2827918881655864,-0.3252703287410286,-0.14427053007595944,2.359913460488589,0.018,0.001006267143343136,0.19252859899457894,1.6330437547755692,61.30110924198942,0.5760868065887029,-0.26151177535454434,-0.10755740198203259,0.8375985781351726,0.0010046747616595693,0.14552833802170223,1.6947465830379063,61.6788096110026
