k_removed,anp_basic_mae,anp_basic_mae_std,ranp_basic_mae,ranp_basic_mae_std,anp_masked_mae,anp_masked_mae_std,ranp_masked_mae,ranp_masked_mae_std
0,7.898018527030945,0.07641779678530915,8.616542303562165,0.15286327285910337,8.430432665348054,0.10104636221899264,6.545093035697937,0.10988742419219794
1,34.3872567653656,0.09913662484824662,17.1241051197052,0.13315222953837272,9.711216747760773,0.16077676756194087,6.847290170192719,0.09694210377979194
2,47.15265245437622,0.1511295514700779,37.016494846343996,0.27922662580472213,11.374385237693787,0.07670548518380346,9.225508642196655,0.08508456214691296
3,54.36269359588623,0.15589962103069666,55.81927251815796,0.39434041082794236,15.578596258163453,0.3120864048833575,11.33030641078949,0.14325488331133554
4,62.62237215042114,0.15918900520592424,85.09841804504394,0.2588736219231924,18.00093455314636,0.33122036529127225,12.449441742897033,0.12846986138326102
5,73.91614856719971,0.2774368140444149,117.59419174194336,0.05687806242042231,19.216768860816956,0.2109535540431892,16.843676686286926,0.19674690087761149
6,79.63188400268555,0.04785440679093102,177.7331569671631,0.22451429926109792,22.18360080718994,0.17510919565248545,23.250327920913698,0.0784000502254492
7,103.49685745239258,0.23472010402679314,168.9299301147461,0.17148727395482607,24.44722671508789,0.4044172814229349,27.248963165283204,0.16306500063967
8,84.67449054718017,0.25566630356391895,177.7233428955078,0.13069695494297898,26.497735929489135,0.14213524674266023,35.70087852478027,0.12432766028987215
9,78.02851638793945,0.11485070280185873,172.56216011047363,0.2967326179321727,31.70032696723938,0.49552552916264125,51.55416464805603,0.19875192466709737
