k_removed,anp_basic_mae,anp_basic_mae_std,ranp_basic_mae,ranp_basic_mae_std,anp_masked_mae,anp_masked_mae_std,ranp_masked_mae,ranp_masked_mae_std
0,6.997873473167419,0.15598959114449526,8.595133578777313,0.04558979991102393,8.13954837322235,0.10591696372813983,6.5618185758590695,0.03371617607334291
1,28.72108688354492,0.16084630670201996,19.823236751556397,0.10006313866174865,8.255152785778046,0.06992753860186493,6.820635759830475,0.02256632883513865
2,44.70460934638977,0.30545471630795223,25.91324062347412,0.3026883194917033,9.788913667201996,0.055982380618832005,9.126493918895722,0.0501848215739597
3,44.834838199615476,0.26314601539073174,41.36133489608765,0.33321115997959555,13.560846400260925,0.2782445214815859,10.531701278686523,0.1807679658800788
4,59.65220880508423,0.31317624851563325,55.31657543182373,0.49412668997428427,18.199185395240782,0.31539632838562687,11.398414850234985,0.07775851547011266
5,67.79694175720215,0.1626091410525458,81.71851444244385,0.4983732195329856,21.007463693618774,0.08124865814176065,16.793693518638612,0.08513418916084854
6,64.78466148376465,0.18691835047307256,83.95431022644043,0.6159415241600261,21.677709770202636,0.1720374402452646,26.659245920181274,0.1324994268919746
7,67.4682279586792,0.26544142471517584,96.2910078048706,0.3876658052732004,24.425107622146605,0.19650130533097443,32.89293174743652,0.12555636224900046
8,61.90342588424683,0.11526467944145508,112.78875045776367,0.23675096786024138,28.82125816345215,0.22068314917083257,35.97782850265503,0.10805771404548672
9,62.367073154449464,0.22550720501207744,178.11260833740235,0.4480061132717627,35.695563077926636,0.37296037137158405,41.274397468566896,0.18643948388961895
