k_removed,anp_basic_mae,anp_basic_mae_std,ranp_basic_mae,ranp_basic_mae_std,anp_masked_mae,anp_masked_mae_std,ranp_masked_mae,ranp_masked_mae_std
0,8.049755024909974,0.0999723553105664,8.638240945339202,0.11097912443520228,8.353335237503051,0.11648861237471261,6.555254447460174,0.052551945393069496
1,26.60443320274353,0.1906850182587492,20.3230544090271,0.11525243289347621,8.979292678833009,0.06887184054666044,6.861919391155243,0.04287299307818205
2,30.721757793426512,0.0609218076362498,35.70331692695618,0.0349106663422573,9.409638953208923,0.0969375767378775,7.394561922550201,0.04702926564349184
3,41.22146987915039,0.14913701461598322,51.038274097442624,0.24060997412918705,10.374511957168579,0.18944099229380246,8.501166915893554,0.07628694886200946
4,48.25307188034058,0.16872297400925598,60.7373571395874,0.21002378868205734,11.539372682571411,0.08991076736057602,9.26738053560257,0.059300428855634225
5,78.33887042999268,0.202217139153944,87.0203369140625,0.25327170164167256,12.372600412368774,0.1764843512456983,10.071053540706634,0.12256094896752069
6,69.52891979217529,0.23786926214518636,107.86186332702637,0.24141049882482776,14.466624212265014,0.22642972980080855,11.717036986351014,0.04649701900573645
7,77.30860500335693,0.1452735990905823,152.98997421264647,0.17308632286350803,18.28764247894287,0.19388550926212578,12.618125486373902,0.09150166983949273
8,77.9915361404419,0.2280214447323487,142.410241317749,0.23189188068444777,21.692603206634523,0.14933085445457564,16.021311116218566,0.13758145407049044
9,77.96019554138184,0.1740517364713387,172.67535858154298,0.33715744621551336,31.79304027557373,0.5091272400149734,51.51336507797241,0.14944825305735007
