epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
70,-1.240012,-1.240161,38.089483,1.895278,1.895275,94.036265,9.52e-05,8.7
71,-1.242225,-1.242580,38.068619,2.143302,2.143297,92.716468,9.51e-05,8.7
72,-1.255031,-1.255194,37.334482,2.063240,2.063239,95.675774,9.50e-05,8.1
73,-1.259090,-1.259284,37.154294,2.253517,2.253516,93.693216,9.48e-05,9.3
74,-1.264365,-1.264506,36.845047,2.585331,2.585329,95.459962,9.47e-05,8.3
75,-1.269105,-1.269300,36.686180,2.459241,2.459240,93.579552,9.46e-05,8.2
76,-1.276675,-1.276814,36.325980,2.206515,2.206513,95.284595,9.44e-05,9.4
77,-1.289088,-1.289246,35.703130,2.668704,2.668703,95.288708,9.43e-05,8.2
78,-1.290841,-1.291053,35.591629,2.620237,2.620234,95.044513,9.41e-05,8.3
79,-1.300254,-1.300512,35.266103,2.519448,2.519445,95.254822,9.40e-05,8.5
80,-1.297779,-1.297953,35.120172,2.438144,2.438143,94.622869,9.38e-05,8.0
81,-1.311852,-1.312022,34.586920,2.182185,2.182183,94.612203,9.37e-05,8.6
82,-1.316966,-1.317099,34.365894,2.430103,2.430101,92.407936,9.35e-05,8.5
83,-1.322834,-1.322961,34.055950,2.538502,2.538501,94.703865,9.34e-05,9.0
84,-1.324350,-1.324479,33.983789,2.749003,2.749002,94.160183,9.32e-05,9.3
85,-1.330878,-1.330999,33.640663,2.668268,2.668267,92.849480,9.30e-05,8.4
86,-1.334196,-1.334318,33.465699,2.735672,2.735669,94.350622,9.29e-05,9.1
87,-1.340077,-1.340261,33.209325,2.293315,2.293312,93.553003,9.27e-05,8.4
88,-1.343813,-1.344023,33.084288,2.256346,2.256344,92.926311,9.25e-05,8.1
89,-1.354780,-1.355034,32.592925,2.936035,2.936034,94.813046,9.24e-05,8.2
90,-1.359536,-1.359672,32.345782,2.865323,2.865322,92.509405,9.22e-05,8.1
91,-1.364356,-1.364468,32.158625,2.959973,2.959972,92.548423,9.20e-05,8.6
92,-1.368842,-1.369007,31.952141,2.845473,2.845472,92.804176,9.19e-05,9.1
93,-1.371161,-1.371275,31.687989,3.216826,3.216826,93.752450,9.17e-05,8.2
94,-1.379537,-1.379637,31.473637,3.716107,3.716106,93.427853,9.15e-05,8.4
95,-1.383721,-1.383831,31.323251,3.579402,3.579401,94.866221,9.14e-05,9.0
96,-1.383474,-1.383654,31.083856,3.243571,3.243569,93.286759,9.12e-05,9.1
97,-1.394142,-1.394281,30.723292,3.381538,3.381537,94.690545,9.10e-05,8.8
98,-1.396611,-1.396720,30.554576,3.717260,3.717258,92.730318,9.08e-05,8.6
99,-1.401998,-1.402093,30.399814,2.720613,2.720612,92.375034,9.06e-05,8.5
100,-1.402020,-1.402120,30.418379,3.204657,3.204656,92.646377,9.05e-05,8.0
101,-1.406853,-1.406934,30.212188,3.447950,3.447949,92.864400,9.03e-05,8.1
102,-1.414035,-1.414128,29.920416,2.996560,2.996558,92.388814,9.01e-05,8.3
103,-1.416621,-1.416704,29.782490,3.242658,3.242657,90.902358,8.99e-05,8.4
104,-1.421864,-1.421983,29.527455,3.585872,3.585871,92.408894,8.97e-05,8.3
105,-1.421418,-1.421505,29.548655,3.627314,3.627312,95.542582,8.95e-05,8.7
106,-1.431019,-1.431106,29.200840,3.830721,3.830720,93.927612,8.93e-05,9.1
