epoch,val_mae_m,elapsed_s
1,9.792791652679444,3.2380757331848145
2,9.84439016977946,5.907873153686523
3,9.571925099690755,8.870542049407959
4,9.743168036142984,12.170303583145142
5,9.809403610229491,15.15497636795044
6,9.587555281321208,18.195666551589966
7,10.16626075108846,21.098625659942627
8,9.758019955952962,24.33598494529724
9,9.759989674886068,27.510520219802856
10,9.936170546213786,31.167344570159912
11,9.73611240386963,34.45581293106079
12,9.963676675160725,37.239758253097534
13,9.969726022084554,40.67675566673279
14,10.003303241729736,43.68528437614441
15,9.870255597432454,46.687543630599976
16,9.674008178710938,49.93768310546875
17,9.766307830810547,53.18620181083679
18,9.7972780863444,56.18101644515991
19,9.973662694295248,59.7068190574646
20,9.547867806752523,62.62304091453552
21,10.040944290161132,66.69634795188904
22,10.367964871724446,70.03071904182434
23,10.016631730397542,72.84937644004822
24,9.595867888132732,75.88353371620178
25,9.741659228006998,79.22820496559143
26,9.746095434824626,82.37055683135986
27,9.924914073944091,85.34177803993225
28,9.996101474761963,88.5736346244812
29,9.915889517466228,91.9179584980011
30,9.891000334421793,94.74600410461426
31,9.813332907358806,97.85406422615051
32,9.734030882517496,101.21208548545837
33,9.818639055887859,104.06562280654907
34,9.884216531117756,106.99406480789185
35,10.163446617126464,109.96565222740173
36,10.03586638768514,113.04506349563599
37,9.64364938735962,116.05484294891357
38,9.976171207427978,119.12874364852905
39,9.776938978830973,122.11498785018921
40,9.735669898986817,125.0765311717987
41,9.783697001139323,128.31574773788452
42,9.772016620635986,131.5752785205841
43,9.746652412414551,134.71006727218628
44,9.688719654083252,138.0481333732605
45,9.939791584014893,141.2479157447815
46,9.969097169240316,144.20958018302917
47,9.848406728108724,147.59857869148254
48,9.779470252990723,150.95792603492737
49,9.814039007822673,154.29082918167114
50,9.927737299601237,157.70621728897095
51,9.682297229766846,160.74784445762634
52,9.775861072540284,163.80579566955566
53,9.806425507863363,166.95578408241272
54,9.750005690256755,169.79161596298218
55,9.839362303415934,172.9288272857666
56,9.789183330535888,176.29044938087463
57,9.832477696736653,179.42163515090942
58,9.994136651357016,182.68260407447815
59,9.785481611887613,186.07728028297424
60,10.110587787628173,189.30103063583374
61,9.866006565093993,192.49670267105103
62,9.930941232045491,196.03769612312317
63,10.075532658894856,199.27740168571472
64,9.815657997131348,202.33747339248657
65,9.777851835886638,205.5905363559723
66,9.830744361877441,208.91841864585876
67,9.446304289499919,211.97239112854004
68,9.802056694030762,215.559490442276
69,9.853077602386474,218.8164837360382
70,9.56430753072103,221.84850573539734
71,9.926248359680176,225.08675479888916
72,9.867364915211995,228.32135462760925
73,10.037204043070476,231.39601874351501
74,9.913401730855306,234.79828596115112
75,10.014911079406739,237.9583547115326
76,9.967597389221192,240.83217191696167
77,9.989936606089275,244.0915834903717
78,9.773287963867187,246.8211760520935
79,9.655074246724446,249.7375762462616
80,9.71934731801351,252.89268589019775
81,9.807047335306804,256.27481055259705
82,9.796687857309978,258.9725275039673
83,9.792850049336751,262.1117322444916
84,9.763439591725668,265.3829336166382
85,9.635687796274821,268.7623107433319
86,9.687175623575847,272.3188011646271
87,10.080400117238362,275.77719140052795
88,9.564389737447103,278.9230897426605
89,9.865331808725992,282.07518315315247
90,9.752599016825359,285.3733739852905
91,9.715917491912842,288.37415599823
92,9.459447987874348,291.69208788871765
93,9.951537831624348,294.8187401294708
94,10.319455496470134,297.7580177783966
95,10.014114920298258,301.1495077610016
96,9.941840489705404,304.502995967865
97,9.824161148071289,307.32329511642456
98,9.957250531514486,310.35989928245544
99,9.610881646474203,313.4895803928375
100,10.021333312988281,316.4271140098572
101,9.886197725931803,319.44759726524353
102,9.616535186767578,322.73575496673584
103,9.688429355621338,326.10327529907227
104,9.979708003997803,329.0948271751404
105,9.620196946461995,332.49944376945496
106,9.764922205607096,335.5370526313782
107,9.686384677886963,338.1439871788025
108,9.765225410461426,341.503559589386
109,9.793938795725504,344.6663279533386
110,10.22683178583781,347.40868878364563
111,9.6706236521403,350.86656665802
112,10.054769738515217,353.8194010257721
113,9.733875751495361,356.7783670425415
114,9.726481501261393,360.1674780845642
115,9.925992552439372,363.275422334671
116,9.797871367136638,366.5172555446625
117,10.234456888834636,369.69975543022156
118,9.630184618631999,372.9569582939148
119,9.754776922861735,375.95956110954285
120,9.834890619913738,379.20763874053955
121,9.630206235249837,382.3504264354706
122,9.86991392771403,385.44659543037415
123,10.223398590087891,388.67144417762756
124,10.002579053243002,392.64337706565857
125,9.697543780008951,395.8004467487335
126,9.888750171661377,399.06616139411926
127,9.700645351409912,401.6243507862091
128,9.464763005574545,404.7195580005646
129,9.92945213317871,408.0731852054596
130,9.737900479634602,411.07132506370544
131,9.853856595357259,413.9807240962982
132,9.903885650634766,417.23069047927856
133,9.662426789601644,420.1712477207184
134,9.858953952789307,423.220867395401
135,9.842155996958414,426.64748096466064
136,9.821022542317708,429.8096842765808
137,9.865161387125651,432.7514531612396
138,9.7815980275472,435.8558175563812
139,9.768220551808675,439.09940481185913
140,9.90476360321045,442.25466442108154
141,9.727324136098225,445.4579870700836
142,9.660570208231608,448.83012890815735
143,9.676615873972574,451.8180122375488
144,9.788153711954752,454.9254117012024
145,9.778806114196778,458.5204782485962
146,9.80248565673828,461.43650102615356
147,9.833661492665609,464.5904870033264
148,9.922501309712727,467.9066278934479
149,9.722152519226075,470.84137201309204
150,9.968198235829671,473.8585033416748
151,9.978492482503254,476.94074296951294
152,9.786618518829346,479.69139432907104
153,9.871273962656657,482.5086872577667
154,9.668330828348795,484.8786163330078
155,9.646472930908203,487.2571716308594
156,9.97631441752116,490.06137681007385
157,9.73773266474406,493.4001009464264
158,9.61655813852946,496.6008493900299
159,9.507769107818604,499.66770672798157
160,10.055127016703288,502.8461208343506
161,9.684968916575114,506.07971024513245
162,9.784857527414959,509.2609348297119
163,9.6890856107076,512.6941111087799
164,9.844129721323648,515.9953920841217
165,9.701260630289713,518.9784922599792
166,9.85281852086385,522.0787024497986
167,9.93736489613851,525.5125315189362
168,9.757074864705404,528.3376004695892
169,9.889153512318929,531.6211316585541
170,9.876240158081055,534.8711688518524
171,9.706829675038655,537.8616688251495
172,9.746715641021728,540.9266316890717
173,9.814840253194173,544.4827170372009
174,9.738796297709147,547.5008988380432
175,9.664635594685873,550.8989706039429
176,9.63785851796468,554.1182844638824
177,9.796098931630452,557.1693964004517
178,9.660929203033447,560.4616894721985
179,9.792217350006103,563.4839849472046
180,9.78437426884969,565.7534296512604
181,9.83200709025065,568.8524355888367
182,9.683941268920899,572.0971536636353
183,9.931141312917074,574.8119115829468
184,9.937282148996989,577.6274552345276
185,9.818453057607014,580.9159951210022
186,9.47238130569458,583.8418190479279
187,9.735961786905925,586.8604302406311
188,9.577458604176838,589.9698305130005
189,9.65062697728475,592.960422039032
190,9.666458892822266,596.3120765686035
191,9.738206386566162,599.3310961723328
192,9.704552110036214,602.5037837028503
193,9.705639203389486,605.478709936142
194,9.917191537221273,608.4258244037628
195,10.0480725924174,611.5944633483887
196,9.672680060068766,614.5823855400085
197,9.547568448384602,617.5166511535645
198,9.836680221557618,620.8921358585358
199,9.742452621459961,623.9018223285675
200,9.673407046000163,627.2041063308716
201,9.677122529347738,630.8569326400757
202,9.817487812042236,634.0386669635773
203,9.776789347330729,637.2303020954132
204,9.538336277008057,640.6454613208771
205,9.867925421396892,643.1113741397858
206,9.708215300242106,645.9486038684845
207,9.783527819315593,648.8117191791534
208,9.774353313446046,652.1774740219116
209,9.873190879821777,655.3458654880524
210,9.633179473876954,658.3841331005096
211,9.877314122517904,661.4872646331787
212,9.744803619384765,664.578305721283
213,9.78361218770345,667.8331782817841
214,9.796538798014323,671.0928263664246
215,9.807267252604166,674.2123110294342
216,9.95917870203654,677.5565574169159
217,9.864077027638753,680.6038897037506
