model,n_traj,n_runs,ft_mae_mean,ft_mae_std,baseline_mae,baseline_mae_std,gap_closed_pct
anp_masked,20,5,8.163440489768982,0.4579211604198318,11.063316118717193,0.07086607440287525,26.21163128514541
ranp_masked,20,5,6.568045210838318,0.4247416095003069,8.326685500144958,0.06513979756493544,21.120532164641308
anp_masked,50,5,7.483292269706726,0.4775791212459417,11.063316118717193,0.07086607440287525,32.35941024006079
ranp_masked,50,5,6.239823734760284,0.38921751389441134,8.326685500144958,0.06513979756493544,25.062334410833024
anp_masked,100,5,5.868268448114395,0.532359034865451,11.063316118717193,0.07086607440287525,46.95741868763641
ranp_masked,100,5,5.885071116685867,0.19153962414561865,8.326685500144958,0.06513979756493544,29.322764543185702
anp_masked,250,5,5.77405532002449,0.2740159633176594,11.063316118717193,0.07086607440287525,47.80899995928165
ranp_masked,250,5,5.580975526571274,0.44523954028081464,8.326685500144958,0.06513979756493544,32.97482501922144
