epoch,val_mae_m,elapsed_s
1,13.133925819396973,1.9298763275146484
2,12.675385602315266,4.141095161437988
3,12.40453732808431,6.70918869972229
4,11.20396188100179,8.940893650054932
5,11.89085324605306,11.377516269683838
6,12.043261591593424,13.361025333404541
7,11.926608022054037,15.326869487762451
8,11.819900385538737,17.330249071121216
9,12.125182151794434,19.3448383808136
10,11.535698127746581,21.30976700782776
11,11.40811398824056,23.31358027458191
12,11.676834233601888,25.267988920211792
13,12.15452938079834,27.25954818725586
14,11.121539942423503,29.15149211883545
15,10.67870216369629,31.665879011154175
16,11.472301928202311,34.10035681724548
17,11.251050758361817,36.074788331985474
18,11.493174807230632,38.02516841888428
19,12.029722468058269,40.03239965438843
20,10.939682324727377,41.98787474632263
21,10.592263348897298,44.01132941246033
22,11.774572054545084,46.30999493598938
23,11.134199714660644,48.149434089660645
24,11.236503251393636,50.1692852973938
25,10.954924647013346,52.059332609176636
26,11.32562313079834,54.16570544242859
27,10.647182909647624,56.06004023551941
28,10.94222297668457,57.89452075958252
29,11.186917686462403,59.83302402496338
30,11.289797528584797,61.84749221801758
31,10.884348678588868,63.75696563720703
32,10.349672762552897,65.69050240516663
33,11.573746172587077,67.97000074386597
34,11.998330434163412,69.88484597206116
35,11.000686264038086,71.85690927505493
36,10.943158531188965,73.8693106174469
37,10.95345261891683,75.91015839576721
38,12.759835561116537,77.83862709999084
39,12.384277979532877,79.93147420883179
40,11.632502778371174,81.71192526817322
41,10.894044748942058,83.68506813049316
42,11.984574953715006,85.65258550643921
43,12.303235626220703,87.6309609413147
44,11.915683619181316,89.56989288330078
45,11.338440068562825,91.44970679283142
46,11.39325345357259,93.46157765388489
47,11.638217989603678,95.24660348892212
48,11.322581926981607,97.41675925254822
49,11.665691566467284,99.40798163414001
50,11.834096717834473,101.37976098060608
51,11.061359278361003,103.35581755638123
52,10.70168883005778,105.28866696357727
53,11.360971387227377,107.2238175868988
54,10.870973523457845,109.09060597419739
55,11.363475545247395,111.18468928337097
56,11.24903933207194,113.15238046646118
57,11.008964157104492,115.09165287017822
58,10.27670669555664,117.01826095581055
59,11.522872797648112,119.32791113853455
60,11.782596778869628,121.24773478507996
61,11.120183690388997,123.3176383972168
62,11.144248580932617,125.21574425697327
63,11.793023427327475,127.11344647407532
64,10.773473993937175,129.2720136642456
65,11.017900149027506,131.25243210792542
66,12.242646408081054,133.2196273803711
67,11.791754722595215,135.0062210559845
68,11.185366694132487,136.86689019203186
69,11.189167467753093,138.8603024482727
70,12.221106656392415,140.70183038711548
71,12.53352648417155,142.6486840248108
72,12.115719858805338,144.61251521110535
73,11.672899309794108,146.55755233764648
74,11.649668184916179,148.49670577049255
75,12.268333625793456,150.39887523651123
76,11.723203976949057,152.40804409980774
77,12.122438557942708,154.35260248184204
78,11.81504357655843,156.4063355922699
79,11.277527554829915,158.45033383369446
80,12.158465957641601,160.42291712760925
81,11.92791035970052,162.4485399723053
82,12.34303429921468,164.36404132843018
83,12.469903055826823,166.31644296646118
84,11.763978513081868,168.32162070274353
85,11.580880482991537,170.26917672157288
86,12.020445632934571,172.1844961643219
87,11.673630650838216,174.13791346549988
88,11.840450032552083,176.15400862693787
89,11.731054242451986,178.0508327484131
90,11.945666313171387,180.0599901676178
91,12.332068888346354,181.95902681350708
92,13.386177508036296,184.11333394050598
93,13.18889897664388,185.8891942501068
94,13.390673891703289,187.65892815589905
95,12.176524798075357,189.64633560180664
96,12.920310656229654,191.596773147583
97,13.497098286946615,193.5943033695221
98,12.534576161702473,195.5734407901764
99,11.90359287261963,197.43375825881958
100,13.446857897440593,199.40173482894897
101,12.689368375142415,201.21154379844666
102,12.074846649169922,203.0441291332245
103,12.266633288065593,204.7903118133545
104,12.788841120402019,206.73701572418213
105,12.874084345499675,208.60118460655212
106,12.71220817565918,210.58023381233215
107,12.095420773824056,212.4382245540619
108,13.11104876200358,214.3152072429657
