epoch,train_loss,train_nll,train_mae,val_loss,val_nll,val_mae,lr,sec
74,2.777593,2.771702,15.048183,2.974329,2.973691,14.255120,9.47e-05,9.2
75,2.458735,2.454734,14.421004,1.884360,1.882211,10.144527,9.46e-05,9.2
76,2.175875,2.173065,13.201952,2.010607,2.009907,12.837493,9.44e-05,9.3
77,2.105657,2.102979,12.935668,2.099886,2.099361,11.037809,9.43e-05,9.3
78,2.691232,2.686064,15.108560,3.057969,3.056594,9.894220,9.41e-05,9.6
79,2.412146,2.407066,13.168569,1.856875,1.853920,9.314554,9.40e-05,9.3
80,2.290747,2.287231,12.970998,2.070444,2.069658,9.281121,9.38e-05,9.2
81,2.331462,2.321830,13.788485,2.126768,2.125861,9.374111,9.37e-05,9.2
82,2.187094,2.183140,12.753353,2.209673,2.209235,8.697843,9.35e-05,9.1
83,3.154022,3.150452,14.033266,2.055635,2.054165,7.943374,9.34e-05,9.5
84,2.333061,2.329401,14.182304,2.425473,2.422622,9.316078,9.32e-05,9.3
85,2.264284,2.258666,13.049389,1.939412,1.938379,8.212928,9.30e-05,9.4
86,2.221987,2.217550,12.544153,1.859339,1.856110,8.424035,9.29e-05,9.4
87,2.232557,2.228333,13.025284,1.770669,1.770452,8.678239,9.27e-05,9.3
88,1.999394,1.996560,11.838699,1.681531,1.681260,9.141034,9.25e-05,9.6
89,2.280243,2.276624,12.300831,1.831850,1.831018,8.005938,9.24e-05,9.1
90,2.076663,2.073539,12.213281,1.690455,1.690057,8.022209,9.22e-05,9.3
91,2.279553,2.276193,12.702817,2.908783,2.908313,8.926794,9.20e-05,9.5
92,2.175798,2.165959,12.032514,1.992883,1.990099,8.396590,9.19e-05,9.5
93,2.134017,2.128930,11.930858,2.288509,2.288149,10.574212,9.17e-05,9.7
94,2.170641,2.166733,13.066655,2.234038,2.233706,9.536378,9.15e-05,9.2
95,2.116781,2.113211,11.379187,1.820698,1.819017,6.847861,9.14e-05,9.5
96,2.231623,2.227656,11.743509,2.224669,2.220468,8.335675,9.12e-05,9.2
97,2.250201,2.242467,11.631865,1.878822,1.877646,9.977693,9.10e-05,9.4
98,2.107675,2.099741,11.861553,1.854446,1.852043,7.998683,9.08e-05,9.3
99,2.121099,2.116352,11.533071,1.802878,1.797240,7.177975,9.06e-05,9.6
100,2.057056,2.052488,11.417149,1.719778,1.717033,6.523254,9.05e-05,9.8
101,2.190900,2.187653,11.724771,1.878552,1.877774,7.681964,9.03e-05,9.3
102,2.020519,2.016473,11.136856,1.969813,1.966905,7.710997,9.01e-05,9.6
103,2.134001,2.130730,11.934021,1.756623,1.755341,9.752866,8.99e-05,9.5
104,1.938983,1.935641,10.666117,1.832310,1.831242,7.511746,8.97e-05,9.4
105,2.068652,2.064365,11.496846,1.962989,1.962000,9.406796,8.95e-05,9.3
106,2.508462,2.503121,11.478648,2.298371,2.297865,6.300730,8.93e-05,9.4
107,2.649871,2.646150,10.280587,2.339655,2.338851,6.588299,8.91e-05,9.4
108,2.535724,2.532470,10.695709,1.885982,1.885433,6.525763,8.89e-05,9.8
109,2.620279,2.617489,10.462913,1.890024,1.889190,8.593297,8.87e-05,9.1
110,2.152512,2.148881,12.006264,1.748545,1.747807,5.619416,8.85e-05,9.2
111,1.981750,1.975443,10.762642,1.639186,1.635268,6.258013,8.83e-05,9.3
112,1.967418,1.964267,11.086980,1.955899,1.955499,6.220925,8.81e-05,9.4
113,2.137123,2.134841,10.852396,2.722705,2.722420,6.434860,8.79e-05,9.4
114,2.096452,2.093398,11.148448,1.740465,1.740053,5.775821,8.77e-05,9.5
115,1.786912,1.782675,9.953128,1.793447,1.793063,7.847994,8.75e-05,9.7
116,1.927121,1.921802,10.367935,1.562458,1.556167,9.403504,8.73e-05,9.3
117,2.200011,2.197023,10.789273,2.507067,2.505825,6.869250,8.71e-05,9.2
118,2.033254,2.021957,10.896553,1.414615,1.411927,6.621906,8.69e-05,9.7
119,1.946248,1.943357,10.195569,1.667126,1.664896,5.893506,8.67e-05,9.2
120,1.933482,1.931088,10.712433,1.738261,1.736574,9.370478,8.64e-05,9.5
121,1.834151,1.828744,10.333520,1.595035,1.593053,6.224195,8.62e-05,9.2
122,1.953664,1.950645,10.879936,1.559555,1.558972,6.237864,8.60e-05,9.4
123,1.948897,1.945642,10.257860,1.650166,1.649570,6.273932,8.58e-05,9.2
124,1.916150,1.914029,10.117048,1.547172,1.546513,6.366633,8.56e-05,9.5
125,1.928020,1.925366,10.903443,1.808268,1.804735,7.794649,8.54e-05,9.5
126,2.134716,2.132057,10.193504,1.534360,1.533909,6.396352,8.51e-05,9.2
127,1.943407,1.941012,9.821154,1.665061,1.664367,7.082124,8.49e-05,9.5
128,1.883183,1.877866,10.226588,1.443425,1.442920,6.900611,8.47e-05,9.3
129,1.867493,1.863432,10.663079,1.690848,1.688407,10.806502,8.45e-05,9.3
130,1.911325,1.904767,10.016329,2.053270,2.047693,16.733806,8.42e-05,9.4
131,1.924069,1.920672,9.745653,1.397397,1.396843,5.822372,8.40e-05,9.3
132,1.849213,1.844493,9.300183,1.541124,1.539571,5.005157,8.38e-05,9.2
133,1.859998,1.857721,10.247481,1.644064,1.643150,7.062450,8.35e-05,9.3
134,1.822284,1.818112,9.835932,1.704497,1.699947,5.096645,8.33e-05,9.8
135,1.805815,1.799683,9.593828,1.332209,1.331120,5.901597,8.31e-05,9.4
136,1.818087,1.814440,10.168462,1.544320,1.539004,7.283585,8.28e-05,9.2
137,1.731292,1.725401,9.314122,1.705527,1.695782,6.202085,8.26e-05,9.2
138,1.742970,1.738939,9.272799,1.494831,1.486686,6.851938,8.24e-05,10.0
139,2.009284,1.999039,11.361970,2.616833,2.614962,15.473782,8.21e-05,9.3
140,1.761773,1.758204,9.477078,1.393954,1.392552,7.907525,8.19e-05,9.4
141,1.782775,1.779700,9.572729,1.662324,1.660467,8.544291,8.16e-05,9.3
142,1.782570,1.779530,9.476234,1.571653,1.570920,6.825657,8.14e-05,9.3
143,1.704473,1.701456,9.108820,1.378658,1.377355,6.254958,8.11e-05,9.5
144,1.851005,1.847167,9.853630,1.437712,1.435335,5.861990,8.09e-05,9.2
145,1.730067,1.727233,9.388421,2.147613,2.144377,6.354860,8.06e-05,9.1
146,1.737604,1.734742,9.220961,1.506100,1.502447,6.590715,8.04e-05,9.2
147,1.769354,1.763912,9.828380,1.615286,1.615051,7.932700,8.01e-05,9.5
148,1.667507,1.665020,8.865946,1.433055,1.410854,5.860289,7.99e-05,9.2
149,1.744170,1.741507,9.103666,1.428042,1.427657,6.713383,7.96e-05,9.2
150,1.709982,1.708744,8.844514,1.782567,1.782207,5.614105,7.94e-05,9.4
151,1.673758,1.671542,8.857703,1.696303,1.696033,5.075807,7.91e-05,9.5
152,1.641197,1.639186,8.739586,1.767746,1.767394,6.454596,7.89e-05,9.3
153,1.882630,1.879338,10.806975,1.695225,1.694835,7.631897,7.86e-05,9.3
154,1.706793,1.703264,9.022426,1.765527,1.752930,9.439898,7.84e-05,9.3
155,1.633775,1.628923,8.319315,1.456381,1.455847,5.678779,7.81e-05,9.1
156,1.631591,1.628975,8.752824,1.369969,1.368858,5.519776,7.78e-05,9.2
157,1.715249,1.713079,9.189668,1.627566,1.625739,5.970316,7.76e-05,9.3
158,1.642461,1.639011,8.530106,1.369968,1.369512,5.375802,7.73e-05,9.7
159,1.725645,1.722017,9.450128,1.376928,1.376108,6.100397,7.71e-05,9.2
160,1.628853,1.625944,8.684707,1.447484,1.442530,6.977264,7.68e-05,9.2
161,1.545458,1.542394,8.021952,1.694934,1.694710,7.112707,7.65e-05,9.5
162,1.615545,1.612192,8.490270,1.279334,1.277624,5.832885,7.63e-05,9.4
163,1.556021,1.553744,8.033841,1.642262,1.641991,5.544013,7.60e-05,9.2
164,1.583606,1.582146,8.138308,1.283310,1.280661,5.867592,7.57e-05,9.3
165,1.572531,1.570455,8.341396,1.306991,1.306791,6.035545,7.55e-05,9.1
166,1.662958,1.660209,8.765717,1.586788,1.586230,8.269586,7.52e-05,9.1
167,1.596402,1.594363,8.505368,1.867386,1.867016,7.581487,7.49e-05,9.3
168,1.561619,1.559709,8.179851,1.827694,1.827514,7.667573,7.46e-05,9.4
169,1.591334,1.583881,8.488170,1.279207,1.277620,5.668878,7.44e-05,9.3
170,1.617021,1.615270,7.986564,1.558608,1.558453,6.280286,7.41e-05,9.3
171,1.590092,1.588037,8.321661,1.296900,1.296356,5.258473,7.38e-05,9.3
172,1.489421,1.488208,7.627342,1.196337,1.195346,5.295622,7.35e-05,9.2
