k_active,anp_basic_mae,anp_basic_mae_std,anp_basic_nll,ranp_basic_mae,ranp_basic_mae_std,ranp_basic_nll,anp_masked_mae,anp_masked_mae_std,anp_masked_nll,ranp_masked_mae,ranp_masked_mae_std,ranp_masked_nll
1,136.18449001312257,11.616530213919125,346.29522234598795,149.41516304016113,9.24439459682703,697.4650869687398,79.9547436873118,5.251836355238122,-0.04866989136886938,82.48789726098379,20.095978452260844,1.0192462457402143
2,131.09909715652466,11.277629147173931,304.52792936960856,138.24402758280436,12.614561534142677,548.7796588897705,61.91846981048584,9.298174218540057,-0.2299733692217463,54.02838518619537,17.419437854051452,1.6942097068356816
3,117.75676097869874,17.070663948876373,260.9809883753459,127.26114350954691,18.02926042560684,509.4851318995158,46.41816713809967,6.217069910458346,-0.427510309467713,30.032118374109267,9.550848976593377,1.6877753836568445
4,116.83615957895914,15.141620735068994,267.4227537790934,120.12695735295614,18.141673157194884,483.6642739931742,33.594212400913236,5.699304838873498,-0.6844683826590577,20.730714905261994,5.605281914059385,0.6801210878416896
5,91.70121933619181,17.197141173541677,174.35713075796764,94.97666979630789,18.541838115917788,318.78601941267647,24.78042607307434,3.964169157457384,-0.872306530829519,16.51070162653923,4.26188830805043,0.3667963566433173
6,89.5890572865804,21.400489422409418,171.65512459278108,79.2675486167272,19.909785506438162,248.38274460236232,19.44179786046346,3.335353543493335,-1.0529885684450468,13.095326606432597,2.120146152152841,0.17086406335389862
7,70.514883518219,17.877614274468264,121.2421245098114,56.02296752134959,15.864636549822324,132.8287354360024,15.730978482961655,2.906664826753375,-1.1633575599640609,12.471706308921178,2.1469262301585665,0.34393720389343796
8,47.75595758756002,12.362658701217963,55.52886448701223,33.00047894716263,10.407474681616902,52.70155626386404,12.574972585837047,1.8747835237077939,-1.2875255382309356,10.68473780353864,0.9748675019728265,0.2889909940742655
9,31.174157853921255,6.327648908802726,31.24164393140624,19.607833536465964,4.456503491815364,12.223038818050798,11.35710988442103,1.1073277955870804,-1.3147755411763986,10.778056766589483,0.7441263147494354,0.29146972263697535
10,12.225031769275665,0.15320595854138896,8.632158827436312,9.189438132445018,0.07405324725320238,0.30823662917440137,9.503735456864039,0.14418469726415842,-1.4048955276608468,10.595804951588313,0.07092620184032496,-0.054958489661415415
