model,train_01/mae_SoC_pct,train_01/mae_Cycle,train_02/mae_SoC_pct,train_02/mae_Cycle,train_03/mae_SoC_pct,train_03/mae_Cycle,train_04/mae_SoC_pct,train_04/mae_Cycle,train_05/mae_SoC_pct,train_05/mae_Cycle,train_06/mae_SoC_pct,train_06/mae_Cycle,train_07/mae_SoC_pct,train_07/mae_Cycle,train_08/mae_SoC_pct,train_08/mae_Cycle,train_09/mae_SoC_pct,train_09/mae_Cycle,train_10/mae_SoC_pct,train_10/mae_Cycle,train_11/mae_SoC_pct,train_11/mae_Cycle,train_12/mae_SoC_pct,train_12/mae_Cycle,train_13/mae_SoC_pct,train_13/mae_Cycle,train_14/mae_SoC_pct,train_14/mae_Cycle,train_15/mae_SoC_pct,train_15/mae_Cycle,train_16/mae_SoC_pct,train_16/mae_Cycle,train_17/mae_SoC_pct,train_17/mae_Cycle,val_01/mae_SoC_pct,val_01/mae_Cycle,val_02/mae_SoC_pct,val_02/mae_Cycle,val_03/mae_SoC_pct,val_03/mae_Cycle,val_04/mae_SoC_pct,val_04/mae_Cycle,val_05/mae_SoC_pct,val_05/mae_Cycle,test_01/mae_SoC_pct,test_01/mae_Cycle,test_02/mae_SoC_pct,test_02/mae_Cycle,test_03/mae_SoC_pct,test_03/mae_Cycle
specialist_01,1.8599737648589008,9.884918074271695,5.247371327309378,81.39448298371498,15.52423225730536,151.68239922918596,30.822545755000863,238.33768825782897,48.07409826760925,425.7546364994527,15.706598197592253,52.12876920659816,18.274514766959516,92.21597260579874,15.300156126717166,128.88597549448377,30.701021003467634,235.14863360869938,46.0034506566707,391.48284389979545,32.27974643109403,98.1945293742696,48.417378533976375,126.2709287519493,48.28408085825601,155.99494494532422,36.231109551214786,234.84809259237213,54.22806300194747,374.64167528753705,66.82711902290427,141.9692736451381,90.49031058597184,183.1748802295091,93.01032487779918,228.08147010610847,81.2987286440016,318.7643617350635,58.01287048342923,428.79141102554473,118.28260999031946,259.96026980086856,149.56233824733724,296.4114438330671,148.65678746571643,361.2805691085459,140.33044051675853,479.1570822085672,103.85003390339219,600.6824241974773
specialist_02,27.700043138757774,23.499738039317094,1.862745005533925,12.60750115199662,7.224982739007549,112.17812560228634,11.815093311613703,246.0230673846785,14.34955542127137,417.45768604440667,27.165823189209576,21.866471009348754,15.263438744117082,45.51071533934403,17.000641263565782,141.42200515063212,20.264947472469775,301.679718417249,20.800483269509296,485.0002486792837,34.4335839823743,76.76798435311481,29.551860065614697,131.02636461986143,31.434071620440136,223.7553287835509,35.49185443022991,386.22594284353625,40.30407911998671,575.8516221250277,47.40317615719652,171.5690559234234,42.54258021827433,264.0633260867807,45.334520972841034,369.2254300026026,48.13957411399204,521.1426118389525,53.63027672118545,716.1146796606009,55.04352336889901,270.73474869093747,57.55532056264414,452.78151271911383,61.692938868618356,573.5866943192864,64.38107015054355,709.4454990777889,66.15163202926207,908.3041458637534
specialist_03,20.341920882393932,20.740486328999758,14.924776311477272,41.75316293059642,1.6802267168083445,10.630118441507964,11.123099709100478,112.71399266265183,19.803528863354614,324.64869969939974,34.813443232995475,36.69902783378764,28.30686554034687,35.340022011532184,19.949818787198126,60.711298034063404,16.08147194497931,204.6480161960527,14.793498442026292,440.1247638625799,44.501510900163304,49.75873481140437,39.213787125902726,103.72451659369608,37.72927402667325,173.1887594758417,36.16298422318598,339.54574570497095,35.43950690152979,552.071982838592,55.88298363564297,87.61124894915507,51.56438479612316,242.60487471173087,51.61892955152176,343.46926759062615,51.45724028584555,504.71756757480745,53.15520066671849,702.0623986801098,63.30903531508502,191.35555929008444,62.50580873699617,431.6720145307343,62.97960091131184,567.6049238147689,64.97252556211001,729.4513545425216,66.61301766692822,943.5461778533245
specialist_04,18.795713568015707,28.44663851396699,21.64201199862726,21.54901733329186,17.376657092320144,24.83789773322649,2.0636445036823288,9.922606155885846,16.417104546003237,98.27183728576242,39.30412207629229,26.513243690828535,46.56307206515308,37.256882216986234,35.07619007435276,44.40663977098068,28.001765749429907,58.17114703636498,33.630145012962544,202.29055862378306,60.00222400958482,93.77806852189723,61.467849497494534,120.06766241940619,57.26672951431563,132.49471925861928,63.155303904154565,194.70442245299927,70.58211010724388,342.73089646699304,72.81850888155661,217.13315227748802,76.6503748263109,279.4305233372549,82.53877745621203,310.55624115480884,94.22832761616384,385.9091924225291,112.99463770353339,533.0692838000981,84.51297601974458,417.01428743032756,100.21245093097858,482.4795956366787,113.23249038641356,544.011998835852,129.02176753699405,631.4548375008507,156.47503702208138,792.7879049396953
specialist_05,23.08208727323201,30.468029261196723,31.926486781896237,22.35373076238885,30.31781212162998,32.595449109512174,14.46553536381991,22.153413848947142,2.399143035892455,10.403839313324589,39.770029717557236,41.64767196512167,54.44852263319017,65.22740239770451,50.776767228506934,63.78443647337197,38.56604943711994,50.21375189013589,32.15247287138505,56.68760471391903,72.98803855381692,89.61431150752294,81.33773565630338,113.84620352772791,76.12271120822395,105.31657692598364,69.66569627175629,112.18005909468945,72.91767902110347,150.38629716605976,105.4385230728035,198.48710119805625,100.1742662827236,198.06348175847327,93.96869474067101,208.80616557528083,94.19236480936168,227.20800114922807,104.43318636064973,267.34431923944726,118.36875083736831,338.777791787268,111.78004454260218,328.15706548631516,110.55973726752315,334.25720204988414,115.31096936656847,358.3744628084959,139.18128711291678,395.6436306231555
specialist_06,38.21746919250129,33.30157269360794,22.983761094073696,79.31147606474092,40.46823411038625,169.64666489376992,69.68363374558028,292.4576150374764,111.74156024408452,497.11401062622656,1.6714267299996937,8.814747000081224,8.81901060077038,74.9159890988683,23.970177083220012,131.93313039925098,53.57795530214908,254.5591955155594,94.37437304090541,448.3284993341131,17.41338541047606,74.41850396599791,15.492814681241837,109.14478969137657,13.72779888156784,157.47541382013637,31.172174077008254,247.44891325743032,70.86905009232228,409.1013664189358,38.78733151503058,198.07509629881383,42.71281111945489,242.32614550281383,38.65977660198115,274.40274210610414,27.239256518009963,317.77830702400075,59.766895530211116,457.7710533209468,72.69376431479436,332.7152953415012,77.96089678616814,424.8760421158555,72.61219085124199,463.14132520030887,60.65456615850727,482.38299167708664,45.11432706010523,559.8070429048317
specialist_07,50.58164348064132,316.2310103994593,20.73623526388611,112.28478541602492,30.020477352352376,184.86174980275163,35.99622219446296,324.5644664560355,41.87082394359293,498.7617286249109,27.47815491625918,83.44652005943475,1.3107643182887305,10.64267623955165,5.26397262500287,87.95219555275716,9.763283213940039,234.5835715038177,12.644868502286783,433.8530164745936,26.874689729457373,52.46901794821065,14.149761692523462,75.50997875248032,17.40370234540938,135.86870435159852,22.189597930634203,260.3425417035774,24.225134554252367,442.6639329561352,41.30767882031481,276.94897874767577,34.180319188648426,285.1694836759785,39.62598171067934,302.7123857836365,49.261912027115,396.4390050620269,58.768576612559556,560.169663964928,60.11377899622331,587.8072441480614,65.58205796177059,612.7144713913208,72.55835972142134,623.7860987415637,79.27955564883523,671.1599723730848,92.84379106818547,805.2406045408928
specialist_08,18.060920323699097,101.22284023822976,9.211700254031744,51.83425671360444,24.248881158170438,66.07811059807189,37.52206627568225,163.0540389152124,55.44243194929918,308.34483878305537,33.29142205740878,29.026233653876297,12.914885186491272,30.1140644299052,1.916358919784389,8.958237375913287,13.883631079658015,96.98825042697896,33.33615701162176,255.7571775036514,40.51775528919358,47.08632573646691,23.719437521048988,69.15778469196609,16.893870407885,87.57520460344165,10.4524413861216,150.08472825540804,9.50980387961672,285.8093514042179,45.996214966442516,209.35362867893775,41.1992191136017,251.83004265779982,40.22764102477496,278.39395111989387,38.17548223003454,324.6674507271303,29.035344089892227,423.2788960130553,52.76342031904082,429.4001344048713,64.49997440060616,505.23764111575656,69.86151831727625,544.490973402629,69.95213273045894,595.3480996346434,61.40798453957989,675.2554504226036
specialist_09,20.922801379131815,114.16714809722707,12.111342816477285,71.61273116763326,15.082630030208058,58.0631953896409,24.970939895206573,56.597786164972796,33.48787506012224,111.0268678484922,20.095920835045767,43.646918990772555,15.1976190824544,38.98455561483815,9.429529176075635,35.476053188431614,1.7683694426324983,11.917619307992716,11.108015336039598,71.54955998156572,39.77884463344489,43.233734663688615,36.08129285097441,53.41563206258691,26.40099608728721,59.256316555203576,18.27671623459065,72.50525171781621,17.393246528403548,138.7133955607274,66.19645166782807,171.67759500062357,63.215752293979804,177.81988078520237,55.96856513410501,202.48131710682196,47.09693189924111,244.3125405676737,41.84764285908837,301.24517424414864,93.42270625427221,324.7168608890002,91.13403183038982,406.9884619577191,85.02766831927644,461.02425229369555,78.72588431203626,509.7475510104544,75.59514879741336,552.6600732875693
specialist_10,27.283591137953742,151.05420857783614,8.879998812002231,42.66277174772877,7.336464139371812,34.18994178079656,12.469433857282299,37.20536922062302,23.886471233244976,42.974376776221646,21.859855128413663,48.525095378032496,26.701566912868856,28.536663307304707,25.62983621021166,27.245885663342122,15.594039858457727,26.46662119030032,2.1098208284787234,14.213895618661896,52.03038316639445,46.97946741221469,55.6047812902171,76.27002121151736,52.17390727313364,82.20453705705454,42.18823177788861,80.95293955939472,30.041547549504603,103.05642496191236,88.28762138612333,189.74007044863453,88.80232236511466,218.2794454325051,83.36925276091002,240.50964457098814,75.39936325852729,249.54307134960254,69.29028608810432,283.70778673561114,114.7103537011535,406.7231170620075,121.18495853421888,462.0596362248268,117.59737327831658,497.20967114452196,110.70844249433532,531.6803646006573,106.38455291177732,582.9578576602763
